Harmonize	0.034454 -0.022083 -0.038079 0.2458 -0.032813 0.18401 -0.67308 0.10246 0.27845 0.39671 -0.5847 0.0108 -0.040747 0.2942 -0.14106 0.18955 0.52209 0.06712 -0.7296 -0.52007 -0.032263 -0.012228 0.80001 0.039482 -0.094433 -0.76603 -0.30436 -0.53753 0.034101 -0.09072 -0.76818 -0.043474 -0.058553 0.1121 -0.098416 0.38619 0.40259 -0.46583 -0.14638 -0.06487 0.3951 -0.19981 -0.27949 0.41898 -1.0293 0.66883 -0.35005 0.086963 -0.63499 -0.80116 -0.48522 0.66468 -0.61698 0.54175 -0.025271 0.42887 1.3332 0.30603 -0.24305 -0.17469 -0.11369 -0.023433 0.14914 0.12824 -0.32574 -0.14241 -0.61305 0.63335 0.67714 -1.2242 0.79642 -0.44764 0.39083 -0.44627 0.23329 -0.56698 -0.72886 -0.56256 0.23449 -0.38859 -0.020651 0.068344 0.18922 0.54637 -0.098505 0.13961 0.10453 -0.089522 -0.83766 0.35539 -0.45482 0.13239 -1.0732 -0.68483 0.63826 -0.3613 -0.49489 -0.34885 0.18455 0.51265
behavior	0.79669 -0.5889 0.56991 -0.034798 -1.2434 0.83545 0.058371 -0.18639 -0.25826 0.43971 -0.84477 -0.20744 0.34258 -0.43091 0.54777 0.92809 -0.68217 0.28891 -0.25739 0.57427 0.043608 -0.70898 0.053891 -0.12559 -0.24906 0.24902 -0.37907 -0.23702 -0.09747 0.47147 0.2171 1.0136 -0.40842 -0.33776 0.19216 0.14771 -0.1419 -0.15427 -0.50058 -0.50077 -0.62805 -0.020157 -0.59284 -0.018849 -0.63791 -0.051265 0.16411 0.35264 -0.31513 -0.96446 1.2408 -0.57123 -0.35071 0.91132 0.5113 -1.1277 0.794 -0.34417 1.0675 0.30908 -0.30645 0.31146 0.33185 -0.60324 1.0719 0.47739 0.64615 -0.49777 0.7454 -0.058699 -0.25279 -0.63353 0.045374 -0.21113 0.1947 -0.22747 0.19321 0.039949 -0.53137 0.15105 0.44701 0.43534 -0.31767 -0.14733 -1.6884 -0.23374 0.18508 -0.2267 -0.17048 -1.1079 -0.59354 -0.23454 0.55013 0.30703 0.67554 0.27514 -1.1627 -1.0539 0.53034 0.13846
parsechecker	
indexchecker	

Behaviour	0.58595 -0.66292 0.40338 -0.025661 -1.1896 0.85028 -0.079208 -0.0867 -0.53394 0.38876 -0.85426 0.088278 0.52994 -0.51905 0.48656 0.82012 -0.75217 0.19185 0.029873 0.4312 0.090798 -0.99751 0.24359 -0.3221 0.030459 0.029763 -0.16968 0.088065 0.12956 0.82397 -0.32345 0.80008 -0.44901 -0.41535 0.13264 -0.07004 -0.16934 0.055675 -0.90418 -0.73188 -0.50078 -0.051919 -0.30661 0.05793 -0.18891 0.2115 0.10611 0.51502 -0.053081 -0.47427 1.3018 -0.27359 -0.18633 0.98123 0.11956 -0.53868 0.36223 -0.082164 0.43931 0.14994 -0.13555 -0.27062 -0.053354 -0.22044 0.9777 0.64617 0.10263 -0.84724 0.97504 -0.40956 -0.3196 -0.5884 0.27901 -0.52251 0.19567 -0.026969 0.13687 0.25478 -0.20433 0.26665 0.35604 0.43312 -0.0098944 -0.20307 -1.0618 -0.41774 -0.11039 -0.35291 -0.13004 -0.71664 -0.63118 -0.54856 0.53242 0.30976 0.90896 0.22293 -1.2175 -0.68033 0.32699 -0.10032
ParserChecker	
IndexingFiltersChecker	
diverged	0.90026 0.78452 0.55031 0.39919 0.36553 -0.49829 0.74875 -0.5015 0.34982 -0.79598 -0.55098 1.1875 0.95225 0.044364 0.45376 -0.65291 -0.45943 -0.2309 -0.19746 -0.5469 0.89672 -0.096774 0.54901 0.15509 0.29856 -0.27524 -0.10458 -0.10532 -0.28015 0.33752 0.3415 0.35228 -0.082986 -0.31771 0.22877 1.1357 0.19795 -0.079552 -0.55274 0.29583 -0.19128 -0.34366 -0.45635 0.54966 -0.25154 -0.17873 0.80127 0.68973 0.33331 -0.070757 0.47916 -0.001828 0.56609 0.51427 -0.11102 0.85052 -0.13039 -0.50638 -0.52301 0.22863 0.061024 0.91945 0.5844 -0.28265 0.27025 0.52565 -0.79944 -0.07111 0.74006 -0.21899 -0.56865 0.58988 0.46192 -0.79612 -0.31203 -1.2632 -0.39375 -0.16455 -0.10742 0.0058964 -0.93875 0.1873 -0.18573 -0.16421 -0.48294 0.086936 0.17582 -0.69746 -0.81063 0.42684 -0.36257 0.32731 -0.84765 0.18903 -0.20542 -0.67418 -0.43805 -0.19954 -0.15251 0.50484
trunk	-0.27654 0.34095 0.85294 -0.31516 0.68502 -0.13515 -0.57942 0.8307 0.3177 -0.14704 0.56895 0.97662 0.45748 0.93192 0.52435 0.18356 0.36955 0.09674 0.38478 -0.55585 0.16464 0.11267 0.17974 -0.63471 0.8788 0.51413 -0.18148 -0.63764 0.55672 0.34134 0.36004 -0.039638 0.98885 -0.57697 0.019425 0.65544 0.11648 0.041924 0.68254 0.57997 0.99426 -1.1867 0.67224 -0.11498 0.0030475 0.562 0.72296 0.060865 0.4746 0.79567 -0.14711 0.33418 0.51759 0.68746 0.20658 -0.59504 -0.49365 0.44014 1.2788 0.31925 -0.048699 0.077175 -0.14124 0.90295 0.43442 -0.12677 -0.187 -0.38423 0.76367 0.067186 -0.16812 -0.10383 0.9971 -0.88175 0.29251 -0.076735 0.6645 0.29129 0.064385 -0.11423 -0.21786 0.39908 -0.52782 -0.098121 -0.094221 -0.14078 0.41261 -0.18355 -0.21313 1.1309 0.083752 0.30766 0.11977 -0.079452 0.16761 -0.42946 -0.13118 -0.83834 1.1857 -0.2684
