inverseCumulativeProbability	
BinomialDistribution	
returns	-0.26184 -0.068321 0.65651 -0.27272 0.22419 0.1484 -0.33381 0.22672 -0.36067 -0.42468 -0.39923 0.73907 0.10366 0.36317 0.081879 0.084346 0.27524 0.67599 0.74671 1.0309 0.11076 -0.36427 -0.38258 0.49518 -0.032814 -0.0063464 -0.30953 -0.14888 0.36374 -0.22739 0.139 0.29234 -0.38969 -0.064195 0.2059 0.13504 -0.097669 0.11701 -0.70768 -0.34341 -0.52104 -0.67879 0.11025 0.13458 0.013898 -0.24682 -0.71823 -0.52327 0.67018 -0.7898 0.23642 -0.33111 0.56724 0.71656 0.49129 -1.9061 -0.18881 -0.43991 1.1717 0.25765 -0.33979 -0.0081994 -0.31008 -0.12085 0.13278 0.12132 0.066898 -0.18057 -0.038645 0.21147 0.035013 -0.20757 -0.25776 -0.14444 0.5436 -0.050902 -0.59413 -0.34768 -0.28127 -0.099312 0.64265 1.1849 -0.45768 -0.70964 -0.3966 -0.47697 0.17949 -0.49912 0.01562 -0.43558 -0.35591 0.14599 0.50145 0.081388 -0.68451 0.29315 0.73244 0.29537 0.0050102 -0.10547
wrong	0.29976 0.096764 0.78986 -0.29726 -0.83994 0.12198 -0.22968 0.11562 0.54558 0.08816 0.29916 0.61139 0.065818 0.016323 0.076039 0.11764 -0.4941 0.30019 -0.50541 0.48323 0.75858 0.3074 0.17119 -0.79183 -0.39111 0.36388 -0.28968 -0.3329 0.13149 0.018273 0.54316 0.74766 0.34077 -0.19567 -0.28023 0.25138 -0.97814 0.032817 0.2556 -0.49649 -0.71281 0.42679 0.032038 -0.521 -1.0339 -0.40718 0.13885 0.30654 -1.0586 -0.89805 0.96808 0.1891 0.045624 0.70073 -0.52195 -1.9921 0.35914 0.62048 1.4776 -0.18456 -0.057311 0.68488 -0.15894 -0.0077764 0.56207 -0.40786 0.25042 0.24086 -0.82292 -0.068123 -0.33161 -0.092879 0.21996 -0.30731 0.58824 -0.09236 0.10411 0.27774 -0.43211 0.041362 0.13665 0.25971 -0.97938 -0.4664 -1.5725 -0.59968 0.018044 0.023086 -0.61087 -0.66244 -0.75826 0.04741 0.37288 -0.010702 0.031318 -0.044713 -0.36382 -0.14839 -0.19055 0.14488
large	-0.87364 1.1051 -0.71977 0.35166 0.22365 0.23153 -0.37941 0.46698 0.3092 0.065826 -0.14766 -0.066801 0.24272 0.11894 -0.13984 -0.13921 0.043071 0.14963 0.41009 -0.1139 0.15608 0.32021 -0.12106 -0.56433 0.34044 -0.27576 -0.28746 0.12139 -0.5749 0.3635 0.44782 -0.069844 0.10054 -0.35477 0.30884 -0.10581 0.74677 0.45838 -0.01312 -0.020095 -0.014647 -0.80101 -0.062913 -0.11687 0.73187 -0.088486 0.40302 0.45706 -0.065062 -0.010521 -0.21461 0.14057 0.24175 0.67336 -0.12951 -2.6595 -0.081076 -0.55141 2.1546 0.095677 -0.45795 1.0711 0.37814 0.68593 1.1912 -0.37919 0.30515 0.0056043 0.95735 0.041007 0.018179 -0.33099 0.13831 -0.010589 0.10517 -0.021849 -0.28301 -0.2312 -0.37836 0.74866 1.6515 -0.11646 -0.64596 0.21062 -0.93687 -0.79856 0.44815 -0.66311 0.18571 -0.15982 -0.09025 -0.57068 -0.03635 -0.41282 -0.84714 -0.38274 -0.5892 -0.22287 0.96966 -0.14695
trials	0.63892 0.34137 -0.59952 0.11199 -0.25507 -0.41063 0.1389 0.40193 -1.4113 -0.36867 0.45841 0.76944 -0.03645 0.14235 -0.35349 0.22276 -0.12112 0.20214 -0.45909 -0.14658 -0.083435 -0.67695 0.45927 0.28878 -0.38125 0.23639 0.45279 -0.57373 -0.22601 0.22853 0.047931 -0.64453 -0.43567 0.2025 0.79437 0.28244 -0.2246 0.072143 -0.56103 0.28488 -0.73869 -0.1196 -0.29278 -0.87992 0.029114 -0.48228 1.1794 -1.2559 -0.03461 -0.24248 0.15221 -0.18242 0.082705 1.1179 0.084658 -0.58903 -0.45762 -0.065093 1.3404 -0.075638 -0.96766 0.78569 0.71897 -0.14825 0.87549 0.012363 -0.69462 0.33358 -0.59302 0.70427 -0.25634 -0.36239 -0.19074 0.72684 -0.20035 -0.13859 0.11956 -0.33721 -0.55887 -0.3652 0.88197 0.33141 -0.032745 1.1714 -2.0449 0.2858 0.14512 0.17647 -0.30616 0.071756 -0.19072 -0.30057 0.21111 0.74112 1.238 0.29582 -0.045643 0.17103 0.74249 0.13191
inverse	0.41499 -0.10822 -1.2409 0.73348 -0.72315 0.64926 -0.99959 0.34999 0.53131 0.59005 -0.79986 -0.50733 0.32305 -0.53418 0.13112 0.49583 0.16542 1.4301 1.1873 -0.14888 0.28547 -0.13718 0.34857 0.92044 0.6283 0.42011 1.3816 0.28613 -0.76892 -1.0321 0.12118 0.17832 -0.13874 0.13898 -0.078643 -0.40071 0.91415 0.69309 0.54422 -0.41177 0.90301 0.79508 -0.10977 -0.31381 -0.31908 0.57263 -0.22628 0.65241 -0.30379 0.41707 0.88065 0.2226 0.25826 0.62853 -0.14995 -1.0367 0.077778 -0.19369 -0.040467 -0.049454 -0.32905 -1.0159 -0.43049 0.26184 0.58836 0.52285 -0.46995 -0.77841 0.69586 0.3184 -0.33396 -0.036979 0.31864 0.038028 0.55934 -0.71483 -0.049103 -0.86414 -0.32589 -0.3667 -0.49329 -0.37323 -0.81993 -0.34707 -0.15902 0.79792 0.60373 -0.4799 -0.32806 -0.98846 -1.2811 0.94632 -1.0243 -0.022412 0.66084 -0.87193 -0.066277 -0.51315 -0.68222 -0.085319
Cumulative	0.59758 0.71143 0.45311 0.67719 -0.59679 0.09462 0.04145 0.57834 -0.11295 0.0091756 -0.01553 0.269 0.32425 -0.42994 0.52943 -0.028851 0.16893 0.35207 1.1218 -0.077979 0.28926 -0.46646 -0.087426 0.48138 -0.1766 -0.34681 0.92821 0.47333 -0.13566 -0.60575 0.3478 -0.045928 -0.20112 0.60246 -0.61348 -0.19006 0.44777 0.21102 -0.66066 0.045 0.30154 0.22509 0.2216 0.70135 0.45874 0.048748 0.33336 -0.9444 -0.93448 -0.8594 0.33716 -0.77812 0.012814 -0.29597 0.70972 -0.61031 0.6408 -0.25276 0.90427 0.50479 -0.22423 0.087779 -0.77834 0.086503 0.02928 0.075783 -0.36707 -0.46395 0.82995 -0.025364 0.16848 0.082627 0.29928 0.34722 0.11503 0.040019 -0.67613 -1.0846 -0.29176 -0.065289 0.48245 0.13538 -0.25369 -0.56123 -0.6716 -0.44456 0.17925 -0.78902 -0.42627 0.30828 -0.82367 0.7218 -0.1414 -0.49284 0.4018 -0.45381 0.39983 -0.70143 0.30528 -0.44238
Probability	-0.51551 0.18375 0.17952 1.5635 -0.58082 -0.069441 0.00066181 -0.045899 -0.44751 0.54858 -0.12402 0.4051 0.24134 -0.31526 0.70234 0.14027 -0.63231 0.96977 0.60089 0.67277 -0.25743 -0.35451 0.051248 0.18154 0.066784 0.29931 1.304 0.28485 -0.3367 -0.39792 0.12827 -0.27707 -0.49838 0.33247 0.44312 -0.32774 0.67252 0.61669 0.65785 -0.49831 -0.2626 0.15358 -0.31769 -0.20466 -0.39556 -0.58678 0.76079 -0.32508 -1.455 -0.22677 0.70838 -0.062158 0.36965 0.66895 0.11506 -1.0283 0.77239 0.0096575 0.79104 0.46849 -0.54684 -0.52224 -0.36704 0.17075 1.0468 0.58569 -0.40366 -0.37763 0.57886 0.33043 -0.68837 -0.18156 0.39941 0.49368 0.26511 -0.010322 -0.32588 -1.2322 -0.54986 -0.08468 -0.1613 0.18507 -1.625 -0.9179 -0.63725 0.2225 0.5177 -1.0494 -0.34393 -0.51883 -0.84869 0.43625 -0.072851 0.13193 0.20094 -0.40029 0.38077 0.034915 -0.20629 -0.29349
Binomial	0.46205 0.17127 -0.54898 0.19741 -0.39067 0.36269 -0.30798 -0.31329 -0.32158 -0.16022 -1.7756 -0.018933 0.12279 -0.55967 0.3845 0.74447 1.3166 0.60269 0.80737 -0.30411 -1.0502 0.062485 -0.18539 0.95954 0.59257 -0.41914 1.039 0.89285 0.06297 0.40727 0.34908 0.28261 0.054878 0.12751 -0.20355 0.30452 0.85 -0.5367 -0.055946 -1.0285 0.46009 -0.31014 0.029548 -0.31892 0.68556 0.22412 0.44324 -0.49541 -1.0757 0.61595 0.25582 0.52807 -0.031458 0.66017 -0.24339 -0.23211 -0.27018 0.34948 -0.24389 -0.45599 0.51005 -0.47979 -0.011112 0.14838 1.9961 -0.23827 -0.62957 -0.61284 0.6375 -0.063643 -0.98861 0.43406 -0.22597 -0.62071 -0.089846 -0.13644 -0.041612 -0.31508 -1.0866 -0.16867 0.027754 -0.35076 -0.88255 -0.1223 0.032574 0.44738 -0.16938 -1.5811 0.75188 -0.50454 -1.2686 0.98276 0.046786 -0.8031 0.81178 -0.85355 -0.17961 0.10589 -0.57072 0.60488
Distribution	0.54001 -0.093261 -0.048168 0.20555 0.72779 -0.36065 0.10004 0.57668 -0.076205 0.2679 -0.31316 -0.27093 0.29164 -0.33109 0.4331 -0.022224 0.61942 0.038987 0.63915 -0.14339 -0.18753 -0.04839 0.59745 -0.052104 -0.2533 0.23248 1.1501 0.44069 -0.75176 0.36832 0.44245 0.17072 -0.072084 -0.18288 0.15332 0.064221 0.9462 0.31374 -0.497 -0.75215 0.66514 -0.25587 -0.66437 -0.054666 -0.0060397 -0.1499 -0.2893 -0.35583 -0.32111 0.095117 0.39881 0.59559 -0.45977 0.75543 0.69957 -1.4646 -0.50312 -0.07771 2.0758 0.45839 0.18032 -0.70763 -0.063469 -0.21108 1.465 0.1051 0.31033 -0.42574 1.1445 0.13733 -0.20834 -0.2397 0.29107 0.061693 0.99869 -0.36083 -0.62527 -0.19411 -0.83153 0.63223 0.23049 0.063579 -0.82358 0.52596 -1.2912 0.27361 0.39027 -1.0345 -0.24387 -0.19561 -0.084491 -0.1142 -0.10535 -0.5133 0.055347 -0.17399 0.10436 0.37357 1.1209 0.44941

inverseCumulativeProbability	
method	-0.41796 0.53241 -0.33693 0.69262 0.068686 -0.087566 0.27663 -0.071203 -0.3353 0.33365 -0.52407 -0.53341 0.04046 -0.16659 0.45481 -0.34785 0.24926 0.022734 0.4212 0.0062452 -0.13359 -0.51309 0.21382 -0.24943 -0.36553 -0.01069 0.25961 -0.2909 -0.7678 0.037387 -0.46895 0.89278 -0.53101 -0.38841 0.35913 -0.4793 -0.33601 -0.20371 0.39182 -0.95175 -0.62779 0.17753 -0.035282 -0.12463 -0.84179 -0.34632 -0.19631 -0.84428 -0.54253 -0.19322 0.25287 -0.01299 -0.0014 1.4574 -0.76291 -1.5731 -0.23982 0.22269 0.87785 -0.034078 -0.036702 -0.31008 0.80324 0.61032 1.3546 -0.14522 -0.19501 -0.68654 -0.096186 -0.50487 -1.0144 0.37278 0.63403 0.66473 0.33144 -0.62283 -0.11496 -0.60323 -0.46632 -0.17908 0.23923 0.25257 -1.1826 -0.60126 -1.8759 0.92491 0.87735 -0.62709 -0.26522 -0.10025 -0.58459 0.12821 0.3471 0.52632 0.74769 -0.33396 -0.36954 -0.75431 0.34056 0.28563
BinomialDistributionImpl	
class	0.44507 1.1348 0.33681 0.033357 -1.0405 0.24413 0.43113 0.041197 -0.81321 1.1462 -0.041166 -0.56681 -0.37751 0.010833 -0.49384 -0.98461 0.2911 0.62519 0.0021157 0.076011 0.57661 -0.42666 0.026943 -0.31422 0.22591 -0.40706 -0.44773 -0.46698 0.071828 0.087351 -0.25286 1.0292 -0.17695 -0.57001 0.69949 0.49922 -0.23905 0.21815 0.067587 0.91464 -0.62297 -0.85661 -0.1409 -0.61247 0.66159 0.090501 0.19563 0.35387 0.18804 0.30706 -0.73807 0.019089 -0.32798 0.51793 -0.003088 -1.7927 0.08279 -0.13564 2.0857 0.16076 -0.41443 0.42641 0.055687 0.03359 0.74283 -0.19547 0.53011 0.19503 0.44296 0.54503 -0.030984 -0.49682 -0.11398 0.085998 -0.046392 0.92739 0.088696 -0.28703 -0.72927 -1.1755 -0.26028 -0.55622 -0.026987 -0.20324 -0.81465 -0.12299 -1.1006 -1.5845 -0.18962 -0.32423 -0.99665 -0.060921 0.43139 0.38787 0.24177 0.29155 -0.080935 -0.70294 0.47778 -0.33316
