Test	-0.58342 0.48631 0.7423 0.17875 -1.5873 -0.37499 0.37902 0.70767 -1.5402 0.74851 -0.0069018 -0.44981 -0.11125 0.17395 0.26005 0.27065 0.78731 0.84877 -0.099277 0.017688 0.44389 -0.873 0.4964 -0.1843 0.24894 0.24073 0.08446 0.070786 -0.23216 0.26685 -0.23519 0.45211 -0.39982 0.24936 0.73548 -0.072352 -0.81008 -0.15256 -1.0313 0.23067 -1.1634 0.20387 0.42369 -1.0589 0.29905 0.20036 0.63371 -0.57507 -0.4373 -0.55908 0.50811 0.32673 -0.4371 1.0702 -0.10418 -2.4432 -1.0739 0.10881 1.5446 -0.15633 -0.37779 0.15111 0.58397 0.5498 0.23775 0.8869 -0.1022 -0.041313 -0.19496 -0.1376 -0.00013191 0.6949 0.06623 -0.25647 -0.10539 0.5695 0.17414 -0.59899 -0.86757 -0.31254 0.5456 -0.092359 -0.12294 -0.19419 -1.9168 -0.044395 0.68561 0.2003 -0.37791 0.67436 -0.77218 0.49596 0.005819 0.53833 0.33367 0.97822 0.31984 -0.12619 -0.017724 0.18389
methods	-0.2423 0.13211 -0.67936 0.45996 -0.21641 -0.51798 -0.10365 -0.1912 -0.41132 0.8441 -0.26941 -0.66758 0.2484 -0.10603 0.43056 0.0039175 0.073171 0.22435 -0.27081 0.10137 -0.2215 -0.40721 0.45191 -0.055842 -0.95264 -0.18959 0.38524 -0.41789 -0.75394 0.36326 -0.28946 0.41763 -1.0765 -0.39895 0.37917 -0.12187 -0.41853 -0.38668 0.12842 -0.78409 -0.68577 -0.36915 -0.48672 0.083597 -0.9507 -0.1697 0.077853 -0.37041 -0.56236 -0.30129 0.46135 0.32251 -0.096093 1.6639 0.066285 -0.87226 0.23595 0.02971 0.95381 -0.056441 -0.25197 0.038403 0.49084 0.16828 1.2177 -0.070029 -0.23294 -0.6119 0.31231 -0.6499 -0.71108 0.12787 0.28364 0.43036 -0.12638 -0.54792 -0.17512 -0.004417 -0.88651 0.22528 0.92223 0.2918 -0.92874 -0.3415 -2.3113 1.0343 0.77391 -0.13573 -0.56931 -0.15843 -0.44041 -0.27991 0.33662 0.43257 0.40808 -0.44176 -0.98276 -0.87773 0.38472 0.46941
BrokeredCallableStatement	
Brokered	0.17701 -0.13827 0.18426 0.51474 0.83694 -0.93904 1.0214 0.39919 0.010595 -0.28089 -0.40274 0.22056 1.0147 0.54748 0.090542 0.50942 -0.46064 -0.78514 -0.4592 -0.47183 -0.31982 -0.40379 0.84235 0.094342 0.66895 -0.83671 -1.0935 0.23157 -0.58042 -1.0607 0.042297 0.046195 -0.65709 -0.18911 -0.098989 -0.46953 0.62629 -0.42972 -0.080118 -0.29994 -0.50504 0.66858 0.9104 0.5457 0.089317 -0.14664 -1.0319 -0.14911 0.15738 -0.34994 -0.54065 0.3607 0.4774 0.023668 -0.11825 -1.4916 -0.4942 -0.62016 0.29478 -0.027986 0.53197 -0.74471 -0.53324 -1.4632 -0.20697 -0.025941 -0.18496 1.0136 -0.49114 -0.91601 0.54042 -0.69872 -0.18256 -0.14191 -0.85146 -0.31586 0.033098 -0.27853 -1.597 0.077293 0.4862 -0.089486 0.68542 0.5158 0.14211 1.2263 0.7184 0.52639 -0.83722 -0.90111 -0.33406 -0.038059 -1.7174 0.21049 -0.3364 0.069034 -0.21516 0.98069 0.14885 0.24377
Callable	0.1848 0.66523 0.033255 -0.1256 -0.068632 0.78438 -0.32566 -0.10794 0.16949 -0.044193 -0.33542 0.61423 0.053833 0.42749 0.46226 0.19644 0.34102 1.2679 1.1733 -0.641 -0.078716 0.18063 -0.65739 0.57316 0.61328 -0.34073 0.22994 0.0048813 -0.68628 1.1575 0.28983 -0.69048 -0.58707 -0.0046734 0.30757 0.30291 -0.1367 -0.233 0.27707 -0.62108 1.2275 -0.20378 0.10066 0.049123 0.26036 -0.082434 0.016235 -0.2229 -0.48464 -0.42889 0.0060005 -0.90011 -0.59852 -1.1993 0.32507 0.47403 0.38013 0.1428 0.89106 -0.12989 0.034212 0.031688 -0.31074 -0.81667 -0.4 0.22277 0.90006 -0.028324 0.11205 -0.93394 0.42249 -0.053131 0.20762 0.46654 -0.98671 0.53262 0.22052 -0.25848 -0.73889 0.042653 -0.31004 0.068971 -0.22374 -0.07635 0.52915 0.75344 0.065949 -0.066657 -0.22398 -0.11088 -0.4662 0.021954 -0.42206 -0.42377 -0.37589 0.11833 0.493 0.09886 -0.94728 -0.0042189
Statement	-0.13214 -0.7888 0.27986 -0.27285 0.16575 0.18968 0.025626 0.15242 -0.097802 0.35711 -0.033131 -0.10102 0.3975 0.15977 -0.25494 0.27311 -0.37302 -0.62745 -0.69389 -0.21062 0.49479 -0.32658 -0.48365 0.58129 -0.70134 0.17995 0.20725 0.6073 -0.13351 0.45038 0.35188 0.22305 -0.3564 0.030625 -0.08677 0.28458 0.37305 0.65016 -0.37359 -0.17712 -0.86426 0.28229 0.73827 0.46229 -0.33246 -0.15065 -0.12752 -0.40332 -0.6983 -1.0403 1.2568 -0.2251 0.64291 0.82166 -0.42018 -2.1759 -0.27996 -0.33592 1.7292 0.68315 -0.20387 -0.33413 -0.34401 -0.58991 0.40114 -0.52668 -0.14592 1.2571 -0.0090907 -0.43589 0.25463 -0.34231 0.046566 -1.5687 0.73576 0.59537 0.090416 0.27164 -2.0524 -0.15705 0.20204 -0.60847 0.059891 -0.17124 -1.0182 -0.55057 0.20973 -0.083916 0.033396 -0.15635 0.4765 -0.63815 -0.23816 0.47105 0.079042 0.87397 -0.33147 -0.54202 0.17962 0.5801

unused	-0.076257 0.77111 0.21128 -0.18639 -0.048977 0.013968 -0.5857 0.71196 0.73523 0.027677 0.62769 0.33761 -0.05763 0.05403 0.68789 -0.67703 0.59801 0.86048 1.0574 -0.4256 0.15394 1.0647 0.37385 -0.17976 -0.14261 -0.9458 0.040064 0.16334 -0.16063 0.50096 0.13202 0.15762 -0.46832 -0.19664 -0.64135 0.65202 -0.46205 0.082998 -0.32411 -0.41737 0.60871 -0.032076 0.49314 -0.01159 0.80058 0.15155 -0.29926 0.1359 -0.35427 0.11115 0.13927 -0.072959 0.49493 0.035955 0.22235 -0.83328 -0.23391 -0.72327 0.81931 -0.15306 0.13691 0.40163 0.39896 0.3336 0.43031 -0.34527 0.56381 -0.82755 -0.30387 -0.49301 0.089375 -0.29903 1.2136 0.099956 -0.073977 0.20324 -0.51734 0.14663 -0.29655 -0.014834 0.43643 -0.27294 -0.16323 0.048354 -0.59758 0.39023 0.31964 0.5529 -0.43786 0.39956 -1.0713 0.11401 0.16464 0.00082752 -0.30379 -0.63152 0.5265 0.80333 0.12941 -0.28646
methods	-0.2423 0.13211 -0.67936 0.45996 -0.21641 -0.51798 -0.10365 -0.1912 -0.41132 0.8441 -0.26941 -0.66758 0.2484 -0.10603 0.43056 0.0039175 0.073171 0.22435 -0.27081 0.10137 -0.2215 -0.40721 0.45191 -0.055842 -0.95264 -0.18959 0.38524 -0.41789 -0.75394 0.36326 -0.28946 0.41763 -1.0765 -0.39895 0.37917 -0.12187 -0.41853 -0.38668 0.12842 -0.78409 -0.68577 -0.36915 -0.48672 0.083597 -0.9507 -0.1697 0.077853 -0.37041 -0.56236 -0.30129 0.46135 0.32251 -0.096093 1.6639 0.066285 -0.87226 0.23595 0.02971 0.95381 -0.056441 -0.25197 0.038403 0.49084 0.16828 1.2177 -0.070029 -0.23294 -0.6119 0.31231 -0.6499 -0.71108 0.12787 0.28364 0.43036 -0.12638 -0.54792 -0.17512 -0.004417 -0.88651 0.22528 0.92223 0.2918 -0.92874 -0.3415 -2.3113 1.0343 0.77391 -0.13573 -0.56931 -0.15843 -0.44041 -0.27991 0.33662 0.43257 0.40808 -0.44176 -0.98276 -0.87773 0.38472 0.46941
BrokeredCallableStatement	
Brokered	0.17701 -0.13827 0.18426 0.51474 0.83694 -0.93904 1.0214 0.39919 0.010595 -0.28089 -0.40274 0.22056 1.0147 0.54748 0.090542 0.50942 -0.46064 -0.78514 -0.4592 -0.47183 -0.31982 -0.40379 0.84235 0.094342 0.66895 -0.83671 -1.0935 0.23157 -0.58042 -1.0607 0.042297 0.046195 -0.65709 -0.18911 -0.098989 -0.46953 0.62629 -0.42972 -0.080118 -0.29994 -0.50504 0.66858 0.9104 0.5457 0.089317 -0.14664 -1.0319 -0.14911 0.15738 -0.34994 -0.54065 0.3607 0.4774 0.023668 -0.11825 -1.4916 -0.4942 -0.62016 0.29478 -0.027986 0.53197 -0.74471 -0.53324 -1.4632 -0.20697 -0.025941 -0.18496 1.0136 -0.49114 -0.91601 0.54042 -0.69872 -0.18256 -0.14191 -0.85146 -0.31586 0.033098 -0.27853 -1.597 0.077293 0.4862 -0.089486 0.68542 0.5158 0.14211 1.2263 0.7184 0.52639 -0.83722 -0.90111 -0.33406 -0.038059 -1.7174 0.21049 -0.3364 0.069034 -0.21516 0.98069 0.14885 0.24377
Callable	0.1848 0.66523 0.033255 -0.1256 -0.068632 0.78438 -0.32566 -0.10794 0.16949 -0.044193 -0.33542 0.61423 0.053833 0.42749 0.46226 0.19644 0.34102 1.2679 1.1733 -0.641 -0.078716 0.18063 -0.65739 0.57316 0.61328 -0.34073 0.22994 0.0048813 -0.68628 1.1575 0.28983 -0.69048 -0.58707 -0.0046734 0.30757 0.30291 -0.1367 -0.233 0.27707 -0.62108 1.2275 -0.20378 0.10066 0.049123 0.26036 -0.082434 0.016235 -0.2229 -0.48464 -0.42889 0.0060005 -0.90011 -0.59852 -1.1993 0.32507 0.47403 0.38013 0.1428 0.89106 -0.12989 0.034212 0.031688 -0.31074 -0.81667 -0.4 0.22277 0.90006 -0.028324 0.11205 -0.93394 0.42249 -0.053131 0.20762 0.46654 -0.98671 0.53262 0.22052 -0.25848 -0.73889 0.042653 -0.31004 0.068971 -0.22374 -0.07635 0.52915 0.75344 0.065949 -0.066657 -0.22398 -0.11088 -0.4662 0.021954 -0.42206 -0.42377 -0.37589 0.11833 0.493 0.09886 -0.94728 -0.0042189
Statement	-0.13214 -0.7888 0.27986 -0.27285 0.16575 0.18968 0.025626 0.15242 -0.097802 0.35711 -0.033131 -0.10102 0.3975 0.15977 -0.25494 0.27311 -0.37302 -0.62745 -0.69389 -0.21062 0.49479 -0.32658 -0.48365 0.58129 -0.70134 0.17995 0.20725 0.6073 -0.13351 0.45038 0.35188 0.22305 -0.3564 0.030625 -0.08677 0.28458 0.37305 0.65016 -0.37359 -0.17712 -0.86426 0.28229 0.73827 0.46229 -0.33246 -0.15065 -0.12752 -0.40332 -0.6983 -1.0403 1.2568 -0.2251 0.64291 0.82166 -0.42018 -2.1759 -0.27996 -0.33592 1.7292 0.68315 -0.20387 -0.33413 -0.34401 -0.58991 0.40114 -0.52668 -0.14592 1.2571 -0.0090907 -0.43589 0.25463 -0.34231 0.046566 -1.5687 0.73576 0.59537 0.090416 0.27164 -2.0524 -0.15705 0.20204 -0.60847 0.059891 -0.17124 -1.0182 -0.55057 0.20973 -0.083916 0.033396 -0.15635 0.4765 -0.63815 -0.23816 0.47105 0.079042 0.87397 -0.33147 -0.54202 0.17962 0.5801

