Bug	-0.42404 -0.11038 0.94873 -0.71327 -0.19712 0.077077 0.96163 -0.35674 0.8292 -0.3676 0.15004 0.62746 0.091752 0.11142 -0.015791 0.84124 0.24467 0.023366 0.54286 -0.068057 -0.87995 -0.59202 0.18641 0.50787 0.55458 0.48448 -0.42383 0.22249 -0.8823 -0.041186 -0.049256 0.31483 0.25182 0.10876 0.45824 -0.12085 -0.96037 -0.69492 0.93473 -0.31937 -0.31673 0.24099 -0.3822 -0.72243 0.18017 0.62991 0.0030923 -0.36699 -0.21576 -0.1654 -0.55928 0.11278 -0.62944 0.56955 -0.59166 -0.92922 0.044769 0.32981 0.697 -0.13983 0.40377 1.7035 -0.68531 0.49846 0.29719 0.27865 -0.18668 -0.93605 0.66117 0.01478 -0.30582 -0.4491 -0.44983 -0.39544 -0.37577 -0.18869 0.06883 -0.04811 -0.33131 1.0204 0.32457 -0.88047 0.018825 -0.303 -0.88685 0.35682 -0.3993 -0.10512 -0.86557 0.37554 0.48771 -0.28133 0.12722 -0.56959 0.33936 0.40162 0.1109 -0.20506 0.18093 -0.23185
content	-0.18555 -0.19955 0.13965 -0.40343 0.50651 -0.02038 -0.16991 -0.25754 0.18487 0.13197 0.50986 -0.4227 -0.10582 -1.1797 0.10686 0.18521 0.2057 -0.15482 -0.0024716 0.42293 -0.62545 -0.47933 0.33819 0.39449 -0.44653 0.12493 0.69765 0.76548 -0.44587 0.5499 0.3186 1.1514 -0.55824 -0.69069 0.98434 0.34295 0.09298 -0.066754 -0.93218 -0.2489 0.17801 -0.40863 -0.79674 -0.025478 -0.19487 -0.40616 -0.76258 -0.31357 0.24744 -0.69023 0.94044 0.23323 -0.36505 0.70002 0.0058896 -1.4976 -0.42901 -0.65529 1.9299 -0.1564 0.38972 0.37067 -0.45764 -0.61961 1.3286 0.063821 1.4521 -0.44211 0.24184 -0.797 0.17904 0.07502 1.4354 0.28795 -0.26492 0.051049 0.099066 -0.2074 -0.28114 -0.49524 -0.34311 -0.60031 -0.19885 -0.024879 -1.5615 0.12603 0.010747 -0.058753 -0.05898 0.067833 -0.47089 0.10677 -0.31521 -0.19495 -0.050314 -0.50002 -0.25814 -0.9514 0.91759 0.82825
assist	-0.34128 -0.22282 -0.19451 0.068223 0.54867 0.19904 -0.24706 -0.11546 -0.36226 -0.076587 0.42224 -0.99029 -0.12192 -0.36975 -0.2792 -0.55419 -0.051497 -0.20462 -0.97041 0.32498 -0.61093 -0.29353 -0.085191 0.07123 0.15422 -0.18331 -0.33377 0.17182 0.21969 0.064306 -0.74354 0.29286 -0.043806 0.51759 -0.1061 -0.91796 -0.011596 0.54695 0.060342 -0.071454 -0.1838 0.30857 0.11973 -0.33862 -0.11906 0.6815 -0.35406 -0.61467 -0.30326 -0.52623 -0.33832 0.15742 -0.64403 0.73973 0.16434 -1.0387 0.13853 -1.0391 1.5809 0.33758 -0.51331 -0.25792 0.22096 0.67094 0.29688 0.00068338 -0.82015 0.65592 0.4274 -0.015294 0.21739 -0.56124 -0.18759 -0.48309 1.138 0.20783 -0.47367 0.54558 -0.24013 -0.17952 0.50751 1.3808 -0.49724 -0.053579 -1.1597 0.52124 0.38721 0.65032 -0.78125 -0.44165 -0.44081 -0.1284 0.054578 -0.93064 -0.3708 -0.2627 -0.056607 -0.0037371 0.026419 -0.65549
Pressing	-0.79134 0.1159 0.32713 0.4484 0.18468 0.01958 -0.78494 -0.3134 0.61074 -0.16697 0.13316 -0.61814 -0.18729 -0.034337 -1.088 0.095859 -0.49738 -0.12194 -0.024445 -1.1126 -0.083407 -0.0092184 0.080766 -0.21656 -0.036412 0.54018 0.029834 -0.15416 0.071787 0.36548 -0.18433 -0.017219 0.12484 0.43579 -0.064856 0.42228 0.19731 -0.28507 0.048171 0.19125 -0.62497 -0.17235 1.022 -0.37047 -0.50288 -0.14751 0.31921 0.11551 -0.14439 -0.19114 0.41125 0.19991 -0.53958 0.98121 -0.005295 -0.95051 0.19909 -0.86061 0.79616 0.10971 0.33623 0.22602 -0.50477 -0.047012 1.0617 -0.086244 0.022334 0.61752 0.033624 -0.29753 -0.046354 0.051993 -0.78275 -0.35249 0.21158 0.36058 -0.5521 0.018139 -0.017506 0.089809 0.62211 -0.15815 -0.3571 0.12879 -1.0177 -0.017837 0.061587 0.49484 -0.49491 -0.41933 -0.48974 0.39262 -0.85879 -0.28617 -0.43002 -0.10494 -0.15586 0.20665 1.2389 0.28692
Semicolon	0.22144 0.16691 -0.71517 -0.32414 -0.39569 0.49848 0.28317 -0.026509 0.58726 0.47143 -0.39875 0.15841 0.24074 0.34483 0.57573 0.051569 -0.010805 -0.12494 0.21158 -0.2183 0.6559 -0.62091 -0.96499 0.52802 0.40446 0.30818 0.1627 -0.12842 -0.23374 -0.63703 -0.41556 0.22725 -0.072975 -0.52856 0.5831 -0.1472 -0.10797 -0.57852 0.50657 0.006102 0.70089 0.15547 -0.20412 0.067751 -0.5246 0.064926 0.62951 0.020683 -0.44386 0.13076 0.61935 0.4272 -0.14661 0.27432 -0.27874 0.70693 -0.11802 -0.11748 -0.36062 -0.33508 -0.1887 0.23538 0.46831 -0.048744 -0.038045 0.28813 0.11039 -0.39529 -0.55352 -0.24061 -0.87064 0.38432 0.12905 0.5838 0.29464 -0.060521 -0.022892 0.04636 0.10963 -0.26936 -0.40756 -0.70395 0.060241 0.38871 0.070832 0.40384 0.46835 0.30399 0.38244 -0.27812 -0.21595 0.41069 -0.25966 0.53215 0.26049 -0.14505 0.6384 0.088162 -0.75941 -0.036344
commit	-0.11819 0.012215 -0.065054 0.50364 0.080809 0.55674 -0.54653 0.13989 0.60007 0.62546 -0.20703 0.64381 -0.9428 0.55557 -0.12418 -0.073029 -0.076601 0.66771 -1.2321 0.24083 0.18795 -0.90605 -0.35715 -0.26101 -0.32765 0.31468 -0.1015 -0.46709 0.86214 0.19889 -0.027956 0.36667 -0.1348 -0.58324 0.36306 -0.34013 0.45433 -1.0588 0.020351 0.41488 -0.50936 0.99253 0.42585 -0.34157 -0.78041 -0.046723 0.42041 -0.56993 -0.85127 -1.1546 0.011949 -0.1273 -0.085981 0.61429 -0.29395 -0.63522 0.64757 -0.51779 1.2406 0.48912 -0.30568 -0.01947 -1.0207 -0.68396 0.44656 0.038404 0.53776 0.8984 -0.034482 -0.11015 -0.13801 -1.3938 -0.74134 -0.10836 -0.1249 -0.018738 -0.047144 0.020453 -0.44407 0.31035 1.1718 1.1314 -0.20708 0.47149 -0.83856 -0.15181 0.2024 -0.080208 -0.11225 0.19707 -0.76539 -0.5096 0.4144 -0.91298 0.58579 -0.28811 -0.15665 -0.044096 0.40568 -0.52475
content	-0.18555 -0.19955 0.13965 -0.40343 0.50651 -0.02038 -0.16991 -0.25754 0.18487 0.13197 0.50986 -0.4227 -0.10582 -1.1797 0.10686 0.18521 0.2057 -0.15482 -0.0024716 0.42293 -0.62545 -0.47933 0.33819 0.39449 -0.44653 0.12493 0.69765 0.76548 -0.44587 0.5499 0.3186 1.1514 -0.55824 -0.69069 0.98434 0.34295 0.09298 -0.066754 -0.93218 -0.2489 0.17801 -0.40863 -0.79674 -0.025478 -0.19487 -0.40616 -0.76258 -0.31357 0.24744 -0.69023 0.94044 0.23323 -0.36505 0.70002 0.0058896 -1.4976 -0.42901 -0.65529 1.9299 -0.1564 0.38972 0.37067 -0.45764 -0.61961 1.3286 0.063821 1.4521 -0.44211 0.24184 -0.797 0.17904 0.07502 1.4354 0.28795 -0.26492 0.051049 0.099066 -0.2074 -0.28114 -0.49524 -0.34311 -0.60031 -0.19885 -0.024879 -1.5615 0.12603 0.010747 -0.058753 -0.05898 0.067833 -0.47089 0.10677 -0.31521 -0.19495 -0.050314 -0.50002 -0.25814 -0.9514 0.91759 0.82825
assist	-0.34128 -0.22282 -0.19451 0.068223 0.54867 0.19904 -0.24706 -0.11546 -0.36226 -0.076587 0.42224 -0.99029 -0.12192 -0.36975 -0.2792 -0.55419 -0.051497 -0.20462 -0.97041 0.32498 -0.61093 -0.29353 -0.085191 0.07123 0.15422 -0.18331 -0.33377 0.17182 0.21969 0.064306 -0.74354 0.29286 -0.043806 0.51759 -0.1061 -0.91796 -0.011596 0.54695 0.060342 -0.071454 -0.1838 0.30857 0.11973 -0.33862 -0.11906 0.6815 -0.35406 -0.61467 -0.30326 -0.52623 -0.33832 0.15742 -0.64403 0.73973 0.16434 -1.0387 0.13853 -1.0391 1.5809 0.33758 -0.51331 -0.25792 0.22096 0.67094 0.29688 0.00068338 -0.82015 0.65592 0.4274 -0.015294 0.21739 -0.56124 -0.18759 -0.48309 1.138 0.20783 -0.47367 0.54558 -0.24013 -0.17952 0.50751 1.3808 -0.49724 -0.053579 -1.1597 0.52124 0.38721 0.65032 -0.78125 -0.44165 -0.44081 -0.1284 0.054578 -0.93064 -0.3708 -0.2627 -0.056607 -0.0037371 0.026419 -0.65549
bypasses	-0.26376 -0.123 0.81242 -0.04168 0.58062 0.030494 -0.40224 0.67477 1.4501 -0.042645 -0.09178 0.19936 0.57148 0.27602 0.28403 -0.050661 0.13343 0.29935 -0.023772 -0.11529 0.025719 0.025766 -0.035854 0.075788 0.039475 -0.35403 -0.037158 -0.78105 0.30232 -0.29018 0.17103 0.21115 0.14183 0.0036503 -0.010866 0.066756 -0.10056 -0.3177 -0.26195 0.067932 0.12032 0.31245 0.13214 0.26511 0.14796 0.15883 0.19341 0.17346 -0.062876 0.67764 -0.28684 0.4464 0.60295 -0.088347 -0.22757 -0.54454 -0.1414 -0.56372 -0.37701 -0.023961 0.093341 -0.3507 1.5524 0.49756 -0.49046 0.55341 0.036286 -0.25413 -0.17529 -0.66731 -0.14817 -0.54258 0.32176 0.74374 0.3981 -0.80528 0.5443 -0.055943 0.27081 -0.20963 0.41505 -0.048652 -0.13288 0.55189 -1.0333 0.97268 0.0088376 -0.1931 -0.089916 0.10011 0.051215 0.52278 -0.95986 -0.12912 -0.27984 0.2084 0.59773 0.42647 -0.14548 1.2532
smart	-0.08706 -0.1964 -0.067622 -0.9013 -0.24381 0.073144 0.039387 0.089763 0.042802 0.45012 0.24604 -0.6907 -0.43792 -0.082675 0.25165 0.07541 -0.079691 0.56201 0.36125 0.55589 0.2074 -0.063458 0.23837 -0.74425 0.23557 0.28635 -0.038739 -0.13757 -0.64895 0.55669 -0.3608 1.3162 0.31893 -0.70143 1.2518 -0.043112 -0.51151 -0.081368 0.68091 0.0099648 0.38525 -0.281 0.10468 -0.32184 -1.1042 0.012764 0.1888 0.38127 0.34605 -0.4824 -0.40266 -0.16009 0.091864 0.22446 0.025878 -1.6144 0.46562 0.65118 1.0117 -1.0728 0.25099 0.50603 -0.47697 -0.034916 0.59036 -0.18514 0.36002 0.55441 0.094241 -0.33993 0.54758 -0.1419 0.026396 -0.41347 -0.082131 0.25167 0.61418 0.22329 -0.28775 -0.36897 0.94683 -0.12825 -0.26085 -0.086589 -1.4284 0.037142 0.25578 -0.32746 -0.3906 -0.64103 0.48423 0.83243 0.46904 -0.44237 -0.2828 0.49926 -0.51825 -0.38387 0.010377 0.34998
