Coocurrences	
SimilarityReducer	
Similarity	0.29539 0.35926 0.58596 0.51849 -0.53528 -0.43087 -0.31026 -0.7589 -0.25658 0.027263 -0.46565 0.12184 0.7141 -0.30561 1.0579 1.0303 -0.0054367 0.0032619 0.38522 0.69558 0.078358 -0.60473 -0.32121 -0.11387 0.31912 -0.58156 0.32662 0.2781 -0.081943 -1.0159 0.12549 0.26836 -0.083276 -0.22685 -0.0079511 -0.31965 1.0116 0.04524 0.091669 0.16784 0.302 0.012497 0.42822 0.46722 -0.52225 0.38368 0.44772 0.24978 -0.70704 0.024437 0.35306 0.053308 0.45335 0.64581 0.048934 -0.76846 -0.2817 -0.97144 0.013198 -0.11399 -0.67213 0.58386 -0.02752 0.14128 0.4699 0.011844 0.10942 -0.39735 0.28028 0.14825 -0.96635 0.39581 0.71605 -0.14803 0.28792 0.13215 -0.16713 -0.88292 -0.16494 0.35487 -0.9173 -0.53974 -0.1848 -0.38217 -0.91828 0.15702 -0.18594 -0.73344 -0.37834 0.36635 -0.3932 0.10388 -0.5558 0.28926 0.27607 -0.13191 -0.98924 -1.1136 -0.088162 0.60532
Reducer	-0.03367 -0.37884 0.33855 -0.034815 -0.68692 -0.16015 -0.22528 -0.87143 -0.63088 0.063471 -0.47243 0.21106 0.014272 0.20241 0.81756 0.32037 -0.56588 -0.08496 0.42435 -0.78121 -0.15098 -0.20708 -1.26 0.6373 -0.035551 0.87482 -0.022666 0.16577 -0.1544 -0.64161 -0.19809 -0.18754 0.12482 0.88471 0.22559 0.17732 0.27792 -0.20282 0.022704 -0.2983 0.97634 0.61754 -0.264 -0.44746 0.67801 -0.094004 -0.10145 0.096352 -0.23697 -0.07123 -0.7051 0.11565 -0.66712 0.44583 0.40485 0.50258 0.17381 0.44463 -0.11658 0.0021868 0.60395 -0.10204 0.38165 0.082721 -0.16095 0.18405 -0.5456 -0.23812 0.36421 -0.043912 -0.11918 -0.35149 0.12531 1.1727 0.39186 0.12011 0.31171 0.53007 0.19405 -0.09447 -0.54273 0.06903 -0.4823 -0.43997 0.11589 0.84786 0.25494 -0.20616 -0.54088 0.022893 -0.42692 0.47815 0.015091 -0.072893 0.85669 0.0011752 0.47636 -0.62028 -0.33361 0.016532

tests	-0.37906 0.32433 0.21559 0.10914 -1.4685 -0.38792 0.35252 0.93983 -1.3256 0.75604 -0.049175 -0.13989 0.18782 0.69897 0.32758 0.402 0.24233 0.91387 -0.29767 0.14447 0.15447 -0.28095 0.11191 -0.092958 -0.32542 0.081207 0.01346 -0.3358 -0.37062 0.32077 -0.17917 0.06165 -0.78 0.23922 0.82362 0.16467 -0.27358 -0.41899 -1.4241 0.35495 -1.0919 0.10067 -0.091429 -0.78299 -0.094842 0.31715 0.55517 -0.78317 -0.55538 -0.5091 0.72589 0.042896 -0.35815 0.86922 -0.087776 -1.5139 -1.0458 -0.19528 1.2784 0.18363 -0.31651 0.62153 0.79919 0.42065 0.22551 1.1927 -0.22155 -0.18781 0.16301 0.033726 -0.12723 0.61968 0.24009 0.25306 -0.031486 0.60423 0.11976 -0.2717 -1.1865 -0.45172 0.9437 -0.13707 -0.22812 -0.055562 -2.1165 0.034045 0.85824 0.39473 -0.84621 0.67665 -0.77233 0.2391 0.064901 0.60682 0.11541 1.2251 -0.14338 -0.28247 -0.13127 -0.19051
RecommenderJob	
RowSimilarityJob	
noticed	0.17839 -0.33742 -0.12426 -0.1256 -0.55032 -0.10571 0.11433 0.322 0.73395 -0.49623 0.058054 0.12344 0.43996 -0.23844 0.27414 -0.010245 -0.242 0.042687 -0.063636 -0.27936 -0.27006 0.5659 -0.47792 -0.75365 0.20383 -0.26326 -0.23238 -0.39423 0.17983 -0.05641 0.10223 0.48081 0.34388 0.24214 -0.035205 -0.21098 -0.37687 0.04898 0.66689 -0.076911 -0.34228 -0.0030955 0.30708 -0.062873 -0.076557 0.26324 0.15649 0.30177 0.40097 -0.95422 0.62407 -0.12196 -0.307 0.35554 -0.054313 -1.3385 -0.32035 0.089023 0.46458 0.33718 -0.052596 1.3795 -0.24071 0.5099 0.25193 -0.10417 0.57417 -0.25798 0.24864 0.61326 -0.12808 0.027992 0.3123 -0.19964 0.088073 0.46899 0.44799 -0.41114 -0.37739 -0.14211 -0.12774 -0.47831 -0.46798 -0.38938 -1.087 -0.9726 0.33223 -0.47435 -0.95511 -0.15175 0.35914 -0.43015 -0.2028 -0.36439 -0.36692 0.23036 -0.52777 0.036428 -0.24599 -0.059047
cases	0.35707 0.45237 -0.029493 0.30313 0.074835 0.6606 0.11161 -0.15428 0.17328 -0.34193 -0.042793 0.18316 0.64152 0.68141 -0.16017 0.05026 -0.21585 0.15075 -0.37561 0.12669 0.8199 -0.30995 0.25457 0.18117 -0.0012093 -0.21998 1.3318 -0.69544 -0.8303 -0.060532 1.0019 0.052375 -0.070658 0.085978 -0.038016 0.039373 -0.069699 -0.57599 0.04053 0.15155 -0.55102 -0.12556 -0.14766 -1.4107 0.21944 0.026063 0.61681 -1.1091 -0.52247 -0.63259 1.0159 -0.60617 -0.1606 0.9168 -0.41273 -0.83292 -0.083767 -0.57844 2.0194 0.57919 -0.79003 0.92001 0.62618 -0.033495 0.89427 0.21162 0.23982 -0.062947 0.33071 -0.018711 -0.30729 -0.061819 -0.18882 0.60405 0.94139 0.054771 -0.58254 -0.17884 -0.88174 0.043163 1.1076 0.20837 0.28617 0.084648 -2.2182 -0.27141 0.096183 -0.16161 -0.46386 0.036175 -0.25493 -0.3538 -0.41274 -0.31624 0.19682 0.85364 -0.60578 -0.31515 0.69747 -1.0873
cooccurences	
