Tool	-0.76371 0.46849 -0.42437 -0.14351 0.53962 -0.58267 -0.17082 -0.73426 0.66004 0.26091 0.18441 -1.1196 -0.10025 -0.60416 0.047888 0.64329 0.73139 -0.16972 -0.32125 0.047193 -0.11353 -0.21215 -0.12999 -0.41137 0.118 -0.0092386 -0.20869 0.17372 -0.95741 -0.061085 0.10412 0.76594 -0.32003 -0.16389 0.13718 -0.38405 -0.54806 -0.4064 0.79785 -1.0632 -0.46027 0.32914 0.033041 -0.47758 -0.84577 -0.2552 0.21597 -0.017401 -0.5654 -0.35536 -0.17125 0.10968 -0.3084 1.3231 0.2833 -1.3514 -0.25881 -0.29452 1.4352 -0.16256 0.02301 -0.19011 0.1335 0.60058 0.36272 -0.10787 0.086311 -0.16759 0.68479 -0.23139 0.0013057 0.016111 0.25447 0.17421 -0.037183 -0.11457 -0.14607 0.24744 -0.24974 0.013562 0.29976 0.23433 -0.70664 -0.57311 -1.6067 0.76978 0.86084 0.26881 -0.15517 -0.44603 -0.34303 0.36974 0.9277 0.33715 0.81724 -0.47539 -0.11378 -0.62844 1.0811 0.76328
configuration	-0.98334 0.46377 0.83126 0.45715 -0.50326 -0.22882 0.11815 0.37471 0.25768 0.65938 0.63874 -0.28183 0.47454 -0.45865 0.93985 -0.038447 -0.3604 0.66872 0.56982 -0.60624 -0.51901 -1.0563 0.25595 -0.26926 0.80848 -1.0096 -0.20486 0.22528 -0.18765 0.26698 0.10763 0.81235 -0.68725 -0.036446 1.0214 0.48196 0.62993 0.085188 0.65425 -0.52995 0.63628 -0.35315 0.44093 0.3867 -0.28022 0.12194 0.12356 -0.079947 0.12814 0.50238 0.074409 0.1973 -0.017272 0.69671 0.52972 -1.0067 0.54323 0.027176 1.208 0.48588 -0.37228 -0.21103 0.34778 0.9129 0.85538 -0.38274 -0.32273 -0.59065 0.096705 0.066751 -0.74063 -0.3832 0.34513 -0.29124 0.32556 -0.1334 -0.044707 -0.15619 0.20446 0.011404 -0.71941 -0.33211 -0.44662 -0.13708 -0.36552 0.69068 0.70321 -0.94377 -0.37433 0.35979 -0.4985 0.60889 0.27116 0.19916 1.1641 0.31562 -0.17303 -0.45136 1.1944 -0.42683
support	-0.56889 1.0741 -0.47046 -0.0033372 0.3851 -0.14175 -0.5763 -0.30484 -0.095918 0.17786 -0.24177 -0.49157 -0.11069 -0.50345 0.091845 -0.40238 0.044992 -0.44403 -0.40238 0.56918 -0.11842 -0.29087 0.40975 -0.11389 -0.29725 -0.086441 0.014207 -0.26746 0.5926 0.066809 0.37691 0.71682 -0.028315 0.53827 0.29448 0.45476 0.5612 0.26344 -0.27477 0.2525 -0.64092 -0.3026 0.86114 -0.091432 0.08479 -0.73649 0.118 -0.26196 -0.30272 -0.81631 -0.31151 0.59154 0.12937 1.133 0.26651 -2.3144 0.79084 -1.2599 2.0374 0.2555 0.058432 -0.43257 0.054661 0.62745 0.58952 0.3839 -0.34004 0.39992 0.41631 -0.020312 0.65422 -0.17546 -0.58449 -1.0952 0.12616 0.40292 -0.32494 0.60967 -1.0284 -0.13108 0.40814 -0.0091753 0.034471 -0.035219 -1.507 0.044173 0.52328 0.53537 -0.21608 -0.62004 -0.1398 -0.37402 -0.13175 0.73579 -0.35415 -0.23068 -0.21276 -0.11696 0.77543 0.65422
EMF	0.59056 0.3829 0.16501 0.028596 -0.35258 0.12428 -0.095071 0.10257 0.22419 -0.05126 0.71296 0.35564 -0.27786 -0.36375 0.68577 0.021467 -0.3296 0.0024718 0.683 -0.86146 -0.2757 0.052849 -0.3132 1.0004 0.15594 -0.052505 0.90842 0.10575 0.24383 0.040303 -0.47454 0.45023 -0.46267 1.2418 0.18953 -0.34553 0.26031 0.44987 -0.38794 -0.39227 -0.088807 0.55087 -0.9689 0.12485 -0.095274 0.0015291 -0.24937 -0.30152 -0.30686 -0.51005 -0.060526 0.14212 -0.38687 -0.40872 0.5461 0.10074 0.60117 0.022759 0.038308 -0.22188 1.4387 -0.006151 0.061775 -0.029106 0.65226 0.47832 0.022876 -0.34115 0.19103 -0.13996 0.15635 -0.36911 0.11633 -0.36939 -0.28533 -1.3194 0.81201 0.0064444 -0.21448 -0.11925 -0.03282 -0.79719 0.21439 -0.26846 0.5351 0.23377 -0.12699 0.48908 0.083977 -0.29888 -0.05878 0.040006 -0.25052 0.054537 0.81483 -0.40139 0.02254 0.035658 0.11134 -0.13441
anchors	-0.31816 -0.24258 -0.037212 -1.0969 -0.3868 -0.58136 -0.45316 0.23825 -0.21578 0.051228 0.71873 -0.15734 0.61014 0.18028 0.38469 -0.63991 0.06393 0.097971 -0.29916 -0.4609 0.18721 0.13121 -0.15017 -0.049785 1.2661 -0.44093 -0.012451 0.48061 -0.23487 0.26669 0.47557 -0.0010535 -0.13525 0.12798 0.50908 0.19257 -0.045023 -0.2101 0.10061 0.023123 -0.087434 -0.087334 -0.39743 0.60205 0.088586 0.16522 -0.38325 -0.17972 -0.11379 -0.026354 -0.47253 0.2598 -0.048859 0.34862 0.57338 -0.36001 -0.3114 -0.42417 0.087488 0.66901 -0.6035 0.75698 0.58953 0.0098242 0.51856 -0.34823 0.54926 0.2931 0.43055 0.18089 -0.14406 0.1124 0.65583 -0.097068 0.14303 -0.12606 0.2169 0.29237 0.47591 -0.13695 -0.81483 -0.95097 -0.03942 0.17453 -0.3286 -0.94005 -0.4977 0.9069 0.15842 -0.43921 0.72259 0.26288 0.44262 -0.34349 -0.37616 -0.5997 0.33939 -0.26116 0.9973 1.3747

Invoking	0.27133 -0.16521 0.47463 0.12414 0.30178 0.80525 -1.1668 -0.11399 -0.1147 -0.55101 -0.50588 -0.435 -0.27233 -0.42237 0.15669 -0.53001 0.40898 0.10974 -0.34232 -0.38766 -0.11038 -0.29086 0.12545 0.33063 0.47921 0.010734 -0.63287 0.11756 -0.43041 -0.23607 0.58144 -0.018548 -0.4553 -0.12431 -0.6002 0.14248 -0.078961 -0.61158 0.46299 0.39918 -0.071124 0.46514 0.64149 0.073822 -0.34191 -0.10003 0.5611 -0.14436 -0.5311 -0.53414 0.45518 0.65401 0.38058 0.27051 -0.29446 -0.18006 0.85467 -0.24112 0.1238 0.079599 0.02014 0.26809 0.44469 -0.29886 0.27014 -0.27455 0.42343 0.03149 -0.49683 -0.22419 -0.17388 0.060146 -0.23251 -0.13062 -0.089934 0.15263 -0.32874 -0.31138 -0.89801 0.029162 -0.29954 -0.66505 0.006038 -0.10385 -0.35497 0.54465 -0.037882 0.41432 0.26308 -0.10372 -0.041358 0.15865 0.25197 0.35806 0.3677 -0.43376 -0.081854 -0.38208 -0.13921 0.18732
mappingtool	
anchor	-0.065105 -0.23435 -0.24446 -0.73736 -0.040266 -0.58909 -0.071943 -0.11207 -0.077978 -0.06823 0.61088 0.31267 0.34409 0.067522 0.13345 -1.0893 0.22732 -0.40679 -0.36895 -0.4221 0.16079 0.13248 -0.020281 -0.077906 1.7435 -0.19884 0.028926 0.21445 -0.26779 0.70641 0.019659 0.3429 0.16047 0.15723 0.058943 0.19036 -0.23699 -0.029453 0.33311 -0.089833 0.13642 -0.31204 -0.33093 0.37797 0.45837 0.61565 -0.89515 -0.81564 -0.11931 -0.57909 -0.33581 0.40022 0.01761 0.72679 0.78504 -1.895 -0.082451 -0.36291 0.71913 0.57913 -0.33827 0.20611 0.077774 -0.25558 0.73016 -0.53143 0.1928 0.47237 0.54965 0.41103 -0.17101 0.39755 0.57751 0.25136 0.47437 -0.33481 -0.14865 0.25551 0.39769 -0.13967 -1.2091 -0.69663 0.036682 0.67315 0.44448 -0.89562 -0.0058665 1.0011 0.25248 -0.45051 0.44424 0.51699 0.96783 -0.29194 -0.29643 -0.28389 0.31551 0.069031 1.1264 1.1079
ant	-0.98673 -0.23072 0.12902 -0.19969 -1.5945 0.188 -0.092576 -0.27939 -0.063274 -0.25715 -0.067851 -0.10367 -0.47438 0.38239 0.35266 0.95119 0.2216 0.084168 -0.048962 0.25961 -0.039058 -0.22661 0.4712 0.11122 1.1785 0.552 0.3075 0.1739 0.026625 0.7132 -0.29153 0.56975 0.12252 0.16705 0.27048 0.23377 -1.048 0.31522 0.85721 -0.77541 -0.4302 0.45661 -0.769 0.92585 0.25958 0.033176 -0.35317 0.96979 0.11415 0.51841 -0.90234 -0.33153 -0.11319 0.49934 -0.74812 -0.077917 -0.56604 -0.087696 -0.29373 0.60178 0.45747 0.53432 0.041773 0.16489 1.0866 -0.091759 0.055395 -0.36104 0.32381 -0.36264 -0.41048 -0.65396 -0.92896 -0.67062 0.27311 0.072361 -0.10004 -0.73773 -0.65201 0.65781 0.20346 -0.15113 -0.25922 -0.011352 0.69713 0.20531 0.61739 -0.58143 -0.046326 0.40398 -0.12353 -0.58581 0.15271 -0.25082 0.35002 -0.16284 -0.77588 -0.41722 0.9422 -0.54359
