Ensure	-0.48567 -0.16408 0.0078244 0.12859 0.051747 -0.25744 -0.64299 0.19449 -0.22447 0.14474 0.068127 0.23946 0.68866 -0.17004 -0.84685 -0.3444 0.56732 0.1933 -0.78774 -0.0098035 -0.43963 -0.89933 0.30843 -0.8263 -0.5255 -0.22513 -0.29675 -0.44642 -0.44943 0.0049677 -0.27975 0.29362 -0.061681 0.4433 0.72577 -0.068258 0.44723 -0.078866 -0.77689 -0.04995 -0.4344 -0.56811 0.19801 -0.18738 -0.17365 -0.07501 -0.15471 -0.56131 -0.43465 -1.0759 -0.15886 -0.065872 -0.46711 1.0363 0.34073 -1.3696 0.39611 -0.49056 1.8848 -0.31868 -0.4977 -0.42026 -0.55018 0.077177 1.162 0.64054 -0.59669 0.037868 0.38303 -0.84718 0.59791 -0.513 0.21855 -0.30082 1.3706 0.084511 -0.58303 -0.016262 -0.62717 -0.052438 1.1302 0.26644 -0.46243 0.48104 -1.5991 0.13814 0.29744 0.43064 -0.44364 -0.061928 -0.045886 -0.21352 -0.038065 -0.25132 -0.32833 0.02267 0.35893 0.15957 0.013674 0.51368
max	0.33565 0.12465 0.20992 -0.086777 0.21934 -0.68033 0.061912 0.24192 -0.54262 -0.57274 0.26555 -0.14648 -1.0335 -0.16845 -0.074589 0.1714 0.68265 -0.11963 -0.49841 0.019034 0.24599 0.14635 0.89767 0.18017 0.28998 0.15991 0.18196 -0.33097 0.67532 0.595 -0.34499 0.67752 -0.39294 0.16358 -0.49008 0.28333 0.11334 0.025012 0.19719 0.24081 0.28687 -0.16212 -0.14631 0.059077 -1.0204 0.1693 -0.3522 -0.061396 0.32891 0.89924 0.42846 -0.059807 -0.37297 0.4329 0.35922 -1.8269 -0.42954 0.94145 -0.30023 0.28432 1.0934 0.29719 -0.66702 0.37195 1.3223 -0.1351 0.45743 0.85868 0.79297 0.45994 0.16244 -0.85051 -0.48492 0.17117 0.26897 0.39759 0.72053 -0.90713 0.27388 0.20514 -0.002243 -0.13619 -0.37674 -0.52834 -0.58256 0.22823 -0.29786 -0.25706 -0.2076 -0.4404 0.563 -0.10467 0.68584 0.6947 0.10906 -0.23994 0.0041504 -0.096644 0.26211 -0.80438
min	-0.92565 -0.42908 0.39846 -0.0019327 0.12858 0.21589 -0.18895 -0.080343 -0.13173 -0.051659 0.71618 0.79743 0.090536 -0.18066 0.48203 -0.038357 0.098337 -0.76183 -0.77107 -0.55235 0.94741 1.0446 -0.034674 0.81783 -0.27713 1.0339 0.20285 0.10788 0.32536 0.15665 -0.90879 0.72331 0.2279 -0.12833 -0.44131 -0.32128 0.36429 1.0612 -0.8667 -0.10731 -0.24815 -0.31346 -0.68205 -0.23156 0.39259 -0.59835 -0.45348 -0.73787 0.43308 0.27343 -0.65453 -1.0814 0.42562 0.48339 0.13666 -0.10473 -0.39908 0.22518 -0.035084 -0.10761 -0.89762 -0.70856 -0.43644 0.1806 -0.31052 0.6221 0.94989 0.52722 0.24696 1.3636 -0.24184 0.56107 0.064834 -0.60848 0.51866 0.13425 -0.93879 -0.29136 -0.0556 -0.56513 0.15116 -0.59632 0.31998 -0.80508 -1.5363 0.50462 -0.54071 -0.25988 1.5935 0.57904 0.40017 0.75768 0.1762 0.11339 -0.062217 -0.13001 -0.26259 -1.1281 -0.39067 -1.0814
valid	0.059369 0.29899 0.099834 9.5445e-05 0.1593 0.16494 0.47706 0.25892 0.50351 0.028673 -0.32095 0.63187 0.55425 -0.19256 0.54504 -0.379 0.7826 1.1628 0.27472 0.54645 0.051401 0.11897 0.44424 -0.11146 0.22811 -0.8975 0.73855 -0.47275 0.0022944 -0.18224 0.29705 0.10758 0.0054202 -0.01406 0.45567 0.24548 -0.061069 -0.10315 -0.58652 -0.22686 -0.041835 -0.00067681 1.0702 -0.42444 -0.36729 -1.5606 0.42233 -0.23762 -1.1408 -0.35673 0.91375 0.10379 0.32663 0.18864 -0.12274 -0.29193 0.48188 -0.3102 1.7065 -0.44739 -0.34185 -0.094277 -0.50711 0.036487 0.81634 0.074207 -0.47538 -0.24895 -0.38803 -0.64196 -1.2001 0.18421 0.73733 -0.026524 0.73603 0.60383 -0.59033 -0.69623 -1.5269 -0.81833 0.2604 -0.58948 -0.45269 -0.60026 -0.63328 -0.097068 1.0023 0.13459 0.14182 -0.24717 -0.98238 0.30926 0.31015 -0.14777 0.079195 0.7986 -0.59399 0.031057 -0.18172 -0.14145
offset	-0.517 0.36966 -0.2459 0.149 0.18827 -1.3197 -0.50566 -0.095081 -0.032367 -0.13071 0.078845 -0.051835 -0.2166 -0.57218 0.40955 -0.15244 -0.84332 0.15092 0.77294 -0.19758 0.30374 -0.49477 -0.32504 0.90251 -0.3392 -0.36516 -0.19814 -0.39984 -0.73849 -0.30608 0.16195 0.10862 -0.78478 -0.16382 -0.23554 0.21435 0.46825 -0.39998 -0.26753 0.14882 0.4123 -0.61041 -0.52667 0.57976 0.069242 -0.1587 0.70705 0.41844 0.043873 -1.5395 -0.4217 0.78023 -0.25775 0.31838 0.48704 -1.3394 0.39417 -0.64535 1.284 -0.44552 0.2451 -0.26981 -0.25601 0.36899 -0.24301 -0.11375 0.25183 -0.24614 0.75097 -0.64855 -0.15079 0.041476 -0.036841 0.31184 0.44796 0.076236 0.083923 0.26021 -0.49441 0.63282 0.19463 -0.03476 -0.51205 -0.027164 -1.0004 -1.1404 0.20124 0.033577 -0.12914 -0.19551 -0.73118 -0.092221 -0.48355 -0.78805 -0.60528 -0.059827 0.85866 -0.28143 0.85105 -0.65147
DateTimeZone	
apply	0.028274 -0.05087 -0.3234 0.27333 -0.015821 0.063661 -0.68077 0.41225 0.18791 0.18175 -0.24454 -0.11006 0.33487 0.088822 -0.028357 -0.31478 0.59096 0.6277 -0.77228 -0.10361 -0.46092 -0.24327 0.32391 -0.16584 -0.20934 -0.55859 0.1855 -1.4673 -0.16677 -0.51616 -0.12574 0.82782 -0.72776 -0.16105 0.017233 0.61374 0.017791 -0.22962 -0.39648 -0.40017 -0.86822 -0.32205 -0.21794 -0.25957 -0.66145 -0.33744 0.25269 0.012584 -0.34612 -1.0938 0.056588 0.11971 -0.10568 0.7491 -0.19822 -0.53793 0.7385 -0.59256 2.0931 -0.36435 -0.072436 0.47218 -0.26848 -0.15274 1.1657 0.25178 -0.29001 0.23911 -0.51603 -0.63889 -0.5915 -0.34261 0.2198 0.15414 0.24961 0.25531 -0.48452 -0.37185 -0.22665 -0.54623 0.71884 -0.71398 -0.37302 -0.44602 -0.99811 0.47751 0.41077 -0.11877 0.16763 -0.22569 -0.59365 -0.2714 0.0061955 -0.70134 0.18898 0.27896 -0.14449 0.29499 0.23194 -0.09834
max	0.33565 0.12465 0.20992 -0.086777 0.21934 -0.68033 0.061912 0.24192 -0.54262 -0.57274 0.26555 -0.14648 -1.0335 -0.16845 -0.074589 0.1714 0.68265 -0.11963 -0.49841 0.019034 0.24599 0.14635 0.89767 0.18017 0.28998 0.15991 0.18196 -0.33097 0.67532 0.595 -0.34499 0.67752 -0.39294 0.16358 -0.49008 0.28333 0.11334 0.025012 0.19719 0.24081 0.28687 -0.16212 -0.14631 0.059077 -1.0204 0.1693 -0.3522 -0.061396 0.32891 0.89924 0.42846 -0.059807 -0.37297 0.4329 0.35922 -1.8269 -0.42954 0.94145 -0.30023 0.28432 1.0934 0.29719 -0.66702 0.37195 1.3223 -0.1351 0.45743 0.85868 0.79297 0.45994 0.16244 -0.85051 -0.48492 0.17117 0.26897 0.39759 0.72053 -0.90713 0.27388 0.20514 -0.002243 -0.13619 -0.37674 -0.52834 -0.58256 0.22823 -0.29786 -0.25706 -0.2076 -0.4404 0.563 -0.10467 0.68584 0.6947 0.10906 -0.23994 0.0041504 -0.096644 0.26211 -0.80438
min	-0.92565 -0.42908 0.39846 -0.0019327 0.12858 0.21589 -0.18895 -0.080343 -0.13173 -0.051659 0.71618 0.79743 0.090536 -0.18066 0.48203 -0.038357 0.098337 -0.76183 -0.77107 -0.55235 0.94741 1.0446 -0.034674 0.81783 -0.27713 1.0339 0.20285 0.10788 0.32536 0.15665 -0.90879 0.72331 0.2279 -0.12833 -0.44131 -0.32128 0.36429 1.0612 -0.8667 -0.10731 -0.24815 -0.31346 -0.68205 -0.23156 0.39259 -0.59835 -0.45348 -0.73787 0.43308 0.27343 -0.65453 -1.0814 0.42562 0.48339 0.13666 -0.10473 -0.39908 0.22518 -0.035084 -0.10761 -0.89762 -0.70856 -0.43644 0.1806 -0.31052 0.6221 0.94989 0.52722 0.24696 1.3636 -0.24184 0.56107 0.064834 -0.60848 0.51866 0.13425 -0.93879 -0.29136 -0.0556 -0.56513 0.15116 -0.59632 0.31998 -0.80508 -1.5363 0.50462 -0.54071 -0.25988 1.5935 0.57904 0.40017 0.75768 0.1762 0.11339 -0.062217 -0.13001 -0.26259 -1.1281 -0.39067 -1.0814
offset	-0.517 0.36966 -0.2459 0.149 0.18827 -1.3197 -0.50566 -0.095081 -0.032367 -0.13071 0.078845 -0.051835 -0.2166 -0.57218 0.40955 -0.15244 -0.84332 0.15092 0.77294 -0.19758 0.30374 -0.49477 -0.32504 0.90251 -0.3392 -0.36516 -0.19814 -0.39984 -0.73849 -0.30608 0.16195 0.10862 -0.78478 -0.16382 -0.23554 0.21435 0.46825 -0.39998 -0.26753 0.14882 0.4123 -0.61041 -0.52667 0.57976 0.069242 -0.1587 0.70705 0.41844 0.043873 -1.5395 -0.4217 0.78023 -0.25775 0.31838 0.48704 -1.3394 0.39417 -0.64535 1.284 -0.44552 0.2451 -0.26981 -0.25601 0.36899 -0.24301 -0.11375 0.25183 -0.24614 0.75097 -0.64855 -0.15079 0.041476 -0.036841 0.31184 0.44796 0.076236 0.083923 0.26021 -0.49441 0.63282 0.19463 -0.03476 -0.51205 -0.027164 -1.0004 -1.1404 0.20124 0.033577 -0.12914 -0.19551 -0.73118 -0.092221 -0.48355 -0.78805 -0.60528 -0.059827 0.85866 -0.28143 0.85105 -0.65147
