prepare	0.631578947368421 0.0 0.0 0.0 0.0
product	0.9473684210526316 0.8888888888888888 0.0 0.0 0.4285714285714286
process	0.8947368421052632 0.6666666666666667 0.0 0.33333333333333337 0.2857142857142857
Start	0.0 0.11111111111111116 0.0 0.0 0.0
work	0.21052631578947367 0.0 0.0 0.0 0.0
purchase	0.368421052631579 0.2222222222222222 1.0 0.8333333333333334 0.0
box	0.5263157894736843 0.7777777777777778 0.0 0.0 0.0
Process	0.0 0.0 0.0 0.16666666666666663 0.5714285714285714
dialog	0.5789473684210527 0.0 0.0 0.0 0.0
correctly	0.1578947368421053 0.0 0.0 0.0 0.0
current	0.6842105263157895 0.0 0.0 0.0 0.1428571428571429
Adempiere	0.42105263157894735 0.0 0.0 0.0 0.0
Sales	0.736842105263158 0.5555555555555556 0.75 0.6666666666666667 0.8571428571428572
Choose	0.3157894736842105 0.0 0.0 0.0 0.0
vendor	0.8421052631578947 0.33333333333333337 0.0 0.0 0.0
Create	0.10526315789473684 0.0 0.0 0.0 0.0
Generate	0.7894736842105263 0.0 0.0 0.0 1.0
creates	0.4736842105263158 0.0 0.0 0.0 0.0
vendors	0.052631578947368474 0.4444444444444444 0.5 0.5 0.0
selected	0.26315789473684215 0.0 0.0 0.0 0.0
order	1.0 1.0 0.25 1.0 0.7142857142857143
