Unix	0.7428571428571429 0.12903225806451613 0.0 0.0 0.0
code	0.37142857142857144 0.32258064516129037 0.0 0.0 0.0
parsechecker	0.0 0.4838709677419355 0.0 0.0 0.2727272727272727
document	0.6857142857142857 0.0 0.0 0.0 0.0
moved	0.08571428571428574 0.0 1.0 0.0 0.0
lucene	0.48571428571428577 0.967741935483871 0.0 0.0 0.4545454545454546
content	0.8857142857142857 0.4516129032258065 0.875 0.2222222222222222 0.0
URL	0.6571428571428571 0.8064516129032258 0.0 0.0 0.0
Open	0.7142857142857143 0.09677419354838712 0.0 0.0 0.0
empty	0.4 0.0 0.0 0.0 0.0
points	0.0 0.29032258064516125 0.0 0.0 0.0
protocol	0.6 1.0 0.0 0.11111111111111116 0.9090909090909091
apache	0.4571428571428572 0.7741935483870968 0.75 0.8888888888888888 0.18181818181818177
host	0.05714285714285716 0.0 0.0 0.0 0.0
checked	0.5142857142857142 0.0 0.0 0.0 0.0
html	0.5428571428571429 0.032258064516129004 0.0 0.0 0.0
text	0.0 0.5483870967741935 0.0 0.0 0.0
CEST	0.8 0.22580645161290325 0.0 0.0 0.0
contentType	0.34285714285714286 0.3870967741935484 0.625 0.33333333333333337 0.0
case	0.0 0.6774193548387097 0.0 0.0 0.0
successful	0.2571428571428571 0.0 0.0 0.0 0.0
redirect	0.9714285714285714 0.0 0.0 0.0 0.5454545454545454
Jul	0.7714285714285715 0.7419354838709677 0.0 0.0 0.0
Moved	0.02857142857142858 0.3548387096774194 0.5 0.0 0.0
original	0.5714285714285714 0.0 0.0 0.0 0.0
Permanently	0.9142857142857143 0.0 0.0 0.0 0.0
org	0.8285714285714285 0.935483870967742 0.0 0.0 0.36363636363636365
Tue	0.19999999999999996 0.7096774193548387 0.0 0.0 0.0
Apache	0.1428571428571429 0.6451612903225806 0.0 0.0 0.0
SSL	0.11428571428571432 0.5806451612903225 0.375 0.7777777777777778 0.0
url	0.17142857142857137 0.19354838709677424 0.0 0.0 0.0
OpenSSL	0.6285714285714286 0.6129032258064516 0.25 0.6666666666666667 0.0
Parsechecker	0.0 0.06451612903225812 0.0 0.5555555555555556 0.0
tstamp	0.0 0.16129032258064513 0.0 0.0 0.0
response	0.3142857142857143 0.25806451612903225 0.0 0.0 0.0
nutch	1.0 0.5161290322580645 0.0 0.0 0.6363636363636364
fetch	0.22857142857142854 0.0 0.0 0.0 0.0
report	0.2857142857142857 0.8387096774193549 0.0 0.0 0.7272727272727273
http	0.4285714285714286 0.4193548387096774 0.125 1.0 0.09090909090909094
indexchecker	0.9428571428571428 0.8709677419354839 0.0 0.4444444444444444 1.0
status	0.8571428571428572 0.9032258064516129 0.0 0.0 0.8181818181818181
