aTunes	0.5666666666666667 0.6666666666666667 0.0 0.0 0.0
Internal	0.7666666666666666 0.0 0.0 0.0 0.0
SVN	0.30000000000000004 0.4666666666666667 0.0 0.0 0.0
repository	0.9333333333333333 0.0 0.0 0.5 0.8571428571428572
Update	0.2666666666666667 0.4 1.0 0.75 0.0
Image	0.19999999999999996 0.9333333333333333 0.0 0.0 0.0
Tunes	0.1333333333333333 0.06666666666666665 0.0 0.0 0.0
Result	0.16666666666666663 0.19999999999999996 0.0 0.0 0.0
Read	0.033333333333333326 0.0 0.0 0.0 0.0
Supports	0.6666666666666667 0.0 0.8333333333333334 0.0 0.0
file	0.5333333333333333 0.7333333333333334 0.0 0.0 0.0
public	0.23333333333333328 0.0 0.0 0.0 0.0
older	0.9 0.0 0.0 0.0 0.5714285714285714
Adding	0.09999999999999998 0.0 0.0 0.0 0.0
latest	0.8666666666666667 0.0 0.6666666666666667 1.0 0.0
app	0.3666666666666667 0.1333333333333333 0.0 0.0 0.1428571428571429
add	0.06666666666666665 0.0 0.0 0.0 0.7142857142857143
image	1.0 1.0 0.0 0.0 1.0
set	0.5 0.0 0.0 0.0 0.0
read	0.33333333333333337 0.5333333333333333 0.0 0.0 0.2857142857142857
format	0.7333333333333334 0.8 0.0 0.0 0.0
false	0.6 0.0 0.5 0.0 0.0
version	0.8333333333333334 0.6 0.0 0.25 0.4285714285714286
boolean	0.8 0.0 0.0 0.0 0.0
versions	0.4666666666666667 0.8666666666666667 0.0 0.0 0.0
assuming	0.4 0.0 0.0 0.0 0.0
isSupportsInternalImage	0.7 0.33333333333333337 0.0 0.0 0.0
true	0.43333333333333335 0.0 0.33333333333333337 0.0 0.0
returns	0.6333333333333333 0.2666666666666667 0.0 0.0 0.0
supported	0.9666666666666667 0.0 0.16666666666666663 0.0 0.0
