ensemble	1.0 1.0 0.0 0.0 0.8571428571428572
recovery	0.88 0.6470588235294117 0.0 0.0 0.9285714285714286
Recovery	0.43999999999999995 0.3529411764705882 0.0 0.0 0.0
bookie	0.92 0.9411764705882353 0.0 0.0 0.7142857142857143
empty	0.040000000000000036 0.0 0.0 0.0 0.0
Read	0.6 0.05882352941176472 1.0 0.0 0.4285714285714286
closing	0.19999999999999996 0.0 0.0 0.0 0.0
client	0.8 0.7647058823529411 0.0 0.0 0.3571428571428571
written	0.76 0.0 0.0 0.0 0.1428571428571429
case	0.64 0.47058823529411764 0.0 0.0 0.2857142857142857
NoSuchLedgerException	0.31999999999999995 0.5882352941176471 0.0 0.0 0.0
ledger	0.96 0.8823529411764706 0.75 1.0 0.7857142857142857
happen	0.4 0.0 0.0 0.0 0.0
recover	0.72 0.0 0.0 0.0 0.5714285714285714
created	0.16000000000000003 0.0 0.0 0.0 0.5
Ledger	0.84 0.8235294117647058 0.5 0.5 1.0
quorum	0.52 0.2941176470588235 0.0 0.0 0.0
change	0.28 0.0 0.0 0.0 0.0
reading	0.36 0.11764705882352944 0.25 0.0 0.0
doRecoveryRead	0.24 0.23529411764705888 0.0 0.0 0.0
entry	0.0 0.7058823529411764 0.0 0.0 0.0
size	0.6799999999999999 0.4117647058823529 0.0 0.0 0.0
slow	0.56 0.0 0.0 0.0 0.0714285714285714
closed	0.48 0.0 0.0 0.0 0.2142857142857143
time	0.0 0.17647058823529416 0.0 0.0 0.0
fence	0.07999999999999996 0.0 0.0 0.0 0.0
mark	0.12 0.5294117647058824 0.0 0.0 0.6428571428571428
