distance	1.0 0.8 0.0 0.5 1.0
method	0.41666666666666663 0.09999999999999998 0.6666666666666667 0.75 0.7777777777777778
methods	0.5833333333333333 0.9 0.33333333333333337 0.0 0.6666666666666667
Implement	0.33333333333333337 0.4 1.0 1.0 0.8888888888888888
exists	0.9166666666666666 0.0 0.0 0.0 0.0
Segments	0.08333333333333337 1.0 0.0 0.0 0.11111111111111116
segements	0.75 0.7 0.0 0.0 0.0
lines	0.6666666666666667 0.19999999999999996 0.0 0.25 0.2222222222222222
class	0.16666666666666663 0.30000000000000004 0.0 0.0 0.0
point	0.5 0.5 0.0 0.0 0.33333333333333337
calculates	0.25 0.0 0.0 0.0 0.4444444444444444
Lines	0.8333333333333334 0.6 0.0 0.0 0.5555555555555556
