setTypDefValues	0.6341463414634146 0.9310344827586207 0.0 0.0 0.0
server	0.5853658536585367 0.03448275862068961 0.0 0.0 0.33333333333333337
code	0.8536585365853658 0.4482758620689655 0.0 0.0 1.0
called	0.1707317073170732 0.0 0.0 0.0 0.0
purpose	0.14634146341463417 0.896551724137931 0.0 0.0 0.0
Values	0.12195121951219512 0.6551724137931034 0.0 0.0 0.0
confirmed	0.8292682926829268 0.0 0.0 0.0 0.0
issues	0.36585365853658536 0.7931034482758621 0.0 0.0 0.0
Cleanup	0.09756097560975607 0.3793103448275862 0.0 0.0 0.6666666666666667
required	0.5121951219512195 0.0 0.0 0.0 0.0
network	0.6829268292682926 0.06896551724137934 0.0 0.0 0.8333333333333334
default	0.7073170731707317 0.1724137931034483 0.0 0.0 0.0
identified	0.5609756097560976 0.0 0.0 0.0 0.0
apache	0.46341463414634143 0.0 0.875 0.5 0.0
DERBY	0.975609756097561 0.5862068965517242 0.0 0.0 0.16666666666666663
statement	0.04878048780487809 0.3448275862068966 0.0 0.0 0.0
derived	0.29268292682926833 0.0 0.0 0.0 0.0
class	0.024390243902439046 0.5517241379310345 0.0 0.0 0.0
tasks	0.7560975609756098 0.24137931034482762 0.75 0.875 0.0
pkgnamcsn	0.4878048780487805 0.4137931034482759 0.25 0.375 0.0
jira	0.3414634146341463 0.13793103448275867 0.0 0.0 0.0
pkgcnstkn	0.19512195121951215 0.31034482758620685 0.375 0.25 0.0
variables	0.3902439024390244 0.7241379310344828 0.0 0.0 0.0
comments	0.8048780487804879 0.5172413793103448 0.0 0.0 0.0
set	0.6585365853658536 0.0 0.0 0.0 0.0
method	0.926829268292683 0.48275862068965514 0.0 0.0 0.0
Def	0.8780487804878049 0.6206896551724138 0.0 0.0 0.0
org	0.4390243902439024 0.0 0.0 0.0 0.0
DRDAStatement	1.0 0.8275862068965517 0.0 0.125 0.5
Typ	0.7317073170731707 1.0 0.0 0.0 0.0
modify	0.7804878048780488 0.0 0.0 0.0 0.0
places	0.9024390243902439 0.8620689655172413 0.0 0.0 0.0
removed	0.2682926829268293 0.0 0.0 0.0 0.0
calls	0.6097560975609756 0.9655172413793104 0.0 0.0 0.0
cleanup	0.07317073170731703 0.7586206896551724 0.625 1.0 0.0
http	0.24390243902439024 0.0 0.5 0.625 0.0
initialize	0.9512195121951219 0.2068965517241379 0.0 0.0 0.0
pkgsn	0.41463414634146345 0.10344827586206895 1.0 0.75 0.0
pkgid	0.31707317073170727 0.27586206896551724 0.125 0.0 0.0
object	0.5365853658536586 0.6896551724137931 0.0 0.0 0.0
browse	0.2195121951219512 0.0 0.0 0.0 0.0
