Impl	0.5 0.3125 1.0 0.0 0.0
NPE	0.40909090909090906 0.8125 0.0 0.0 0.6666666666666667
OSGi	0.9545454545454546 1.0 0.9 0.33333333333333337 1.0
instance	0.0 0.5 0.0 0.0 0.0
Message	0.8636363636363636 0.875 0.0 0.0 0.5555555555555556
RemoteOSGiMessage	0.31818181818181823 0.375 0.8 0.0 0.0
handleMessage	0.5454545454545454 0.5625 0.7 0.0 0.0
Channel	0.2727272727272727 0.6875 0.0 0.0 0.0
Remote	0.2272727272727273 0.625 0.0 0.0 0.2222222222222222
handle	0.36363636363636365 0.0 0.0 0.0 0.0
received	0.045454545454545414 0.0 0.0 0.0 0.0
ethz	0.5909090909090908 0.4375 0.0 0.0 0.4444444444444444
local	0.18181818181818177 0.0 0.0 0.0 0.0
iks	0.6818181818181819 0.0 0.0 0.0 0.33333333333333337
impl	0.7272727272727273 0.125 0.6 0.0 0.0
osgi	0.7727272727272727 0.0 0.5 0.0 0.11111111111111116
updating	0.13636363636363635 0.0 0.0 0.0 0.0
Endpoint	0.4545454545454546 0.1875 0.4 0.0 0.0
Bug	0.0 0.25 0.0 0.0 0.7777777777777778
service	0.9090909090909091 0.75 0.30000000000000004 1.0 0.0
SERVICE	1.0 0.9375 0.19999999999999996 0.6666666666666667 0.8888888888888888
receives	0.09090909090909094 0.0 0.0 0.0 0.0
MODIFIED	0.8181818181818181 0.0 0.0 0.0 0.0
ChannelEndpointImpl	0.6363636363636364 0.0625 0.09999999999999998 0.0 0.0
