Site	0.15000000000000002 0.36363636363636365 1.0 0.0 0.2142857142857143
Reselecting	0.0 0.0 0.0 0.6666666666666667 0.6428571428571428
telling	0.4 0.0 0.0 0.0 0.0714285714285714
Warning	0.55 0.2727272727272727 0.0 0.5 0.0
select	0.9 0.0 0.75 0.8333333333333334 0.5
Foo	0.85 0.09090909090909094 0.0 0.0 0.3571428571428571
project	0.75 1.0 0.0 0.0 0.2857142857142857
deployed	0.09999999999999998 0.0 0.0 0.0 0.0
Deploy	0.95 0.4545454545454546 0.0 0.0 0.8571428571428572
error	0.35 0.6363636363636364 0.0 0.0 0.1428571428571429
message	0.0 0.5454545454545454 0.0 0.0 0.0
target	0.050000000000000044 0.18181818181818177 0.0 0.0 0.0
misleading	0.5 0.0 0.0 0.16666666666666663 0.7857142857142857
site	1.0 0.8181818181818181 0.5 0.0 0.9285714285714286
Target	0.25 0.9090909090909091 0.0 0.0 0.5714285714285714
confirming	0.44999999999999996 0.0 0.0 0.0 0.0
Choose	0.30000000000000004 0.0 0.25 1.0 0.0
DAV	0.0 0.0 0.0 0.0 0.4285714285714286
warning	0.8 0.0 0.0 0.33333333333333337 0.7142857142857143
ignore	0.65 0.0 0.0 0.0 0.0
location	0.7 0.0 0.0 0.0 1.0
delpoyed	0.19999999999999996 0.0 0.0 0.0 0.0
overwrite	0.0 0.7272727272727273 0.0 0.0 0.0
case	0.6 0.0 0.0 0.0 0.0
