reports	0.9032258064516129 0.0 0.0 0.0 0.125
named	0.6774193548387097 0.0 0.0 0.0 0.0
javac	0.4354838709677419 0.2222222222222222 1.0 1.0 0.0
Null	0.24193548387096775 0.0 0.0 0.0 0.0
bin	0.4838709677419355 0.5111111111111111 0.0 0.0 0.0
Ordered	0.8870967741935484 1.0 0.0 0.0 0.0
String	0.11290322580645162 0.06666666666666665 0.0 0.0 0.0
type	0.0 0.3555555555555555 0.0 0.0 0.0
reference	0.30645161290322576 0.1777777777777778 0.0 0.0 0.375
lambda	0.7580645161290323 0.4444444444444444 0.0 0.0 0.5
java	0.8709677419354839 0.7777777777777778 0.9411764705882353 0.8888888888888888 0.0
exe	0.7741935483870968 0.4666666666666667 0.8823529411764706 0.0 0.0
Test	0.016129032258064502 0.24444444444444446 0.8235294117647058 0.0 0.0
jan	0.467741935483871 0.0 0.0 0.0 0.0
List	0.9516129032258065 0.7333333333333334 0.0 0.0 0.0
parallelStream	0.8225806451612903 0.19999999999999996 0.0 0.0 0.0
Stream	0.06451612903225812 0.9333333333333333 0.0 0.0 0.0
Ambiguous	0.6290322580645161 0.8 0.7647058823529411 0.0 0.0
Core	0.564516129032258 0.9777777777777777 0.0 0.0 0.0
add	0.9838709677419355 0.0 0.0 0.0 0.0
pointer	0.8387096774193549 0.33333333333333337 0.0 0.0 0.0
test	0.8548387096774194 0.7555555555555555 0.7058823529411764 0.0 0.0
Method	0.6935483870967742 0.6888888888888889 0.0 0.0 0.0
eclipse	0.4193548387096774 0.0 0.0 0.0 0.0
core	0.4032258064516129 0.8222222222222222 0.0 0.0 0.0
tests	0.33870967741935487 0.1333333333333333 0.6470588235294117 0.0 0.0
null	0.9193548387096774 0.0 0.0 0.0 0.0
extends	0.6129032258064516 0.0 0.0 0.0 0.0
defaults	0.25806451612903225 0.0444444444444444 0.0 0.0 0.0
util	0.17741935483870963 0.48888888888888893 0.0 0.0 0.0
Object	0.14516129032258063 0.11111111111111116 0.0 0.0 0.0
parameters	0.6451612903225806 0.6 0.0 0.0 0.0
errors	0.5483870967741935 0.6444444444444444 0.0 0.4444444444444444 0.0
implements	0.16129032258064513 0.0 0.5882352941176471 0.0 0.0
Set	0.935483870967742 0.0 0.5294117647058824 0.0 0.25
access	0.22580645161290325 0.3111111111111111 0.0 0.0 0.0
import	0.0 0.0888888888888889 0.0 0.0 0.0
methods	0.27419354838709675 0.8444444444444444 0.47058823529411764 0.0 0.0
AmbiguousMethodTest	0.532258064516129 0.5777777777777777 0.4117647058823529 0.0 0.0
error	0.7903225806451613 0.8666666666666667 0.3529411764705882 0.5555555555555556 1.0
interface	0.7419354838709677 0.15555555555555556 0.0 0.0 0.0
public	0.5967741935483871 0.0 0.0 0.0 0.0
stream	0.20967741935483875 0.0 0.0 0.0 0.0
parallel	0.048387096774193505 0.0 0.0 0.0 0.0
Bug	0.0 0.7111111111111111 0.2941176470588235 0.0 0.625
JDT	0.0 0.6222222222222222 0.0 0.0 0.0
compiler	1.0 0.37777777777777777 0.11764705882352944 0.7777777777777778 0.75
lines	0.0 0.4222222222222223 0.0 0.0 0.0
class	0.5806451612903225 0.0 0.0 0.0 0.0
inherits	0.19354838709677424 0.0 0.0 0.0 0.0
declared	0.12903225806451613 0.0 0.0 0.0 0.0
OrderedSet	0.967741935483871 0.8888888888888888 0.23529411764705888 0.0 0.0
types	0.7258064516129032 0.9111111111111111 0.0 0.0 0.0
org	0.32258064516129037 0.6666666666666667 0.0 0.0 0.0
Reference	0.0 0.0 0.0 0.33333333333333337 0.0
warnings	0.6612903225806452 0.9555555555555556 0.0 0.11111111111111116 0.0
message	0.8064516129032258 0.0 0.0 0.0 0.875
windows	0.3709677419354839 0.0 0.17647058823529416 0.0 0.0
jdk	0.5161290322580645 0.0 0.05882352941176472 0.6666666666666667 0.0
Integer	0.09677419354838712 0.022222222222222254 0.0 0.0 0.0
boolean	0.032258064516129004 0.0 0.0 0.0 0.0
unrelated	0.29032258064516125 0.0 0.0 0.0 0.0
regression	0.3548387096774194 0.5555555555555556 0.0 0.0 0.0
inherited	0.08064516129032262 0.0 0.0 0.0 0.0
variable	0.3870967741935484 0.28888888888888886 0.0 0.0 0.0
Duplicate	0.7096774193548387 0.0 0.0 0.0 0.0
jdt	0.4516129032258065 0.2666666666666667 0.0 0.0 0.0
markers	0.5 0.5333333333333333 0.0 0.0 0.0
Warnings	0.0 0.4 0.0 0.2222222222222222 0.0
