method	1.0 0.8333333333333334 1.0 0.0 1.0
double	0.0 0.0 0.9333333333333333 0.0 0.0
created	0.0 0.0 0.8666666666666667 0.0 0.0
appears	0.0 0.0 0.8 0.0 0.0
source	0.30000000000000004 1.0 0.7333333333333334 0.0 0.5
breakpoint	0.8 0.33333333333333337 0.6666666666666667 1.0 0.0
retrieving	0.6 0.0 0.6 0.0 0.19999999999999996
properly	0.0 0.0 0.5333333333333333 0.0 0.0
unable	0.7 0.0 0.4666666666666667 0.0 0.9
external	0.9 0.0 0.4 0.5 0.6
Bug	0.0 0.6666666666666667 0.33333333333333337 0.0 0.8
siganture	0.5 0.5 0.2666666666666667 0.0 0.09999999999999998
create	0.19999999999999996 0.0 0.19999999999999996 0.0 0.7
breakpoints	0.09999999999999998 0.16666666666666663 0.1333333333333333 0.0 0.4
clicking	0.4 0.0 0.06666666666666665 0.0 0.30000000000000004
