Compilation	0.7272727272727273 0.8275862068965517 0.75 0.0 0.0
Import	0.696969696969697 0.43103448275862066 0.8289473684210527 0.0 0.0
String	0.9090909090909091 0.8793103448275862 0.0 0.0 0.0
Analyzer	0.030303030303030276 0.7758620689655172 0.0 0.0 0.0
Hash	0.0 0.0 0.22368421052631582 0.0 0.0
IBuffer	0.0 0.13793103448275867 0.0 0.0 0.0
SurroundWithTryCatchRefactoring	0.0 0.0 0.21052631578947367 0.5 0.0
IType	0.0 0.0 0.736842105263158 0.0 0.0
Runtime	0.0 0.12068965517241381 0.0 0.0 0.0
problem	0.0 0.051724137931034475 0.0 0.0 0.0
ITypeBinding	0.0 0.0 0.7236842105263157 0.0 0.0
Computer	0.0 0.3793103448275862 0.0 0.0 0.0
Buffer	0.9696969696969697 1.0 1.0 0.0 0.0
CompilationUnit	0.3939393939393939 0.8103448275862069 0.7105263157894737 0.0 0.0
ICompilationUnit	0.0 0.0 0.6973684210526316 0.0 0.0
IProgress	0.7878787878787878 0.9827586206896551 0.6842105263157895 0.0 0.2142857142857143
initializeRanges	0.0 0.0 0.6710526315789473 0.0 0.0
getText	0.0 0.0 0.6578947368421053 0.0 0.0
JavaCore	0.0 0.24137931034482762 0.09210526315789469 0.0 0.0
execute	0.0 0.0 0.02631578947368418 0.0 0.0
rewrite	0.303030303030303 0.0 0.868421052631579 0.0 0.0
performTest	0.0 0.0 0.25 0.25 0.0
ISchedulingRule	0.0 0.22413793103448276 0.6447368421052632 0.0 0.0
IProgressMonitor	1.0 0.9482758620689655 0.631578947368421 0.0 0.2857142857142857
ImportRewriteContext	0.0 0.2068965517241379 0.07894736842105265 0.0 0.0
ASTRewriteAnalyzer	0.5454545454545454 0.7068965517241379 0.3421052631578947 0.0 0.0
IWorkspace	0.0 0.5 0.618421052631579 0.0 0.0
Object	0.09090909090909094 0.5344827586206897 0.0 0.0 0.0
Map	0.33333333333333337 0.5689655172413793 0.19736842105263153 0.0 0.0
internalRewriteAST	0.0 0.0 0.6052631578947368 0.0 0.0
addImport	0.0 0.0 0.06578947368421051 0.0 0.0
internal	0.0 0.0 0.5921052631578947 0.0 0.0
ImportRewrite	0.18181818181818177 0.6379310344827587 0.8157894736842105 0.0 0.0
buildStructure	0.0 0.0 0.5789473684210527 0.0 0.0
Catch	0.24242424242424243 0.0 0.0 0.0 0.4285714285714286
Selection	0.21212121212121215 0.5172413793103448 0.5657894736842105 0.0 0.0714285714285714
createChange	0.0 0.0 0.5526315789473684 0.0 0.0
BatchOperation	0.0 0.18965517241379315 0.7631578947368421 0.0 0.0
ListRewriter	0.0 0.0 0.1842105263157895 0.0 0.0
addBuffer	0.0 0.0 0.2894736842105263 0.0 0.0
