editor	0.16666666666666663 0.4 0.0 0.8333333333333334 0.0
select	0.05555555555555558 0.0 0.0 0.33333333333333337 0.0
sets	0.8333333333333334 0.30000000000000004 0.0 0.0 0.0
created	0.2777777777777778 0.0 0.0 0.6666666666666667 0.0
quicker	0.11111111111111116 0.0 0.0 0.0 0.0
focus	0.5555555555555556 0.0 0.0 0.16666666666666663 0.0
Manifest	0.8888888888888888 0.19999999999999996 0.0 0.0 1.0
patch	0.6666666666666667 0.0 0.0 0.0 0.0
field	0.9444444444444444 0.9 0.0 0.0 0.4444444444444444
provide	0.6111111111111112 0.0 0.0 0.0 0.0
Bug	0.2222222222222222 0.09999999999999998 0.0 0.0 0.7777777777777778
Editors	0.7777777777777778 0.6 0.0 0.0 0.8888888888888888
Select	0.5 0.7 0.0 0.0 0.5555555555555556
creating	0.33333333333333337 0.0 0.0 0.0 0.33333333333333337
text	1.0 0.8 0.0 0.5 0.6666666666666667
attribute	0.4444444444444444 0.5 1.0 0.0 0.2222222222222222
overwriting	0.7222222222222222 0.0 0.0 0.0 0.0
element	0.38888888888888884 1.0 0.5 1.0 0.11111111111111116
