Entity	0.7407407407407407 0.75 0.0 0.0 0.0
xFFFF	0.37037037037037035 0.0 0.7777777777777778 1.0 0.0
testNumberOverflow	0.7037037037037037 0.25 0.0 0.0 0.0
Overflow	0.2592592592592593 0.0 0.0 0.1428571428571429 0.0
reference	0.8888888888888888 0.6666666666666667 0.0 0.0 0.0
java	0.5925925925925926 0.16666666666666663 0.0 0.0 0.0
Number	0.2962962962962963 0.0 0.0 0.0 0.0
public	0.07407407407407407 0.0 0.0 0.0 0.0
Test	1.0 0.5 0.5555555555555556 0.2857142857142857 0.4
EntitiesTest	0.4814814814814815 0.9166666666666666 1.0 0.7142857142857143 0.0
doTestUnescapeEntity	0.962962962962963 0.8333333333333334 0.0 0.0 0.0
fails	0.5555555555555556 0.0 0.0 0.0 0.0
Maximim	0.33333333333333337 0.0 0.0 0.0 0.0
FFFF	0.03703703703703709 0.0 0.6666666666666667 0.8571428571428572 0.0
void	0.7777777777777778 0.08333333333333337 0.0 0.0 0.0
test	0.8148148148148149 1.0 0.4444444444444444 0.4285714285714286 0.0
unescape	0.9259259259259259 0.0 0.33333333333333337 0.0 1.0
throws	0.6666666666666667 0.0 0.0 0.0 0.0
Exception	0.5185185185185186 0.0 0.0 0.0 0.0
Entities	0.40740740740740744 0.33333333333333337 0.11111111111111116 0.0 0.0
left	0.14814814814814814 0.0 0.0 0.0 0.0
Xml	0.2222222222222222 0.0 0.2222222222222222 0.0 0.6
Unescape	0.6296296296296297 0.41666666666666663 0.0 0.5714285714285714 0.19999999999999996
char	0.4444444444444444 0.0 0.0 0.0 0.0
invalid	0.11111111111111116 0.0 0.0 0.0 0.0
entity	0.8518518518518519 0.5833333333333333 0.0 0.0 0.0
unescapeXml	0.18518518518518523 0.0 0.8888888888888888 0.0 0.8
