Harmonic	0.8333333333333334 0.8571428571428572 1.0 0.8 0.75
Fitter	0.16666666666666663 0.2857142857142857 0.0 0.0 0.33333333333333337
Guesser	0.11111111111111116 0.7857142857142857 0.8571428571428572 0.0 0.08333333333333337
package	0.7222222222222222 0.7142857142857143 0.0 0.0 0.6666666666666667
values	0.2777777777777778 0.0714285714285714 0.0 0.0 0.16666666666666663
ParameterGuesser	0.9444444444444444 0.9285714285714286 0.7142857142857143 0.19999999999999996 1.0
HarmonicFitter	0.6111111111111112 1.0 0.5714285714285714 1.0 0.9166666666666666
compute	0.38888888888888884 0.0 0.0 0.0 0.0
usable	0.5555555555555556 0.0 0.0 0.0 0.0
amplitude	0.6666666666666667 0.2142857142857143 0.0 0.0 0.0
guess	0.7777777777777778 0.5 0.4285714285714286 0.0 0.0
optimization	0.5 0.5714285714285714 0.0 0.0 0.41666666666666663
parameter	0.4444444444444444 0.4285714285714286 0.2857142857142857 0.6 0.0
Parameter	0.8888888888888888 0.6428571428571428 0.1428571428571429 0.4 0.5833333333333333
class	0.05555555555555558 0.3571428571428571 0.0 0.0 0.0
fails	1.0 0.0 0.0 0.0 0.8333333333333334
fitting	0.33333333333333337 0.0 0.0 0.0 0.25
return	0.2222222222222222 0.1428571428571429 0.0 0.0 0.5
