exception	0.1964285714285714 0.0 0.0 0.0 0.09999999999999998
Meta	0.5892857142857143 0.09090909090909094 0.0 0.0 0.0
declare	0.0714285714285714 0.0 0.0 0.0 0.0
Access	0.9285714285714286 0.6363636363636364 0.8125 0.16666666666666663 0.0
inheritance	0.4285714285714286 0.5454545454545454 0.75 0.5833333333333333 0.0
simple	0.8214285714285714 0.0 0.0 0.0 0.0
annotate	0.5357142857142857 0.0 0.0 0.0 0.0
annotated	0.7678571428571428 0.0 0.0 0.0 0.7
compatible	0.3928571428571429 0.0 0.0 0.0 0.0
apache	0.125 0.3939393939393939 0.0 0.0 0.25
deciding	0.3571428571428571 0.0 0.0 0.0 0.0
superclass	0.9821428571428571 0.0 1.0 1.0 0.0
property	0.9642857142857143 0.9696969696969697 0.6875 0.0 0.85
assumption	0.5714285714285714 0.7272727272727273 0.0 0.0 0.0
persistent	0.7142857142857143 0.0 0.625 0.0 0.0
AccessType	0.4107142857142857 0.06060606060606055 0.5625 0.25 0.0
doesn	0.5 0.0 0.0 0.0 0.0
based	0.0357142857142857 0.0 0.0 0.0 0.0
Mapped	0.75 0.0 0.0 0.0 0.75
PROPERTY	0.4642857142857143 0.6060606060606061 0.0 0.0 0.0
occur	0.017857142857142905 0.0 0.0 0.0 0.0
hierarchy	0.375 0.33333333333333337 0.5 0.33333333333333337 0.0
thrown	0.2321428571428571 0.0 0.0 0.0 0.8
incorrectly	0.2142857142857143 0.0 0.0 0.0 0.0
field	0.8392857142857143 0.8484848484848485 0.0 0.0 0.35
util	0.2857142857142857 0.36363636363636365 0.0 0.0 0.0
versions	0.6785714285714286 0.303030303030303 0.0 0.0 0.0
JPA	0.8928571428571429 0.9393939393939394 0.4375 0.5 0.0
style	0.0535714285714286 0.696969696969697 0.0 0.0 0.0
Person	0.625 0.030303030303030276 0.0 0.0 0.19999999999999996
implicit	0.9464285714285714 0.0 0.0 0.0 0.30000000000000004
enhancer	0.875 0.8181818181818181 0.0 0.0 0.0
explicitly	0.1071428571428571 0.0 0.0 0.0 0.0
access	1.0 1.0 0.0 0.0 0.95
Subclass	0.5535714285714286 0.21212121212121215 0.9375 0.8333333333333334 0.55
methods	0.3035714285714286 0.0 0.0 0.0 0.0
classes	0.25 0.0 0.0 0.0 0.0
MetaDataException	0.1428571428571429 0.5151515151515151 0.0 0.0 0.0
Open	0.6428571428571428 0.0 0.0 0.0 0.0
SubclassPerson	0.3392857142857143 0.4545454545454546 0.125 0.75 0.0
workaround	0.0 0.7575757575757576 0.0 0.0 0.0
class	0.8035714285714286 0.8787878787878788 0.0625 0.6666666666666667 0.65
enhancing	0.9107142857142857 0.0 0.0 0.0 0.9
Superclass	0.4464285714285714 0.9090909090909091 0.875 0.9166666666666666 0.4
AbstractSuperclass	0.4821428571428571 0.0 0.0 0.0 0.0
openjpa	0.7857142857142857 0.4242424242424242 0.0 0.0 0.15000000000000002
org	0.6964285714285714 0.48484848484848486 0.0 0.0 0.050000000000000044
Abstract	0.6071428571428572 0.2727272727272727 0.0 0.0 0.0
Data	0.5178571428571428 0.24242424242424243 0.0 0.0 0.44999999999999996
consistent	0.1607142857142857 0.0 0.375 0.0 0.0
abstract	0.6607142857142857 0.0 0.0 0.0 0.5
Exception	0.8571428571428572 0.6666666666666667 0.0 0.0 1.0
single	0.1785714285714286 0.0 0.0 0.0 0.0
Type	0.0 0.5757575757575757 0.0 0.0 0.0
MappedSuperclass	0.0892857142857143 0.1515151515151515 0.0 0.08333333333333337 0.6
persistence	0.3214285714285714 0.12121212121212122 0.3125 0.0 0.0
OpenJPA	0.7321428571428572 0.7878787878787878 0.25 0.41666666666666663 0.0
properties	0.2678571428571429 0.18181818181818177 0.1875 0.0 0.0
