schema	1.0 0.19999999999999996 0.0 0.0 0.5555555555555556
quirks	0.7666666666666666 0.15000000000000002 0.0 0.0 0.0
don	0.16666666666666663 0.0 0.0 0.0 0.0
access	0.9333333333333333 1.0 0.0 0.0 0.8888888888888888
Schema	0.1333333333333333 0.4 0.0 0.0 0.11111111111111116
HTML	0.6666666666666667 0.65 0.875 0.5 0.0
capable	0.6 0.0 0.0 0.0 0.0
anchors	0.43333333333333335 0.35 0.0 0.0 0.0
correctly	0.5333333333333333 0.0 0.0 0.0 0.0
HTMLSchema	0.8666666666666667 0.6 0.75 1.0 0.0
table	0.4 0.30000000000000004 0.0 0.0 0.0
committed	0.3666666666666667 0.0 0.0 0.0 0.0
change	0.30000000000000004 0.25 0.0 0.0 0.0
Html	0.9666666666666667 0.44999999999999996 0.375 0.0 1.0
allowing	0.033333333333333326 0.0 0.0 0.0 0.2222222222222222
TIKA	0.7 0.95 0.0 0.0 0.0
strange	0.6333333333333333 0.0 0.0 0.0 0.0
Parser	0.09999999999999998 0.050000000000000044 0.125 0.0 0.4444444444444444
Soup	0.23333333333333328 0.09999999999999998 0.0 0.0 0.0
HtmlParser	0.33333333333333337 0.5 1.0 0.0 0.7777777777777778
modify	0.2666666666666667 0.0 0.0 0.0 0.0
fly	0.06666666666666665 0.75 0.0 0.0 0.0
suited	0.7333333333333334 0.0 0.0 0.0 0.0
rely	0.8 0.0 0.0 0.0 0.0
TagSoup	0.19999999999999996 0.85 0.625 0.0 0.0
handling	0.5666666666666667 0.0 0.0 0.0 0.0
Tag	0.8333333333333334 0.8 0.5 0.0 0.0
suit	0.4666666666666667 0.7 0.0 0.0 0.0
HtmlSchema	0.5 0.55 0.25 0.0 0.6666666666666667
applications	0.9 0.9 0.0 0.0 0.33333333333333337
