stems	0.19999999999999996 0.0 0.0 0.0 0.0
Types	0.0 0.5357142857142857 0.7333333333333334 0.0 0.0
Partials	0.25 1.0 0.6666666666666667 1.0 0.6923076923076923
year	0.09999999999999998 0.4642857142857143 0.0 0.0 0.0
isEqual	0.0 0.6428571428571428 0.6 0.0 0.0
objects	0.0 0.25 0.0 0.0 0.0
Time	0.6 0.8928571428571429 0.06666666666666665 0.0 0.07692307692307687
partials	0.0 0.2142857142857143 0.5333333333333333 0.6666666666666667 0.0
Field	0.0 0.8571428571428572 0.0 0.0 0.0
java	0.65 0.5714285714285714 0.0 0.0 0.3846153846153846
Partial	1.0 0.0 0.4666666666666667 0.33333333333333337 1.0
hour	0.55 0.9642857142857143 0.9333333333333333 0.0 0.15384615384615385
Equal	0.0 0.4285714285714286 0.4 0.0 0.0
array	0.0 0.3571428571428571 0.0 0.0 0.0
Constructing	0.0 0.0 0.0 0.0 0.6153846153846154
clockhourOfDay	0.5 0.1428571428571429 0.8 0.0 0.5384615384615384
case	0.0 0.5 0.33333333333333337 0.0 0.0
doesn	0.4 0.1071428571428571 0.0 0.0 0.0
types	0.0 0.75 0.0 0.0 0.0
cases	0.0 0.6785714285714286 0.2666666666666667 0.0 0.0
set	0.0 0.0714285714285714 0.0 0.0 0.0
constructed	0.85 0.0 0.0 0.0 0.7692307692307692
issue	0.0 0.0357142857142857 0.0 0.0 0.0
work	0.15000000000000002 0.3928571428571429 0.0 0.0 0.0
constructor	0.0 0.3214285714285714 0.0 0.0 0.0
throws	0.75 0.0 0.0 0.0 0.0
int	0.9 0.8214285714285714 0.0 0.0 0.3076923076923077
Type	0.7 0.6071428571428572 0.19999999999999996 0.0 0.0
field	0.050000000000000044 0.1785714285714286 0.0 0.0 0.0
hourOfDay	0.95 0.9285714285714286 1.0 0.0 0.8461538461538461
invalid	0.8 0.0 0.0 0.0 0.9230769230769231
DateTimeFieldType	0.44999999999999996 0.7142857142857143 0.0 0.0 0.46153846153846156
clockhour	0.35 0.2857142857142857 0.8666666666666667 0.0 0.0
Day	0.30000000000000004 0.7857142857142857 0.1333333333333333 0.0 0.23076923076923073
