server	1.0 0.736842105263158 0.0 0.0 0.75
correct	0.2857142857142857 0.0 0.0 0.0 0.0
foo	0.7857142857142857 0.7894736842105263 1.0 0.0 0.5833333333333333
String	0.3571428571428571 0.21052631578947367 0.0 0.0 0.0
Absolute	0.1785714285714286 0.0 0.9 0.16666666666666663 0.0
URL	0.8571428571428572 0.6842105263157895 0.8 0.8333333333333334 0.41666666666666663
expects	0.2142857142857143 0.0 0.0 0.0 0.0
protocol	0.9642857142857143 0.9473684210526316 0.0 0.0 1.0
bar	0.3214285714285714 0.8421052631578947 0.7 0.0 0.33333333333333337
apache	0.75 0.3157894736842105 0.0 0.0 0.0
java	0.5357142857142857 0.4736842105263158 0.0 0.0 0.0
html	0.7142857142857143 0.0 0.6 0.5 0.16666666666666663
toAbsolute	0.6428571428571428 0.8947368421052632 0.0 0.0 0.0
adds	0.25 0.0 0.0 0.0 0.0
URLs	0.8928571428571429 1.0 0.5 1.0 0.5
breaks	0.4285714285714286 0.052631578947368474 0.0 0.0 0.0
org	0.1428571428571429 0.42105263157894735 0.0 0.0 0.0
Redirect	0.0357142857142857 0.5263157894736843 0.4 0.0 0.0
sendRedirect	0.0714285714285714 0.368421052631579 0.30000000000000004 0.0 0.6666666666666667
Response	0.5714285714285714 0.10526315789473684 0.0 0.0 0.0
connector	0.6071428571428572 0.5789473684210527 0.0 0.0 0.0
port	0.1071428571428571 0.1578947368421053 0.0 0.0 0.0
catalina	0.6785714285714286 0.26315789473684215 0.0 0.0 0.0
http	0.8214285714285714 0.0 0.19999999999999996 0.6666666666666667 0.0
kala	0.3928571428571429 0.0 0.0 0.0 0.25
support	0.5 0.631578947368421 0.0 0.0 0.8333333333333334
send	0.4642857142857143 0.0 0.0 0.0 0.08333333333333337
relative	0.9285714285714286 0.0 0.09999999999999998 0.33333333333333337 0.9166666666666666
