59	MDT Utils Equals lang hour buggy DST Calendar DAY DateUtils Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe classes values compareTo compare ValuedEnum Valued Enum Object org lang int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration DurationFormatUtils Duration Format Utils String Time Dec Utils set getTimeInMillis Time Millis code	DurationFormatUtils returns wrong result Duration Format Utils
292	test EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity Entity reference Test entity Unescape Entities testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	length thisBuf Buf Str StrBuilder Str Builder Buf Builder LANG shouldn size places	StrBuilder usages thisBuf length size Str Builder Buf
299	str size width Width Pad Len int obj pad method	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Exception Number Format NumberFormatException Number Format Exception createNumber create Number Utils string NumberUtils Number Utils works parse	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Exception FindBugs Find Bugs Bugs Null Pointer NullPointerException Null Pointer Exception Field Locale constructor cAvailableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn acts opinion split bug StopWatch Watch Watch	StopWatch suspend acts split Watch
328	Locale country language LocaleUtils Locale Utils toLocale Locale case POSIX Utils code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds test System println Mon DateUtils Utils Jul getInstance Instance	Dates behaves incorrectly minutes seconds
363	String Escape Utils Javascripts org scripts codes difference System script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils toBoolean Boolean Boolean case Exception test Utils statement source String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale case FastDateFormat Fast Format Time getDateInstance Instance Format getDateTimeInstance Time Instance Instance Locale methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator Summary reduce infinite pretty	infinite loop Fraction reduce numerator
393	Big compareTo compare Decimals Decimal EqualsBuilder Equals Builder BigDecimal Big Decimal Builder BigDecimals Big Decimals compare comparing	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	pointer width getNullText Null Text Builder Fixed appendFixedWidth append Fixed Width StrBuilder Str Builder Null Width exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string String StringIndexOutOfBoundsException String Bounds Exception Utils Word Exception substring lengt	WordUtils abbreviate bug greater str length Word Utils
432	Bugs http locale Case String Bug case details string comparisions	case insensitive string handling
457	Exception String StringIndexOutOfBoundsException String Bounds Exception front Bounds Utils Number NumberUtils Number Utils LANG createNumber create Number	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format ExtendedMessageFormat Extended Message Format formatRegistry format Registry code Extended Message appendTo append Registry formattedPattern formatted Pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters StringEscapeUtils String Escape Utils Escape escapeHtml escape Html import org Html problem test	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number return Utils code number block Exp Point hasExp Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Zone Format test format TimeZone Time Zone problem noformat getTimeZone Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement Utils case Test StringUtils String Utils import List replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory org ToStringStyle String Style thread String Style LANG web reference leak	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class NPE toClass Class Utils Object element array ClassUtils Class Utils throws null	ClassUtils toClass Object throws NPE null array element Class Utils Class
