90428	Jabber hotmail jabberserver user Provider login Character action disables group	Bug Jabber Provider Character allowed Jabber login names
125572	ECF Sync provider app TimeSyncInitiator Time Sync Initiator Thread SOContainer Initiator Time ClientSOContainer Client SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Application Client Container ecf Standalone Initializer Factory	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service access local bug assertion remoteservice refsOne getRemoteServiceReferences Remote Service References bugs remote	Bug Local access local remoteservicereference implemented
172958	commands IRC Patch Channel Bug command setup work Containers Root	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn Communications preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	Presence highlights pictures Hover support supports parse hover Bug display	Bug Presence Hover highlights support pictures
198043	contacts groups entries dialog list open Bug doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings ChatRoomManagerView Chat Room Manager View view Folders messages appearance CTab Manager Room	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl hyperlink Wrong IRC underline text Bug underlined move	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class discovery Info parameters Bug smaller cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC Connection irc freenode editor net channel eclipse problems	Bug IRC Wrong connection click hyperlink
204329	remote Service Adapter adapter registry IRemote remoteContainerTwo remote Container connect Container IRemoteServiceContainerAdapter IRemote Service Container Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL IRC channel topic account add hyperlinking accessed	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn UNAVAILABLE client Update MSNContainer presence provider null send	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message Server null XMPP packet Message server XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper form	Bug message XMPP Server displayed
222824	port XMPP user Google gmail provider Bug work talk doesn	Bug XMPP doesn work port Google Talk Host
222868	password MSN mail entered connection Bug button Finish wizard Select	Bug MSN mail password entered Finish button clicked
