90428	jabberserver Jabber button username usernames hotmail disables Finish action character	Bug Jabber Provider Character allowed Jabber login names
125572	ClientSOContainer Client SOContainer IConnect Initiator TimeSyncTask Time Sync Task Sync SyncSOClientContainer Sync SOClient Container initSyncService init Sync Service TimeSyncInitiator Time Sync Initiator killConnection kill Connection IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ContainerFactory Container Factory ECFPlugin ClientApplication Client Application Initializer Client Container Application ecf Null ECF	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remoteservice remote local Remote Service remoteContainerOne remote Container bugs bug registered IRemote	Bug Local access local remoteservicereference implemented
172958	commands command Containers acceptable Container Channel patch Patch IRC continue	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons isn Communications preference Apply Bug empty affect	Bug Communications preference isn empty
196007	highlights hover Presence Hover supports cool Bug parse pictures display	Bug Presence Hover highlights support pictures
198043	groups entries contacts list open users recognize doesn dialog Bug	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View CTab Chat Room Folders view Manager patch messages	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine problem IRC works irc hyperlink Chatroom Wrong underline Steps	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors smaller discovery class cumbersome takes parameters Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc IRC net connection Connection click appears freenode editor hyperlink	Bug IRC Wrong connection click hyperlink
204329	remoteContainerTwo remote Container IRemote IRemoteServiceReference IRemote Service Reference Adapter remote getAdapter Adapter client IRemoteServiceContainerAdapter IRemote Service Container Adapter clientTwo client Service	Bug remoteservice registry updated adapter accessed connect
205532	subject hyperlinked chat URL topic IRC accessed channel add output	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update Message presence send MSNContainer Null Presence setPersonalMessage set Personal Message client	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet server XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper form null Message type Server message	Bug message XMPP Server displayed
222824	user port XMPP provider host Host Google talk gmail Talk	Bug XMPP doesn work port Google Talk Host
222868	entered password button MSN clicked connection Finish mail Steps Reproduce	Bug MSN mail password entered Finish button clicked
233808	IService IDIService DiscoveryTest Discovery Test Test Listener Service testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener test Discovery provider	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	sun MSN CPU bug java bit report increases seconds component	Bug MSN CPU usage increases connecting
242950	timeouts IRCChannelContainer IRCChannel Container IRCChannel disconnect targetID target Timeout server TimeoutException Timeout Exception IRC connect	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI IResource dev execution interface eclipse core mailing html	Bug api add IResourceID IResource
254833	jslp BundleContext Bundle Context Bundle slp SLP consumer service Advertiser eclipse jSLP SLP	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	JMDNSDiscovery IServiceID IService IService registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container getServiceName Service ecf jmdns Service container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IService IServiceID IService service Discovery Service discovery eclipse SLP fall	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscovery jmdns Service JMDNSDiscoveryContainer JMDNSDiscovery Container IService Container container Info createServiceInfoFromIServiceInfo create Service Info IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService jslp IService eclipse java IServiceInfo IService Info Info SecurityException Security Exception throw	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK Framework fails NPEs status log dialogs Created attachment	NPE status code
259233	discovery Discovery path URI lost JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	func tracker atid group aid http Discovery case sourceforge detail	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve Http provider changed tests resource entire Resume pause	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes Service service Type IServiceTypeID IService Type default naming set Discovery	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Generic server generic IRemoteServiceContainerAdapter IRemote Service Container Adapter Abstract GenericServerContainer Generic Server Container Server adapter IRemote support	Bug server supporrt remoteservice container adapter generic server
270332	patch docshare called fixed problems DocShares Doc Shares Doc attachment subject proposed	Bug called DocShares ECF Generic group handling Doc Shares
273135	StringBuffer String Buffer String LogService Log Service Log logging implementation Buffer details misses invokes	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer bug ExtensionPoint Extension Point issues Extension Code Point addExtensionPoints add Extension Points class comment	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv messages jSLP SLP protocol version discard Discovery change formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags bad SLP jSLP SLP Discovery Test accept Bug attribute	Bug Discovery jSLP Test parser bad tags SLP
302407	Service ServiceURL Service URL remotesrvs type callSync call Sync NoSuchMethodException Method Exception mismatch Advertiser exception osgi	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Tests DiscoveryTestsWithoutRegister Discovery Tests Register Discovery API checks Add null DNS suite	Bug Discovery DNS Add API checks null test suite
316595	lazily service eagerly request test retrieving Discovery unit retrieval Defer	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IServiceProperty IService Property IService Property allowed Discovery Bug property	Bug Discovery Whitespaces allowed property
327029	rosgi SmartProxyService Smart Proxy Service IFooService IFoo Service Proxy foo rosgiFoo rosgi Foo Service method RemoteSrvs Remote Srvs IFoo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	problem bug mailing solution dev zookeeper port interest discovery eclipse	Bug discovery zookeeper location URI include port
