90428	Jabber jabberserver button hotmail Character disables Join Provider username Finish	Bug Jabber Provider Character allowed Jabber login names
125572	app Sync provider ECF TimeSyncInitiator Time Sync Initiator Time ClientSOContainer Client SOContainer SOContainer Thread thread	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Application ContainerFactory Container Factory Client Container Standalone app provider standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local registered Service bugs remoteservice access refsOne bug implemented assertion	Bug Local access local remoteservicereference implemented
172958	commands IRC Channel command Patch Root Containers Container setup acceptable	Bug IRC Patch commands Root Channel Containers
192574	Communications Defaults isn Bug preference settings empty buttons Apply Restore	Bug Communications preference isn empty
196007	highlights Presence Hover support pictures supports Bug parse hover display	Bug Presence Hover highlights support pictures
198043	groups contacts open entries users list dialog doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages settings appearance ChatRoomManagerView Chat Room Manager View follow Room CTab Chat	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong irc underline hyperlink Ctrl text fine IRC works click	Bug Wrong underline hyperlink recognition
199259	Service discovery ServiceInfo Service Info constructors class Bug smaller Info parameters cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC net click Connection editor irc Click Wrong freenode	Bug IRC Wrong connection click hyperlink
204329	remote connect Service IRemote IRemoteServiceContainerAdapter IRemote Service Container Adapter accessed registry distributed Container remoteservice	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL IRC add account channel accessed hyperlinking topic	Bug IRC add hyperlinking chat subject box
208667	msn presence sendPresenceUpdate send Presence Update provider client UNAVAILABLE MSNContainer Bug Update Null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPP Server null packet message server Message handleMessageEvent handle Message Event displayed form	Bug message XMPP Server displayed
222824	user port XMPP work Google Talk gmail doesn provider Host	Bug XMPP doesn work port Google Talk Host
222868	password mail MSN button entered connection clicked Finish Bug wizard	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Test provider SLP Service tests IDIService Listener testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit seconds increases usage sun wait bug Eclipse	Bug MSN CPU usage increases connecting
242950	disconnect targetID target IRCChannelContainer IRCChannel Container timeouts Container NPE irc IRC eclipse IRCChannel	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource core IResource URI api execution dev msg environment mhonarc	Bug api add IResourceID IResource
254833	Discovery Bundle SLP provider eclipse service jslp Context Activator ecf	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Discovery JMDNS hostname ecf JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service Service Fall	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery IServiceID IService discovery service getServiceName Service IService SLP Service optional Bug	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Discovery JMDNS Service JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceInfo IService Info provider createServiceInfoFromIServiceInfo create Service Info IService Info JMDNSDiscovery Info Container	Bug Discovery JMDNS JMDNS exchanges priority weight
