90428	ECF Jabber hotmail login Character Provider org user action jabberserver	Bug Jabber Provider Character allowed Jabber login names
125572	Client SOContainer TimeSyncTask Time Sync Task Connected SOClient ClientSOContainer Client SOContainer IConnectContext IConnect Context Initiator ECF provider	Bug ECF Generic provider thread interlock
134483	ECFPlugin Client Container ClientApplication Client Application Application ContainerFactory Container Factory Factory Excepton Eclipse app	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bugs bug assertTrue assert True local assertion https Remote remote access Service	Bug Local access local remoteservicereference implemented
172958	Containers command Container Bug Patch work IRC containers setup Channel	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn Bug preference Apply affect Communications Restore	Bug Communications preference isn empty
196007	Hover Presence pictures display hover Bug highlights support parse cool	Bug Presence Hover highlights support pictures
198043	dialog groups doesn Bug entries list contacts recognizer recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders settings ChatRoomManagerView Chat Room Manager View Room Manager Chat Messages Bug appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom IRC Ctrl irc Bug move foobar channel hyperlink recognition	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors discovery Info Service class bug Bug smaller parameters	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection irc channel chatroom IRC editor Connection problems freenode eclipse	Bug IRC Wrong connection click hyperlink
204329	client getRemoteServiceReferences Remote Service References server remoteContainerTwo remote Container Remote adapter Adapter replica Bug getAdapter Adapter	Bug remoteservice registry updated adapter accessed connect
205532	chat subject topic URL channel account box hyperlinking IRC cases	Bug IRC add hyperlinking chat subject box
208667	Presence presence type client sendPresenceUpdate send Presence Update msn Personal Update UNAVAILABLE Type	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPPContainer Message null message packetExtensions packet Extensions type Presence server	Bug message XMPP Server displayed
222824	Google port default work Bug Host gmail doesn provider user	Bug XMPP doesn work port Google Talk Host
222868	mail MSN password Bug Steps button entered connection clicked Open	Bug MSN mail password entered Finish button clicked
233808	Listener IService Discovery test Test provider discovery listener Service testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU usage Eclipse bit MSN seconds sun Bug Steps java	Bug MSN CPU usage increases connecting
242950	IRCChannel IRCChannelContainer IRCChannel Container Timeout root Container targetID target target NPE connect Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core mailing URI CDC class dev eclipse java	Bug api add IResourceID IResource
254833	jslp SLP Bundle consumer system service jSLP SLP org BundleContext Bundle Context Context	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService getServiceName Service IServiceID IService JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery SLP Service Container registerService register Service container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service discovery Service Discovery service IService IServiceID IService isn fall fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	IService JMDNS IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery weight Container priority exchanges Service	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	IServiceInfo IService Info JSLPService JSLPServiceInfo JSLPService Info IService SecurityException Security Exception jslp doesn Security Info lang	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	code error Eclipse log EMF Modelling NPE Framework Graphical SDK	NPE status code
259233	discovery Discovery URI JMDNS segment path Bug	Bug Discovery JMDNS URI path lost discovery
259389	Bug func SLP scope lookup sourceforge Discovery atid aid tracker	Bug Discovery SLP lookup scope case insensitive
265551	Pause Http Test TIME URLRetrievePauseResumeTest URLRetrieve Pause Resume Test tests resource case reason PAUSE	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes authority IServiceTypeID IService Type ECF Service Zeroconf service Discovery IService	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server Server adapter Adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter Generic Container class support Service	Bug server supporrt remoteservice container adapter generic server
270332	patch meaning attachment Remy details reference Shares DocShares Doc Shares called Doc	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log implementation Service StringBuffer String Buffer Buffer LogService Log Service message logging parameter details	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer ExtensionPoint Extension Point Extension comment Point class Code Points Analyzer impl	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
