90428	jabberserver hotmail Jabber disables user username Finish Join button character	Bug Jabber Provider Character allowed Jabber login names
125572	Sync TimeSyncInitiator Time Sync Initiator IConnect ClientSOContainer Client SOContainer Thread interlocked Time mutexes Initiator ECF	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application ContainerFactory Container Factory Container ClientApplication Client Application Initializer ecf Client ECF version	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service remoteservice remote local getRemoteServiceReferences Remote Service References Remote refsOne bug bugs remoteContainerOne remote Container	Bug Local access local remoteservicereference implemented
172958	commands Channel acceptable patch command IRC mode continue setup write	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn Communications buttons preference Apply Bug empty affect	Bug Communications preference isn empty
196007	highlights hover supports Presence parse pictures Hover cool display support	Bug Presence Hover highlights support pictures
198043	contacts entries groups open list users recognize doesn dialog Bug	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings CTab ChatRoomManagerView Chat Room Manager View Folders appearance view Manager patch Chat	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc underlined text click fine IRC hyperlink works Wrong	Bug Wrong underline hyperlink recognition
199259	Service ServiceInfo Service Info class constructors smaller discovery cumbersome Info takes parameters	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection net irc Connection Click Ctrl eclipse editor appears	Bug IRC Wrong connection click hyperlink
204329	remote Service IRemoteServiceContainerAdapter IRemote Service Container Adapter connect remoteContainerTwo remote Container IRemote IRemoteServiceReference IRemote Service Reference clientTwo client Adapter client	Bug remoteservice registry updated adapter accessed connect
205532	subject URL chat topic channel accessed IRC add account hyperlinked	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update client UNAVAILABLE send Update msn null provider set presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet Server XMPP null XMPPContainer message Message server XMPPContainerPresenceHelper XMPPContainer Presence Helper handleMessageEvent handle Message Event	Bug message XMPP Server displayed
222824	XMPP port Google user gmail Talk talk doesn provider work	Bug XMPP doesn work port Google Talk Host
222868	password connection entered MSN button Finish mail wizard Steps Reproduce	Bug MSN mail password entered Finish button clicked
233808	Discovery Service discovery IDIService Test testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener tests provider IService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN bit bug CPU report connect increases seconds component chosen	Bug MSN CPU usage increases connecting
242950	timeouts IRCChannelContainer IRCChannel Container IRC Timeout IRCChannel TimeoutException Timeout Exception server Container targetID target NPE	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
