90428	jabberserver Jabber username usernames hotmail disables Finish button character Join	Bug Jabber Provider Character allowed Jabber login names
125572	IConnect Sync ClientSOContainer Client SOContainer TimeSyncInitiator Time Sync Initiator Initiator IConnectContext IConnect Context ECF Client provider TimeSyncTask Time Sync Task	Bug ECF Generic provider thread interlock
134483	ContainerFactory Container Factory ECFPlugin Container ClientApplication Client Application Client ecf Initializer Application ECF version	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remoteservice remote Service local bug Remote bugs IRemoteServiceReference IRemote Service Reference remoteContainerOne remote Container refsOne	Bug Local access local remoteservicereference implemented
172958	commands acceptable Channel patch command IRC continue setup write Patch	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn Communications buttons preference Apply Bug empty affect	Bug Communications preference isn empty
196007	highlights hover pictures supports Presence parse Hover cool support XMPP	Bug Presence Hover highlights support pictures
198043	groups contacts entries open users list recognize doesn dialog Bug	Bug open contacts dialog doesn recognize users groups
198334	CTab CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View view Folders Manager patch Chat Room messages	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine problem works irc IRC hyperlink Wrong underline Steps underlined	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors smaller discovery class cumbersome takes parameters Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc Connection net appears editor freenode eclipse click	Bug IRC Wrong connection click hyperlink
204329	remote remoteContainerTwo remote Container IRemote Adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter getAdapter Adapter IRemoteServiceReference IRemote Service Reference Service client connect	Bug remoteservice registry updated adapter accessed connect
205532	subject URL hyperlinked chat channel IRC topic add accessed output	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update send msn MSNContainer Message client set UNAVAILABLE presence variable	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer server null Message Server XMPPContainerPresenceHelper XMPPContainer Presence Helper message form XMPP	Bug message XMPP Server displayed
222824	XMPP user port provider Google talk gmail host Talk doesn	Bug XMPP doesn work port Google Talk Host
222868	password entered MSN connection button Finish mail Steps Reproduce Open	Bug MSN mail password entered Finish button clicked
233808	IService IDIService Test Service Discovery DiscoveryTest Discovery Test testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener provider discovery SLP	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug sun bit report java increases seconds component	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel timeouts Timeout IRC Container TimeoutException Timeout Exception targetID target NPE disconnect	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource URI dev core interface mailing moving msg api	Bug api add IResourceID IResource
254833	slp BundleContext Bundle Context jslp Bundle eagerly SLP ethz eclipse system service	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceID IService IService JMDNSDiscovery jmdns IServiceInfo IService Info registerService register Service hostname ecf null	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IService IServiceID IService service getServiceName Service Service discovery Discovery eclipse SLP fall	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS jmdns JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container Info Service Discovery create Container IServiceInfo IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService jslp Info SecurityException Security Exception throw eclipse Security IService Discovery	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK NPEs status fails log dialogs Created attachment Install	NPE status code
259233	path URI discovery lost Discovery JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	func tracker atid group aid Discovery case sourceforge detail SLP	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve tests resource entire changed Resume Http pause transfer	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes service Type default naming set Discovery transfered returned	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Generic GenericServerContainer Generic Server Container IRemoteServiceContainerAdapter IRemote Service Container Adapter generic server IRemote adapter Server class Abstract	Bug server supporrt remoteservice container adapter generic server
270332	patch docshare called fixed problems attachment subject proposed Doc channels	Bug called DocShares ECF Generic group handling Doc Shares
273135	String StringBuffer String Buffer implementation Log logging LogService Log Service details misses invokes constructed	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer bug Code ExtensionPoint Extension Point class Extension osgi interface point OSGI	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv jSLP SLP messages version discard Discovery change formats future	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags bad Discovery jSLP SLP Test accept Bug attribute SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	Service ServiceURL Service URL NoSuchMethodException Method Exception exception osgi Impl ethz java slp happen	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	Tests test DiscoveryTestsWithoutRegister Discovery Tests Register Discovery API checks Add null DNS suite	Bug Discovery DNS Add API checks null test suite
316595	lazily service request test retrieving eagerly Discovery unit retrieval Defer	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property allowed IService Discovery IServiceProperty IService Property Bug property	Bug Discovery Whitespaces allowed property
327029	rosgi SmartProxyService Smart Proxy Service rosgiFoo rosgi Foo Proxy IFooService IFoo Service method foo proxy original abstract	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	bug problem zookeeper solution dev port mailing interest discovery include	Bug discovery zookeeper location URI include port
327379	Remote factory RemoteCallFactory Remote Call Factory Factory Call RestCallFactory Rest Call Factory rest IRemoteCallFactory IRemote Call Factory remoteservice RemoteCalls Remote Calls	Bug IRemoteCallFactory IRemote Call Factory
