59	DateUtils Utils MDT Calendar hour truncate lang Utils oct buggy result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Enum typesafe Valued compare values Object int classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time Calendar DurationFormatUtils Duration Format Utils result set getTimeInMillis Time Millis Format currentTimeMillis current Time Millis cal	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test Test test unescape xFFFF FFFF unescapeXml unescape Xml Unescape doTestUnescapeEntity Test Unescape Entity FFFF reference	unescapeXml unescape Xml
295	thisBuf Buf length StrBuilder Str Builder Str Builder Buf LANG places size noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	str size width pad Width Pad method Fixed appendFixedWidthPadRight append Fixed Width Pad strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberUtils Number Utils NumberFormatException Number Format Exception Format throws isDigits Digits Utils string Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception LocaleUtils Locale Utils Null availableLocaleSet Locale Set FindBugs Find Bugs Pointer Exception Find	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time suspend StopWatch Watch getTime Time time Watch acts pause counter shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country variant strings code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds Time test behaves getTimeZone Time Zone getTime Time DateUtils Utils TimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	String Escape escape Utils script scripts StringEscapeUtils String Escape Utils Java javaScriptEscape java Script Escape JavascriptEscape Javascript Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case statement test String Utils false assert	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance case FastDateFormat Fast Format Hash Format HashMap Hash Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce Summary numerator infinite pretty	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big compareTo compare Decimal EqualsBuilder Equals Builder comparing don BigDecimals Big Decimals Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width null Builder Fixed handle StrBuilder Str Builder nulls pointer getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string Word str length String WordUtils Word Utils abbreviate upper StringIndexOutOfBoundsException String Bounds Exception greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive String string Case Bug case http locale html	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number String Bounds NumberUtils Number Utils digit Exception front LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry ExtendedMessageFormat Extended Message Format Extended String formattedPattern formatted Pattern code appendTo append pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode characters StringEscapeUtils String Escape Utils utf escape Escape incorrectly problem	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number return NumberUtils Number Utils decimal Decimal hasDecPoint Dec Point Point Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone format Format test GregorianCalendar Gregorian Calendar GMT Zone dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils replacement replacementList replacement List replace Utils Test case null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread String ThreadLocals Thread Locals org web LANG created leak	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object NPE ClassUtils Class Utils throws element array Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number NumberUtils Number Utils String StringIndexOutOfBoundsException String Bounds Exception Exception throws passed Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format locale Week format SimpleDateFormat Simple Format Format Locale Simple output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator MIN case FractionTest Fraction Test test method Denominator int	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String return hasExp Exp hasDecPoint Dec Point code NumberUtils Number Utils Dec Digit	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar Time Utils assertFalse assert False Local method Assert HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format FastDateFormat Fast Format Java year pattern JDK Javadoc format formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils case upper Integer NumberFormatException Number Format Exception Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Number Long NumberUtils Number Utils numbers createLong create Long Integer hex create handle createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ObjectInputStream Object Input Stream primitiveType primitive Type ClassNotFoundException Class Exception primitive class noformat bug	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random Int code empty chars length int nextInt Int null size	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
