59	MDT DAY DateUtils Utils oct Utils MST buggy Calendar hour lang	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe Enum compareTo compare Object values ValuedEnum Valued Enum Valued int classes org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration result String set Time Format Utils formatPeriod format Period	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test Unescape Entity void Number EntitiesTest Entities Test unescape Exception doTestUnescapeEntity Test Unescape Entity	unescapeXml unescape Xml
295	Str StrBuilder Str Builder Builder thisBuf Buf length Buf LANG noticed reference fixing	StrBuilder usages thisBuf length size Str Builder Buf
299	method str Width width int size Pad Char pad Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberUtils Number Utils Format NumberFormatException Number Format Exception Exception Utils isDigits Digits string works	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null Exception NullPointerException Null Pointer Exception cAvailableSet Set Pointer cAvailableLocaleSet Locale Set LocaleUtils Locale Utils lang Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch Watch counter suspend time pause sleep acts split	StopWatch suspend acts split Watch
328	Locale language toLocale Locale country LocaleUtils Locale Utils Utils POSIX code case strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	seconds Calendar minutes Time testCalendar test Calendar test MINUTE Mon getTimeZone Time Zone TimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	Escape String Java Utils Script escape script StringEscapeUtils String Escape Utils escapeJavaScript escape Java Script org	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case BooleanUtils Boolean Utils Exception Utils String toBoolean Boolean test statement false	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	FastDateFormat Fast Format getDateInstance Instance getDateTimeInstance Time Instance Time locale Instance Format Hash key case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction reduce Summary pretty infinite numerator	infinite loop Fraction reduce numerator
393	Big compare equals EqualsBuilder Equals Builder compareTo compare Decimal BigDecimal Big Decimal comparing BigDecimals Big Decimals Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	exception Null appendFixedWidth append Fixed Width null Builder getNullText Null Text Str Text pointer fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string abbreviate String Utils Exception WordUtils Word Utils upper adjusted	WordUtils abbreviate bug greater str length Word Utils
432	Bugs case Bug Case handling string String sensitive html insensitive	case insensitive string handling
457	String Exception Bounds StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils Number createNumber create Number throws Utils place	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended format Message ExtendedMessageFormat Extended Message Format String code formatRegistry format Registry return Style	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters StringEscapeUtils String Escape Utils escapeHtml escape Html unicode Escape Html println escape representation	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number NumberUtils Number Utils return Digit Exp decimal foundDigit Digit Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone Zone test getTimeZone Time Zone FastDateFormat Fast Format change	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String Utils replaceEach replace replacement StringUtils String Utils Test null replace replacementList replacement List List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String thread org ToStringStyle String Style leak builder reference Style commons	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class Class NPE Utils element ClassUtils Class Utils null array throws	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils Exception createNumber create Number throws String Format StringIndexOutOfBoundsException String Bounds Exception NumberFormatException Number Format Exception Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week locale format FastDateFormat Fast Format Simple Fast Week year SimpleDateFormat Simple Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN method case void code int Equals test	org apache commons lang math Fraction reduce Integer MIN
664	Number String isNumber Number NumberUtils Number Utils code Digit foundDigit Digit return Exp Utils	NumberUtils isNumber String String Number Utils Number
677	Time Utils Calendar isSameLocalTime Local Time method DateUtils Utils Local HOUR work setTimeInMillis set Time Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	Format year SimpleDateFormat Simple Format Java FastDateFormat Fast Format pattern format Simple formats JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case NumberUtils Number Utils Integer createNumber create Number Utils Format NumberFormatException Number Format Exception upper hex	NumberUtils handle upper case hex Number Utils
747	Number numbers Integer Long hex NumberUtils Number Utils create handle createNumber create Number createLong create Long	NumberUtils handle Long Hex numbers Number Utils
788	Class class Serialization Exception ClassNotFoundException Class Exception SerializationUtils Serialization Utils Input Utils Object primitive	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code Int nextInt Int pass int ends chars char user	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils Illegal Exception Int throws String Argument lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour NumberUtils Number Utils Decimal Exception BigDecimal Big Decimal Big returns create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space Format Parser white FDP treats Fast characters treat	FastDateParser handle white space properly Fast Parser
832	format Format FastDateParser Fast Parser parse Simple handled SimpleDateFormat Simple Format quotes unterminated works	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharSequence Char Sequence work code hash Code char Map object	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
