59	DateUtils Utils MDT Calendar hour method lang Utils switching truncate dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Enum compare typesafe values Object Valued classes enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis Calendar currentTimeMillis current Time Millis Time set Format result String	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test testNumberOverflow test Number Overflow unescapeXml unescape Xml test xFFFF FFFF Test Number unescape FFFF Unescape	unescapeXml unescape Xml
295	Str thisBuf Buf StrBuilder Str Builder length Buf Builder size LANG usages places	StrBuilder usages thisBuf length size Str Builder Buf
299	str append appendFixedWidthPadRight append Fixed Width Pad width ArrayIndexOutOfBoundsException Array Bounds Exception Width padChar pad Char Fixed Array Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils digit works string Format Utils Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils FindBugs Find Bugs availableLocaleSet Locale Set Bugs constructor Pointer	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch pause getTime Time suspend acts time counter shouldn	StopWatch suspend acts split Watch
328	Locale language toLocale Locale country LocaleUtils Locale Utils PropertyConverter Property Converter POSIX code Utils case	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds Jul getTimeZone Time Zone TimeZone Time Zone testCalendar test Calendar DateUtils Utils getTime Time test	Dates behaves incorrectly minutes seconds
363	String Escape Java escape escapeJavaScript escape Java Script Utils javaScriptEscape java Script Escape JavascriptEscape Javascript Escape Javascript Javascripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean Utils case Exception statement false assert assertEquals assert Equals	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale FastDateFormat Fast Format locale Instance Time Hash HashMap Hash Map case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator Summary reduce infinite	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Decimal compareTo compare Big comparing EqualsBuilder Equals Builder Decimals BigDecimals Big Decimals don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width getNullText Null Text StrBuilder Str Builder Null Str null Builder pointer width Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str String WordUtils Word Utils Word length substring upper abbreviate greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs string insensitive Bug String case http Case sensitive locale	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number String NumberUtils Number Utils Exception Bounds LANG digit Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Message ExtendedMessageFormat Extended Message Format Format format Extended formatRegistry format Registry java borderStyle border Style appendTo append code	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String StringEscapeUtils String Escape Utils unicode characters utf Escape Html escape Characters	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number NumberUtils Number Utils decimal hasExp Exp return Decimal Utils Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone Zone Format format test dateTime Time GregorianCalendar Gregorian Calendar GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replaceEach replace replacementList replacement List Utils StringUtils String Utils Test replace searchList search List StringUtilsTest String Utils Test	StringUtils replaceEach Bug Missing Documentation String Utils replace
