59	MDT DateUtils Utils hour truncate oct DAY lang Utils Calendar buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare typesafe Enum Valued int values Object classes compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils Duration result set Time getTimeInMillis Time Millis String currentTimeMillis current Time Millis Format	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test unescape doTestUnescapeEntity Test Unescape Entity void EntitiesTest Entities Test Unescape testNumberOverflow test Number Overflow reference Entity	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf length Builder LANG Buf noticed places usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str width appendFixedWidthPadRight append Fixed Width Pad method size Width StrBuilder Str Builder pad append Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils Format throws Utils string substring numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Locale Null cAvailableLocaleSet Locale Set Exception LocaleUtils Locale Utils availableLocaleSet Locale Set Pointer Set initialized	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch suspend time acts counter shouldn pause sleep	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country case variant strings code POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds Time test behaves DateUtils Utils Mon CDT TimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	Escape Java String escapeJavaScript escape Java Script escape Script script Utils StringEscapeUtils String Escape Utils scripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case String StringIndexOutOfBoundsException String Bounds Exception test statement false Utils	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance getDateInstance Instance locale FastDateFormat Fast Format Locale Instance case Format Time methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction reduce Summary infinite numerator pretty	infinite loop Fraction reduce numerator
393	Big compare BigDecimal Big Decimal compareTo compare Decimal don EqualsBuilder Equals Builder comparing BigDecimals Big Decimals correctly	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null null getNullText Null Text Builder Fixed handle StrBuilder Str Builder nulls pointer	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length string str abbreviate String upper WordUtils Word Utils Word greater StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive case String locale Bug Case http string html	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Number createNumber create Number Bounds Exception NumberUtils Number Utils front thows Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format Extended Message String formatRegistry format Registry formattedPattern formatted Pattern code Registry	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode characters StringEscapeUtils String Escape Utils escape utf Escape incorrectly problem	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number return number decimal NumberUtils Number Utils Decimal Dec code Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone test dateTime Time GMT Zone cal	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils replacement Utils Test replacementList replacement List replace null case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory String org thread LANG created application web Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class NPE throws element array ClassUtils Class Utils Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils String Exception throws NumberFormatException Number Format Exception Utils passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format Format locale format SimpleDateFormat Simple Format Week Fast Simple Locale	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN test getDenominator Denominator method code apache case commons	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String return code NumberUtils Number Utils Digit hasExp Exp Utils Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Calendar Utils Local method HOUR DAY setTimeInMillis set Time Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	year Java SimpleDateFormat Simple Format Format FastDateFormat Fast Format pattern format Fast YYY bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number case NumberFormatException Number Format Exception Integer upper Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Number Long Integer numbers hex NumberUtils Number Utils createNumber create Number createLong create Long create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception SerializationUtils Serialization Utils class ObjectInputStream Object Input Stream primitive noformat clone Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code chars Int int start array ends char gap	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws Illegal confusing IllegalArgumentException Illegal Argument Exception start lang RandomUtils Random Utils Argument	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal behaviour NumberUtils Number Utils Big work Decimal leading create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space white Format Parser dates Fast parse SimpleDateFormat Simple Format parsed	FastDateParser handle white space properly Fast Parser
832	format quotes SimpleDateFormat Simple Format unterminated parse handle FastDateParser Fast Parser Format Simple handled	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String code CharBuffer Char Buffer work char Sequence Buffer Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
