59	DateUtils Utils MDT hour truncate lang Utils oct Calendar buggy result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare typesafe Enum Valued Object int values compare classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils Duration result set Time getTimeInMillis Time Millis currentTimeMillis current Time Millis cal String	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test testNumberOverflow test Number Overflow EntitiesTest Entities Test unescape doTestUnescapeEntity Test Unescape Entity Unescape reference Entity entity	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf length Builder LANG places noticed Buf usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str appendFixedWidthPadRight append Fixed Width Pad width method append ArrayIndexOutOfBoundsException Array Bounds Exception StrBuilder Str Builder size Array Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils Format throws Utils string substring numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Pointer Exception initialized Set availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch suspend time acts counter shouldn pause bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country case variant strings code POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds test behaves Time DateUtils Utils TimeZone Time Zone Mon CDT	Dates behaves incorrectly minutes seconds
363	Escape String escape escapeJavaScript escape Java Script script Java Utils StringEscapeUtils String Escape Utils Script javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case statement false test String Utils StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance locale Locale Instance FastDateFormat Fast Format case Format methods Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction reduce Summary infinite numerator pretty	infinite loop Fraction reduce numerator
393	Big compare BigDecimal Big Decimal Decimal compareTo compare don EqualsBuilder Equals Builder comparing BigDecimals Big Decimals correctly	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null null Builder getNullText Null Text Fixed handle StrBuilder Str Builder nulls pointer	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	str string length Word String WordUtils Word Utils upper abbreviate greater substring	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive case String locale Bug Case http string html	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Number createNumber create Number Bounds digit Exception NumberUtils Number Utils front LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	ExtendedMessageFormat Extended Message Format Format format Extended Message String formatRegistry format Registry code pattern quotes	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode characters StringEscapeUtils String Escape Utils utf escape incorrectly Escape problem	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number return number decimal NumberUtils Number Utils Decimal code Exp Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone Format format test dateTime Time GMT Zone cal	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement StringUtils String Utils replacementList replacement List Test Utils case replace null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread String org LANG created leak application web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class NPE throws element array ClassUtils Class Utils Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception String NumberUtils Number Utils Exception NumberFormatException Number Format Exception throws passed Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week locale SimpleDateFormat Simple Format Format format Week Locale Fast Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN test getDenominator Denominator method code apache case Denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String return code NumberUtils Number Utils Digit hasExp Exp Dec hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Utils Calendar Local method HOUR class cal	DateUtils isSameLocalTime work correct Utils Local Time
719	year Java SimpleDateFormat Simple Format pattern Format FastDateFormat Fast Format YYY Fast format bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils case upper NumberFormatException Number Format Exception Integer Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Number Integer Long numbers hex NumberUtils Number Utils createLong create Long createNumber create Number create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception class ObjectInputStream Object Input Stream primitive noformat Exception primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code random Int chars char length start array ends int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws confusing start RandomUtils Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour BigDecimal Big Decimal NumberUtils Number Utils Big work leading Decimal create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space white dates Fast parse SimpleDateFormat Simple Format FDP Format parsed	FastDateParser handle white space properly Fast Parser
832	quotes parse SimpleDateFormat Simple Format format unterminated handle FastDateParser Fast Parser Simple handled Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String CharBuffer Char Buffer work code char Sequence Map toString String	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
