59	MDT DateUtils Utils hour truncate lang Utils oct buggy result DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued compareTo compare typesafe Enum Object int values compare classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration result set Time cal getTimeInMillis Time Millis String returns	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test unescape Unescape doTestUnescapeEntity Test Unescape Entity reference Entity entity EntitiesTest Entities Test xFFFF FFFF	unescapeXml unescape Xml
295	StrBuilder Str Builder length thisBuf Buf Str Builder LANG places Buf noticed usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str width method appendFixedWidthPadRight append Fixed Width Pad pad Width Pad strLen str Len StrBuilder Str Builder size	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Format throws Utils string substring isDigits Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Pointer Exception Set Bugs availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch Watch suspend time acts getTime Time counter shouldn bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country variant strings code POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds behaves test Time TimeZone Time Zone Mon CDT incorrectly	Dates behaves incorrectly minutes seconds
363	Escape escape String script Utils Java escapeJavaScript escape Java Script StringEscapeUtils String Escape Utils Script javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case statement test String Utils false StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance case FastDateFormat Fast Format Format methods Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction reduce Summary infinite numerator pretty	infinite loop Fraction reduce numerator
393	compare Big compareTo compare don BigDecimal Big Decimal Decimal EqualsBuilder Equals Builder comparing BigDecimals Big Decimals correctly	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null Builder Fixed handle null StrBuilder Str Builder nulls pointer getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length abbreviate str String upper Word WordUtils Word Utils StringIndexOutOfBoundsException String Bounds Exception greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive case String locale Bug Case string intended http	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Number createNumber create Number Bounds digit Exception NumberUtils Number Utils front LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format Extended formatRegistry format Registry String code formattedPattern formatted Pattern pattern Message	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters unicode String escapeHtml escape Html StringEscapeUtils String Escape Utils utf escape Escape incorrectly problem	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number return number decimal code Point Digit Exp NumberUtils Number Utils	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone Format format test Zone GMT cal DateFormatUtils Format Utils	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String StringUtils String Utils replaceEach replace replacement replace Utils Test case null replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread String org LANG created leak application web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class NPE throws element array ClassUtils Class Utils Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
