59	DAY DateUtils Utils MDT oct Calendar Equals Utils DST hours hour	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe values ValuedEnum Valued Enum classes compareTo compare int enums Valued compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils Duration Time String getTimeInMillis Time Millis currentTimeMillis current Time Millis set Format result	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test void testNumberOverflow test Number Overflow EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity Exception Entity Unescape reference	unescapeXml unescape Xml
295	Str StrBuilder Str Builder thisBuf Buf length Builder noticed Buf LANG size shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	width str Char size pad Width int padChar pad Char Pad appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils string Format substring digit numeric works	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils availableLocaleSet Locale Set Exception FindBugs Find Bugs cAvailableSet Set commons	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch pause suspend Watch time sleep counter shouldn resume	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country POSIX case Utils PropertyConverter Property Converter tests	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time test testCalendar test Calendar seconds TimeZone Time Zone Mon DateUtils Utils Jul	Dates behaves incorrectly minutes seconds
363	Java Escape Script String escapeJavaScript escape Java Script Utils scripts document JavascriptEscape Javascript Escape javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils String Exception case StringIndexOutOfBoundsException String Bounds Exception test toBoolean Boolean Utils false	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance locale getDateInstance Instance FastDateFormat Fast Format Format Instance Locale Hash Time methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction Summary infinite reduce numerator pretty	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal Big compare compareTo compare comparing Decimal BigDecimals Big Decimals EqualsBuilder Equals Builder equals Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null getNullText Null Text appendFixedWidth append Fixed Width null exception Builder StrBuilder Str Builder Fixed pointer width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str length String substring upper WordUtils Word Utils Word StringIndexOutOfBoundsException String Bounds Exception greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug http String html Case locale sensitive handling string	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception throws createNumber create Number Number Bounds front Exception Utils place	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format ExtendedMessageFormat Extended Message Format Extended formattedPattern formatted Pattern String code Message formatRegistry format Registry formatted	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html unicode characters StringEscapeUtils String Escape Utils Html utf escape org UTF	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number decimal Decimal Exp Digit NumberUtils Number Utils return Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format TimeZone Time Zone format test GMT time problem getTimeZone Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement String Utils replacementList replacement List Test replaceEach replace org replace StringUtils String Utils null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String org ToStringStyle String Style application web Hash Code thread reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object Utils NPE element array ClassUtils Class Utils throws null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception NumberFormatException Number Format Exception Utils Exception throws exponent	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format Week format SimpleDateFormat Simple Format FastDateFormat Fast Format locale Locale Simple output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test MIN getDenominator Denominator method case int void FractionTest Fraction Test	org apache commons lang math Fraction reduce Integer MIN
664	Number Digit code return hasExp Exp NumberUtils Number Utils isNumber Number Exp String java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Calendar method DAY DateUtils Utils Utils setTimeInMillis set Time Millis HOUR False	DateUtils isSameLocalTime work correct Utils Local Time
719	Format Java SimpleDateFormat Simple Format year FastDateFormat Fast Format pattern format YYY bug number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils case NumberFormatException Number Format Exception Integer Utils Format decode upper	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers Long createNumber create Number NumberUtils Number Utils createLong create Long hex octal create	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class Serialization ObjectInputStream Object Input Stream Exception SerializationUtils Serialization Utils Object noformat primitive	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int int chars random char pass code start array useless	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal lang source Exception IllegalArgumentException Illegal Argument Exception RandomUtils Random Utils String Argument	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Big Decimal behaviour NumberUtils Number Utils Utils Format Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Format Parser parse FDP parsed SimpleDateFormat Simple Format treat dates space	FastDateParser handle white space properly Fast Parser
832	format parse SimpleDateFormat Simple Format Format unterminated FastDateParser Fast Parser quotes Simple handled parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String code CharBuffer Char Buffer char work Buffer hash Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
