59	DateUtils Utils MDT Calendar Utils switching hour method dealing DST Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Enum values typesafe compare Valued classes int enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Calendar getTimeInMillis Time Millis DurationFormatUtils Duration Format Utils currentTimeMillis current Time Millis Time set result String Format	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test testNumberOverflow test Number Overflow test Test xFFFF FFFF Number doTestUnescapeEntity Test Unescape Entity reference Entity Unescape	unescapeXml unescape Xml
295	Str thisBuf Buf length StrBuilder Str Builder Buf Builder LANG size shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	str width size ArrayIndexOutOfBoundsException Array Bounds Exception append padChar pad Char Char Array pad appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils string Format digit substring numeric works	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils FindBugs Find Bugs availableLocaleSet Locale Set initialized constructor Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time pause StopWatch Watch Watch time suspend getTime Time counter shouldn acts	StopWatch suspend acts split Watch
328	Locale language toLocale Locale country LocaleUtils Locale Utils POSIX case PropertyConverter Property Converter code toString String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds testCalendar test Calendar Jul test getTimeZone Time Zone TimeZone Time Zone DateUtils Utils Time	Dates behaves incorrectly minutes seconds
363	String Escape Java escape Utils javaScriptEscape java Script Escape JavaScriptUtils Java Script Utils JavascriptEscape Javascript Escape escapeJavaScript escape Java Script Javascript	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case Exception statement test false String assert	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance locale Locale Instance Hash case Format FastDateFormat Fast Format HashMap Hash Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce numerator pretty infinite	infinite loop Fraction reduce numerator
393	compare compareTo compare BigDecimal Big Decimal Big comparing Decimal equals Decimals BigDecimals Big Decimals don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
