59	DateUtils Utils Calendar MDT hour Utils DST MST assertEquals assert Equals Equals hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Enum compareTo compare values typesafe compare Valued classes int lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time Calendar DurationFormatUtils Duration Format Utils set getTimeInMillis Time Millis currentTimeMillis current Time Millis result String Format	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test Test xFFFF FFFF doTestUnescapeEntity Test Unescape Entity Unescape FFFF reference Entity entity	unescapeXml unescape Xml
295	thisBuf Buf length StrBuilder Str Builder Str Buf Builder LANG size shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	str size pad width Pad Width strLen str Len padChar pad Char Fixed Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberUtils Number Utils NumberFormatException Number Format Exception Format isDigits Digits string Digits substring Exception	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Locale availableLocaleSet Locale Set Null FindBugs Find Bugs NullPointerException Null Pointer Exception Find Exception cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time time getTime Time pause counter shouldn acts bug StopWatch Watch	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country PropertyConverter Property Converter POSIX string variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time seconds test getTimeZone Time Zone getTime Time DateUtils Utils TimeZone Time Zone Mon	Dates behaves incorrectly minutes seconds
363	String Escape scripts javaScriptEscape java Script Escape JavascriptEscape Javascript Escape JavaScriptUtils Java Script Utils escape Javascript Javascripts Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case test String statement assert StringIndexOutOfBoundsException String Bounds Exception source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale getDateInstance Instance Locale getDateTimeInstance Time Instance case Instance Hash Format HashMap Hash Map methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce numerator pretty infinite	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal compare compareTo compare Big Decimal comparing EqualsBuilder Equals Builder Decimals BigDecimals Big Decimals don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null Fixed appendFixedWidth append Fixed Width Builder pointer getNullText Null Text width handle exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string Word String str length WordUtils Word Utils StringIndexOutOfBoundsException String Bounds Exception upper abbreviate Bounds	WordUtils abbreviate bug greater str length Word Utils
