59	MDT MST hour DateUtils Utils Utils DST Equals hours buggy truncate	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued Enum compareTo compare ValuedEnum Valued Enum typesafe values compare enums classes int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar getTimeInMillis Time Millis set Time MONTH result String DECEMBER	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test xFFFF FFFF doTestUnescapeEntity Test Unescape Entity Unescape reference Entity entity EntitiesTest Entities Test FFFF	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder LANG size Buf shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	str pad width strLen str Len Width Pad Char size method appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils NumberFormatException Number Format Exception isDigits Digits Digits Format createNumber create Number string substring digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Null NullPointerException Null Pointer Exception cAvailableSet Set Exception availableLocaleSet Locale Set Pointer Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time getTime Time time StopWatch Watch counter shouldn acts suspend bug pause	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country POSIX string variant code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes TimeZone Time Zone Time seconds Calendar test getTime Time Mon CDT println	Dates behaves incorrectly minutes seconds
363	Escape escape javaScriptEscape java Script Escape JavaScriptUtils Java Script Utils String Utils Java script org Spring	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case test String statement StringIndexOutOfBoundsException String Bounds Exception source Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Locale locale getDateInstance Instance getDateTimeInstance Time Instance case Instance Format HashMap Hash Map methods Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce numerator pretty infinite	infinite loop Fraction reduce numerator
393	compare compareTo compare Big comparing BigDecimal Big Decimal Decimal don Decimals Builder equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null Fixed appendFixedWidth append Fixed Width Builder pointer getNullText Null Text width handle exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String length str abbreviate StringIndexOutOfBoundsException String Bounds Exception Word substring upper Bounds	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug String Case insensitive locale string http sensitive case	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Number String digit Exception Bounds front LANG NumberUtils Number Utils createNumber create Number	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format formatRegistry format Registry ExtendedMessageFormat Extended Message Format formattedPattern formatted Pattern appendTo append code Extended String append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode utf characters escape String Characters problem org escapeHtml escape Html Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number decimal return Digit isNumber Number Point point code Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone Format noformat format GregorianCalendar Gregorian Calendar GMT test Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement String replace StringUtils String Utils replaceEach replace case searchList search List Test replacementList replacement List Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread org String LANG leak application web Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object NPE element array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils String Exception StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Utils indicators passed NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format locale format week Locale SimpleDateFormat Simple Format Week Format firstDayOfWeek Day Week Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Integer test case MIN method Denominator code void	org apache commons lang math Fraction reduce Integer MIN
664	Number code return NumberUtils Number Utils String hasExp Exp isNumber Number Dec Digit hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils assertFalse assert False Calendar Time Utils Assert Local HOUR assert	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format pattern FastDateFormat Fast Format Java JDK Javadoc year format bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Integer NumberUtils Number Utils NumberFormatException Number Format Exception case createNumber create Number Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Number numbers Integer createLong create Long Long NumberUtils Number Utils hex handle createNumber create Number Hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class ObjectInputStream Object Input Stream primitiveType primitive Type SerializationUtils Serialization Utils ClassNotFoundException Class Exception noformat Exception class ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int random empty length code null size int start Random	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils lang Argument source IllegalArgumentException Illegal Argument Exception String Illegal start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big NumberUtils Number Utils BigDecimal Big Decimal behaviour createNumber create Number work Java Format invocations	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse parsed treat SimpleDateFormat Simple Format dates space FDP Format treats	FastDateParser handle white space properly Fast Parser
832	parse format quotes SimpleDateFormat Simple Format Simple unterminated handle works Format Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char work CharSequence Char Sequence char String lookupMap lookup Map HashMap Hash Map Buffer Escape code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
