59	MDT DateUtils Utils hour oct truncate Equals DAY DST Utils dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe ValuedEnum Valued Enum Enum compareTo compare int classes values Object Valued org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils result Duration set Time String returns getTimeInMillis Time Millis currentTimeMillis current Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test unescape doTestUnescapeEntity Test Unescape Entity EntitiesTest Entities Test void Entity testNumberOverflow test Number Overflow unescapeXml unescape Xml reference	unescapeXml unescape Xml
295	StrBuilder Str Builder length Str thisBuf Buf Builder noticed LANG size Buf places	StrBuilder usages thisBuf length size Str Builder Buf
299	str width method StrBuilder Str Builder appendFixedWidthPadRight append Fixed Width Pad int Pad Width size Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils string Format digit throws substring Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null FindBugs Find Bugs Exception cAvailableLocaleSet Locale Set Pointer commons LocaleUtils Locale Utils cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch Watch suspend time acts counter shouldn sleep pause	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country Utils case POSIX variant strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar Time test Mon testCalendar test Calendar behaves seconds Jul println	Dates behaves incorrectly minutes seconds
363	String Escape Utils Java escapeJavaScript escape Java Script Script script escape StringEscapeUtils String Escape Utils org	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils case toBoolean Boolean Utils statement String Exception false test	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance Instance getDateTimeInstance Time Instance FastDateFormat Fast Format Format locale Hash Locale methods case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction infinite reduce numerator pretty Summary	infinite loop Fraction reduce numerator
393	Big compare BigDecimal Big Decimal compareTo compare EqualsBuilder Equals Builder BigDecimals Big Decimals don Decimal Equals Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Builder getNullText Null Text Fixed Null null handle exception Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string upper String abbreviate WordUtils Word Utils greater StringIndexOutOfBoundsException String Bounds Exception Word	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String string insensitive handling case Case sensitive locale http	case insensitive string handling
457	String createNumber create Number StringIndexOutOfBoundsException String Bounds Exception Number NumberUtils Number Utils Bounds Utils front throws place	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Extended String ExtendedMessageFormat Extended Message Format code Message pattern formattedPattern formatted Pattern formatRegistry format Registry	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters String escapeHtml escape Html StringEscapeUtils String Escape Utils unicode org escape println Escape void	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
