59	MDT DateUtils Utils hour truncate Calendar lang Utils oct buggy result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Enum typesafe compareTo compare Valued values Object int compare classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration Time DurationFormatUtils Duration Format Utils result set Format cal String MONTH	DurationFormatUtils returns wrong result Duration Format Utils
292	Test EntitiesTest Entities Test test unescape unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity reference Entity entity Unescape	unescapeXml unescape Xml
295	length thisBuf Buf StrBuilder Str Builder Str Builder LANG Buf places size noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	str size method width pad appendFixedWidthPadRight append Fixed Width Pad Pad Width StrBuilder Str Builder Fixed	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Format throws Utils string isDigits Digits substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils FindBugs Find Bugs Pointer Exception availableLocaleSet Locale Set Find	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time suspend StopWatch Watch time Watch acts counter shouldn getTime Time bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country variant strings code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes test seconds Time behaves getTimeZone Time Zone Mon CDT incorrectly	Dates behaves incorrectly minutes seconds
363	String Escape escape Utils script Java escapeJavaScript escape Java Script StringEscapeUtils String Escape Utils scripts Script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case statement test String Utils false assert	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance locale Locale Instance case FastDateFormat Fast Format Hash Format HashMap Hash Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce numerator infinite pretty Summary	infinite loop Fraction reduce numerator
393	compare Big compareTo compare EqualsBuilder Equals Builder BigDecimal Big Decimal don Decimal comparing BigDecimals Big Decimals Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null Builder Fixed handle null StrBuilder Str Builder nulls pointer getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str length Word String abbreviate upper WordUtils Word Utils StringIndexOutOfBoundsException String Bounds Exception greater	WordUtils abbreviate bug greater str length Word Utils
