59	MDT hour DateUtils Utils truncate lang Utils oct buggy result DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued ValuedEnum Valued Enum Enum typesafe compareTo compare Object int values compare classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration result set Time Format MONTH getTimeInMillis Time Millis cal	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test unescape doTestUnescapeEntity Test Unescape Entity reference Entity entity EntitiesTest Entities Test xFFFF FFFF Unescape	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder LANG size places noticed usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str method width pad appendFixedWidthPadRight append Fixed Width Pad Width strLen str Len StrBuilder Str Builder Char size	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception Format NumberUtils Number Utils throws Utils string isDigits Digits substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Pointer Exception Set cAvailableSet Set Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch time Watch acts getTime Time counter shouldn suspend bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country variant strings code POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar Time seconds behaves test TimeZone Time Zone Mon CDT incorrectly	Dates behaves incorrectly minutes seconds
363	Escape escape String script Utils Java escapeJavaScript escape Java Script StringEscapeUtils String Escape Utils Script org	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case statement test String Utils false StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance Locale getDateTimeInstance Time Instance locale Instance case FastDateFormat Fast Format Format HashMap Hash Map methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce numerator infinite pretty Summary	infinite loop Fraction reduce numerator
393	compare Big compareTo compare don BigDecimal Big Decimal Decimal EqualsBuilder Equals Builder comparing BigDecimals Big Decimals correctly	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null Builder Fixed handle null StrBuilder Str Builder nulls pointer getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length str String abbreviate upper Word StringIndexOutOfBoundsException String Bounds Exception greater WordUtils Word Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive String string Case case locale sensitive intended http	case insensitive string handling
457	Number StringIndexOutOfBoundsException String Bounds Exception String createNumber create Number NumberUtils Number Utils Bounds front thows Utils Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Extended ExtendedMessageFormat Extended Message Format String code appendTo append formatRegistry format Registry pattern Message	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters unicode String escapeHtml escape Html StringEscapeUtils String Escape Utils escape utf Escape incorrectly problem	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number return number Point NumberUtils Number Utils code Dec Exp point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone Zone test noformat GregorianCalendar Gregorian Calendar dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
