59	MDT MST DateUtils Utils truncate hour oct result assert lang switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued compareTo compare ValuedEnum Valued Enum Enum compare typesafe enums int Object values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration result Calendar set getTimeInMillis Time Millis MONTH cal DECEMBER Format	DurationFormatUtils returns wrong result Duration Format Utils
292	Test xFFFF FFFF unescape test Unescape FFFF unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity reference entity	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder size LANG places noticed usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str pad width strLen str Len Width method appendFixedWidthPadRight append Fixed Width Pad StrBuilder Str Builder append Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number isDigits Digits NumberFormatException Number Format Exception Digits throws fine numeric substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils NullPointerException Null Pointer Exception Null Set cAvailableSet Set availableLocaleSet Locale Set initialized pointed	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time getTime Time StopWatch Watch suspend Watch acts pause time doesn shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant language strings case string code country	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes TimeZone Time Zone Time behaves seconds getTime Time Calendar incorrectly test output	Dates behaves incorrectly minutes seconds
363	escape Escape JavaScriptUtils Java Script Utils javaScriptEscape java Script Escape escapeJavaScript escape Java Script script Java String Utils uncorrectly	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case false statement String test invalid Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance HashMap Hash Map key case test Fast	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce Summary numerator infinite pretty	infinite loop Fraction reduce numerator
393	compare comparing Big don compareTo compare BigDecimal Big Decimal correctly BigDecimals Big Decimals EqualsBuilder Equals Builder Decimal	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width handle nulls Fixed Str Builder append StrBuilder Str Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string abbreviate String length upper str WordUtils Word Utils greater Word bug	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs string String Bug sensitive case Case intended handling	case insensitive string handling
