59	oct HOUR Calendar DateUtils Utils MDT DAY MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum enums compare values classes ValuedEnum Valued Enum typesafe Valued Object compareTo compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	MONTH DECEMBER Calendar DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis format Time Duration String formatPeriod format Period	DurationFormatUtils returns wrong result Duration Format Utils
292	FFFF void xFFFF FFFF test Test Unescape EntitiesTest Entities Test testNumberOverflow test Number Overflow doTestUnescapeEntity Test Unescape Entity Exception	unescapeXml unescape Xml
295	Str thisBuf Buf Buf noticed Builder LANG StrBuilder Str Builder	StrBuilder usages thisBuf length size Str Builder Buf
299	Str pad Capacity Char Width Chars StrBuilder Str Builder Fixed appendFixedWidthPadLeft append Fixed Width Pad Left padLen pad Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number Digits createNumber create Number NumberFormatException Number Format Exception numeric isDigits Digits NumberUtils Number Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableSet Set Null LocaleUtils Locale Utils NullPointerException Null Pointer Exception constructor availableLocaleSet Locale Set initialized lang cAvailableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend resume sleep getTime Time continue Watch Time time pause StopWatch Watch	StopWatch suspend acts split Watch
328	Locale country toLocale Locale LocaleUtils Locale Utils language toString String String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Jul testCalendar test Calendar test getTimeZone Time Zone getTime Time minutes Calendar Time DateUtils Utils GMT	Dates behaves incorrectly minutes seconds
363	Escape Script Java JavascriptEscape Javascript Escape Javascripts document Element String str java	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils test Utils assert false StringIndexOutOfBoundsException String Bounds Exception assertEquals assert Equals String Boolean Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Locale getDateTimeInstance Time Instance Format Time FastDateFormat Fast Format locale Fast getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary	infinite loop Fraction reduce numerator
393	Big compare Decimal equals comparing compareTo compare BigDecimal Big Decimal	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	exception Null getNullText Null Text null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	abbreviate Word lengt string upper length String substring str WordUtils Word Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug http html	case insensitive string handling
457	Bounds StringIndexOutOfBoundsException String Bounds Exception String throws Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	escaping formatRegistry format Registry code DummyFormatFactory Dummy Format Factory Message FORMAT formatted ExtendedMessageFormatTest Extended Message Format Test Extended format	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
