59	MDT Utils Equals lang hour buggy DST DAY hours Calendar	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe classes values compareTo compare Object ValuedEnum Valued Enum org lang apache	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar String DurationFormatUtils Duration Format Utils Duration Dec Utils Time set code getTimeInMillis Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	test EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity Entity reference entity Test Unescape Entities testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	length thisBuf Buf Str StrBuilder Str Builder Builder Buf LANG shouldn size places	StrBuilder usages thisBuf length size Str Builder Buf
299	size str width Width Len Pad int obj method appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Exception Format NumberFormatException Number Format Exception Number createNumber create Number Utils string works parse NumberUtils Number Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Exception Bugs FindBugs Find Bugs Null Pointer NullPointerException Null Pointer Exception constructor Field Locale hasn	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	time Time counter shouldn acts opinion split bug StopWatch Watch Watch	StopWatch suspend acts split Watch
328	Locale country language LocaleUtils Locale Utils toLocale Locale case POSIX Utils code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds System test Mon println Jul DateUtils Utils getInstance Instance	Dates behaves incorrectly minutes seconds
363	String Escape Utils org codes difference scripts Javascripts System script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	toBoolean Boolean BooleanUtils Boolean Utils case Boolean Exception test Utils statement source String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale case FastDateFormat Fast Format Time Format Instance getDateInstance Instance getDateTimeInstance Time Instance Locale methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator	infinite loop Fraction reduce numerator
393	Big compareTo compare Decimals Decimal EqualsBuilder Equals Builder Builder BigDecimal Big Decimal BigDecimals Big Decimals case	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	pointer width getNullText Null Text Builder Fixed appendFixedWidth append Fixed Width StrBuilder Str Builder Width exception Null	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string String StringIndexOutOfBoundsException String Bounds Exception Utils Exception substring Word lengt	WordUtils abbreviate bug greater str length Word Utils
432	Bugs http locale Case String case Bug details string comparisions	case insensitive string handling
457	Exception String StringIndexOutOfBoundsException String Bounds Exception front Bounds Utils Number NumberUtils Number Utils LANG createNumber create Number	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format ExtendedMessageFormat Extended Message Format code Extended Message Format appendTo append Registry formatRegistry format Registry java	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters String StringEscapeUtils String Escape Utils Escape import org problem test Html escapeHtml escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	return isNumber Number Number Utils code block Exp Point hasExp Exp number	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Zone Calendar Format test format TimeZone Time Zone problem noformat FastDateFormat Fast Format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	Utils String replacement replaceEach replace case Test import List org StringUtils String Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory String thread ToStringStyle String Style Style LANG reference web leak	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class NPE toClass Class Utils Object element array ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Exception String Number NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception Format Utils createNumber create Number indicators NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format locale week FastDateFormat Fast Format Simple format import Week println SimpleDateFormat Simple Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction MIN Integer method code case void test getReducedFraction Reduced Fraction Denominator	org apache commons lang math Fraction reduce Integer MIN
664	return Number hasDecPoint Dec Point code java change String hasExp Exp isNumber Number Digit	NumberUtils isNumber String String Number Utils Number
677	Calendar Time isSameLocalTime Local Time Local Utils Millis HOUR False DateUtils Utils method	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Java SimpleDateFormat Simple Format Format year number bug format YYY FastDateFormat Fast Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case Utils NumberFormatException Number Format Exception createNumber create Number Integer Format NumberUtils Number Utils Exception	NumberUtils handle upper case hex Number Utils
747	Number Integer Long hex createLong create Long numbers Utils Hex createNumber create Number length	NumberUtils handle Long Hex numbers Number Utils
788	Class Exception ClassNotFoundException Class Exception Input Serialization Loader noformat class ObjectInputStream Object Input Stream clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code ends Int pass start user length char gap nextInt Int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Utils Random String source problem lang IllegalArgumentException Illegal Argument Exception Argument Illegal RandomUtils Random Utils	RandomStringUtils throws confusing IAE start Random String Utils
822	Big Number BigDecimal Big Decimal createNumber create Number behaviour Decimal work Utils Java Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FDP FastDateParser Fast Parser Parser dates SDP Format space SimpleDateFormat Simple Format Javadoc number	FastDateParser handle white space properly Fast Parser
832	format parse FastDateParser Fast Parser Format quotes Simple SimpleDateFormat Simple Format Parser FDP	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char Sequence String work Map CharBuffer Char Buffer Utils Buffer Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
