59	assert Calendar assertEquals assert Equals DateUtils Utils MDT MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Enum compare compareTo compare values Valued enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Time Duration MONTH Format DECEMBER format formatPeriod format Period currentTimeMillis current Time Millis getTimeInMillis Time Millis DurationFormatUtils Duration Format Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test unescapeXml unescape Xml FFFF xFFFF FFFF test Test Xml unescape Entities	unescapeXml unescape Xml
295	thisBuf Buf Buf size length	StrBuilder usages thisBuf length size Str Builder Buf
299	pad size str Fixed Char char padChar pad Char Pad width Width	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils Digits isDigits Digits createNumber create Number digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set LocaleUtils Locale Utils availableLocaleSet Locale Set Find FindBugs Find Bugs Locale cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend getTime Time Time pause	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils PropertyConverter Property Converter Property	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar seconds TimeZone Time Zone testRound test test getTimeZone Time Zone getTime Time minutes Time GMT	Dates behaves incorrectly minutes seconds
363	String Escape Java JavascriptEscape Javascript Escape Javascripts java util Utils Javascript JavaScriptUtils Java Script Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils assert assertEquals assert Equals Boolean	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	HashMap Hash Map Locale getDateTimeInstance Time Instance locale getDateInstance Instance Hash Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction numerator	infinite loop Fraction reduce numerator
393	compare Equals Decimal comparing EqualsBuilder Equals Builder compareTo compare Decimals BigDecimal Big Decimal BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	str Word string WordUtils Word Utils String	WordUtils abbreviate bug greater str length Word Utils
432	Bugs string Bug insensitive http html String sensitive case Case	case insensitive string handling
457	Number createNumber create Number NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	HashMap Hash Map format Format formatRegistry format Registry border escaping DUMMY dummy appendTo append borderStyle border Style	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	Escape characters escapeHtml escape Html utf Characters unicode Html String escape StringEscapeUtils String Escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number Number NumberUtils Number Utils Decimal decimal hasDecPoint Dec Point dec Dec hasExp Exp Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar testFormat test Format assert GregorianCalendar Gregorian Calendar test getTimeZone Time Zone Zone format GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacementList replacement List replace replaceEach replace replacement searchList search List assertEquals assert Equals Assert assert List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	webapp ThreadLocals Thread Locals removed web remove Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number NumberUtils Number Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	program week Week Days Locale getTime Time simple Time locale setting	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	FractionTest Fraction Test Fraction border factory cases Factory assertEquals assert Equals int getDenominator Denominator Integer	org apache commons lang math Fraction reduce Integer MIN
664	hasDecPoint Dec Point Number isNumber Number hasExp Exp NumberUtils Number Utils	NumberUtils isNumber String String Number Utils Number
677	Assert assert assertFalse assert False	DateUtils isSameLocalTime work correct Utils Local Time
719	Format JDK Javadoc FastDateFormat Fast Format SimpleDateFormat Simple Format formats format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils Integer	NumberUtils handle upper case hex Number Utils
