59	MDT DateUtils Utils hour lang MST truncate Utils buggy Equals DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare Enum Valued ValuedEnum Valued Enum typesafe Object compare classes values int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar set result getTimeInMillis Time Millis String returns Utils Dec	DurationFormatUtils returns wrong result Duration Format Utils
292	test Unescape Test xFFFF FFFF unescape EntitiesTest Entities Test FFFF doTestUnescapeEntity Test Unescape Entity unescapeXml unescape Xml Entity	unescapeXml unescape Xml
295	StrBuilder Str Builder length thisBuf Buf Str Builder Buf LANG usages places reference	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width width appendFixedWidthPadRight append Fixed Width Pad method pad Pad strLen str Len StrBuilder Str Builder ArrayIndexOutOfBoundsException Array Bounds Exception	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number NumberFormatException Number Format Exception Format Utils Exception throws Digits string	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set Pointer Exception Bugs LocaleUtils Locale Utils FindBugs Find Bugs Field	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch acts getTime Time split time suspend counter shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language country strings Utils case POSIX rejects	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds Calendar TimeZone Time Zone behaves Time System test println Dates	Dates behaves incorrectly minutes seconds
363	Escape escape String Utils StringEscapeUtils String Escape Utils javaScriptEscape java Script Escape script Java escapeJavaScript escape Java Script Script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement Exception test String source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance FastDateFormat Fast Format Locale locale Instance case Time Format methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce numerator infinite	infinite loop Fraction reduce numerator
393	compare Big Decimal EqualsBuilder Equals Builder compareTo compare don BigDecimal Big Decimal Decimals BigDecimals Big Decimals comparing	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Null Builder pointer width Fixed handle nulls getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length String abbreviate str WordUtils Word Utils substring upper StringIndexOutOfBoundsException String Bounds Exception Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug case String insensitive string Case locale http intended	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Exception createNumber create Number Bounds NumberUtils Number Utils Number LANG digit Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format Extended Message formatRegistry format Registry String formattedPattern formatted Pattern code pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters unicode StringEscapeUtils String Escape Utils escapeHtml escape Html String utf Escape escape println Characters	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number return Digit NumberUtils Number Utils number Utils decimal Point code	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone Zone Format format test DateFormatUtils Format Utils GMT GregorianCalendar Gregorian Calendar	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String StringUtils String Utils replacement replaceEach replace Utils replace Test case replacementList replacement List null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread ThreadLocals Thread Locals String leak org HashCodeBuilder Hash Code Builder Style LANG	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class NPE Object Class ClassUtils Class Utils Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
