59	MDT DateUtils Utils Equals hour DAY oct lang Utils DST dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe compareTo compare ValuedEnum Valued Enum classes Object values int enums Valued	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration String result Time set returns getTimeInMillis Time Millis currentTimeMillis current Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test EntitiesTest Entities Test unescapeXml unescape Xml unescape doTestUnescapeEntity Test Unescape Entity Entity testNumberOverflow test Number Overflow void Xml	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder noticed Buf size LANG usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width width appendFixedWidthPadRight append Fixed Width Pad Fixed method int StrBuilder Str Builder Pad class	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils Format string works digit Utils Exception	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception FindBugs Find Bugs Exception org Pointer Bugs cAvailableLocaleSet Locale Set LocaleUtils Locale Utils	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch acts suspend pause sleep Thread time split	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country Utils PropertyConverter Property Converter POSIX throws strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds Time Jul test Mon testCalendar test Calendar Instance Dates	Dates behaves incorrectly minutes seconds
363	String Escape Utils Java escapeJavaScript escape Java Script Script StringEscapeUtils String Escape Utils escape script document	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils Utils case toBoolean Boolean Exception statement String invalid assertEquals assert Equals	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	FastDateFormat Fast Format getDateInstance Instance getDateTimeInstance Time Instance Instance Format Time Hash locale methods Locale	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction infinite numerator reduce	infinite loop Fraction reduce numerator
393	Big compare EqualsBuilder Equals Builder BigDecimal Big Decimal BigDecimals Big Decimals Decimal compareTo compare Decimals don Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Builder getNullText Null Text exception Str pointer Null width Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string WordUtils Word Utils String upper abbreviate substring Exception StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs string String case handling http sensitive Case insensitive Bug	case insensitive string handling
457	createNumber create Number String NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception Number Utils Bounds Exception front throws	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Message Extended ExtendedMessageFormat Extended Message Format String code pattern Style formattedPattern formatted Pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html characters String StringEscapeUtils String Escape Utils unicode Html Escape class escape org	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	isNumber Number Number NumberUtils Number Utils return Exp number Digit Decimal Utils decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format Zone TimeZone Time Zone test change FastDateFormat Fast Format problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	Utils String replacement replaceEach replace Test StringUtils String Utils replacementList replacement List null org replace	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory org ToStringStyle String Style String ThreadLocals Thread Locals application web trigger reference Hash	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class Class Utils ClassUtils Class Utils NPE throws element null array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils createNumber create Number Number String throws StringIndexOutOfBoundsException String Bounds Exception Utils Exception NumberFormatException Number Format Exception Format	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week FastDateFormat Fast Format format locale Simple SimpleDateFormat Simple Format Week Fast output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN method case apache void test commons org	org apache commons lang math Fraction reduce Integer MIN
664	return String Number NumberUtils Number Utils isNumber Number code hasExp Exp java Digit change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils method Local DateUtils Utils class False Calendar DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	Java Format SimpleDateFormat Simple Format year FastDateFormat Fast Format pattern format formats YYY Simple	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case Utils NumberUtils Number Utils handle createNumber create Number NumberFormatException Number Format Exception Format upper decode	NumberUtils handle upper case hex Number Utils
747	Long Number Integer numbers createNumber create Number NumberUtils Number Utils createLong create Long hex create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class Exception Serialization SerializationUtils Serialization Utils Type Utils Object Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
