59	MDT DateUtils Utils hour Calendar lang assertEquals assert Equals truncate Utils buggy Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Enum compareTo compare typesafe Object values compare Valued classes int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration DurationFormatUtils Duration Format Utils Calendar Time set result Format String MONTH returns	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test unescapeXml unescape Xml Test test unescape doTestUnescapeEntity Test Unescape Entity Xml xFFFF FFFF Entity FFFF	unescapeXml unescape Xml
295	length thisBuf Buf StrBuilder Str Builder Str Builder Buf LANG size usages places	StrBuilder usages thisBuf length size Str Builder Buf
299	str size Width Fixed method width appendFixedWidthPadRight append Fixed Width Pad pad Pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberUtils Number Utils NumberFormatException Number Format Exception Format Utils Exception throws Digits digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null FindBugs Find Bugs cAvailableLocaleSet Locale Set Pointer LocaleUtils Locale Utils Exception Bugs availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch suspend acts Time Watch getTime Time split time counter shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language PropertyConverter Property Converter country strings Property Utils case	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds test Time getTimeZone Time Zone getTime Time behaves System println	Dates behaves incorrectly minutes seconds
363	String Escape escape Utils StringEscapeUtils String Escape Utils Java script Javascripts scripts escapeJavaScript escape Java Script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement Exception assert test String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale FastDateFormat Fast Format Instance HashMap Hash Map case Time Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce infinite	infinite loop Fraction reduce numerator
393	EqualsBuilder Equals Builder compare Big compareTo compare Decimal Decimals BigDecimal Big Decimal BigDecimals Big Decimals comparing don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Null Builder pointer width Fixed handle nulls getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str length Word String WordUtils Word Utils abbreviate upper StringIndexOutOfBoundsException String Bounds Exception Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs string insensitive String case Case http sensitive locale Bug	case insensitive string handling
457	createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils String Bounds Exception Utils front thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry Extended Message ExtendedMessageFormat Extended Message Format appendTo append String borderStyle border Style escapingOn escaping	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html StringEscapeUtils String Escape Utils characters unicode Escape escape utf Characters println	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number NumberUtils Number Utils number return Decimal hasDecPoint Dec Point Utils hasExp Exp Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Zone format Format test TimeZone Time Zone GregorianCalendar Gregorian Calendar problem testFormat test Format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement replacementList replacement List StringUtils String Utils Utils replace searchList search List Test case	StringUtils replaceEach Bug Missing Documentation String Utils replace
