59	DateUtils Utils Calendar MDT MST truncate assertEquals assert Equals hour oct lang result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare compare Enum Valued values Object typesafe enums int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time DurationFormatUtils Duration Format Utils result Format currentTimeMillis current Time Millis getTimeInMillis Time Millis MONTH returns format	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF EntitiesTest Entities Test unescapeXml unescape Xml FFFF unescape Test test Xml Unescape Overflow	unescapeXml unescape Xml
295	thisBuf Buf length StrBuilder Str Builder Buf usages Str Builder reference size places	StrBuilder usages thisBuf length size Str Builder Buf
299	str Fixed pad Width size width Pad appendFixedWidthPadRight append Fixed Width Pad method padChar pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number Digits throws isDigits Digits NumberFormatException Number Format Exception Utils create digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set Locale availableLocaleSet Locale Set LocaleUtils Locale Utils NullPointerException Null Pointer Exception Null Set FindBugs Find Bugs Pointer Find	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time getTime Time pause StopWatch Watch Watch acts System	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils PropertyConverter Property Converter language strings variant Property rejects Utils	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds getTime Time Time getTimeZone Time Zone behaves TimeZone Time Zone incorrectly Dates	Dates behaves incorrectly minutes seconds
363	String JavaScriptUtils Java Script Utils escape Javascript JavascriptEscape Javascript Escape javaScriptEscape java Script Escape StringEscapeUtils String Escape Utils Escape Javascripts java	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case assert Utils statement invalid false drop	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale HashMap Hash Map locale FastDateFormat Fast Format Instance Hash assume Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary numerator reduce infinite	infinite loop Fraction reduce numerator
