59	MST MDT DateUtils Utils truncate hour oct lang result method buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued compareTo compare Enum compare ValuedEnum Valued Enum enums Object typesafe values int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration getTimeInMillis Time Millis MONTH result DECEMBER Format returns Calendar set	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF Test FFFF unescape Unescape unescapeXml unescape Xml test Xml Overflow	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder size usages reference places Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	str pad Width width strLen str Len appendFixedWidthPadRight append Fixed Width Pad method StrBuilder Str Builder Pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils Digits createNumber create Number isDigits Digits throws NumberFormatException Number Format Exception Utils create digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils NullPointerException Null Pointer Exception Null cAvailableSet Set availableLocaleSet Locale Set Set Pointer isAvailableLocale Locale	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	getTime Time Time StopWatch Watch suspend Watch pause acts split System	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language strings variant rejects Utils code country	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes TimeZone Time Zone seconds getTime Time Time behaves incorrectly Dates getTimeZone Time Zone Calendar	Dates behaves incorrectly minutes seconds
363	escape JavaScriptUtils Java Script Utils Escape javaScriptEscape java Script Escape java escapeJavaScript escape Java Script Java StringEscapeUtils String Escape Utils script util	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement invalid false drop Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale HashMap Hash Map FastDateFormat Fast Format Instance assume Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary numerator reduce infinite	infinite loop Fraction reduce numerator
393	compare comparing don Big EqualsBuilder Equals Builder compareTo compare Decimal BigDecimals Big Decimals BigDecimal Big Decimal correctly	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width handle StrBuilder Str Builder nulls Str Builder append Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string abbreviate String WordUtils Word Utils length upper str greater substring bug	WordUtils abbreviate bug greater str length Word Utils
432	insensitive string Bugs Bug String case sensitive intended Case handling	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Number NumberUtils Number Utils createNumber create Number String digit thows LANG Bounds Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format FORMAT Extended Message HashMap Hash Map formatRegistry format Registry formatted dummy	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode utf characters Characters escapeHtml escape Html escape StringEscapeUtils String Escape Utils incorrectly Escape String	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number NumberUtils Number Utils number Digit point decimal dec isNumber Number return Return	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone GregorianCalendar Gregorian Calendar format Format getTimeZone Time Zone GMT Zone noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replace String replacement StringUtils String Utils replaceEach replace null Utils Assert result replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory remove ThreadLocals Thread Locals created thread HashCodeBuilder Hash Code Builder removed trigger leak	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class ClassUtils Class Utils throws NPE null array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils Number createNumber create Number throws StringIndexOutOfBoundsException String Bounds Exception String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format firstDayOfWeek Day Week SimpleDateFormat Simple Format format week Locale locale Format Simple Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Integer Denominator apache Test commons case test org	org apache commons lang math Fraction reduce Integer MIN
664	Number NumberUtils Number Utils isNumber Number String return Utils Java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils assertFalse assert False Assert assert Calendar Utils Time Local work	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format Javadoc JDK SimpleDateFormat Simple Format formats format year Java Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils Integer upper handle case createNumber create Number hex work Utils	NumberUtils handle upper case hex Number Utils
747	Number numbers NumberUtils Number Utils Long createLong create Long handle Integer create hex handles	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils primitiveType primitive Type ObjectInputStream Object Input Stream classLoader class Loader primitive SerializationUtilsTest Serialization Utils Test primitiveTypeClassSerialization primitive Type Class Serialization prim	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random empty chars Int length null size int code Random	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	RandomUtils Random Utils Random throws confusing start RandomStringUtils Random String Utils Utils IAE	RandomStringUtils throws confusing IAE start Random String Utils
822	NumberUtils Number Utils Number createNumber create Number behaviour leading bad create checks	NumberUtils createNumber bad behaviour leading Number Utils create Number
