59	DateUtils Utils MDT truncate hour oct result Calendar assert lang switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Valued typesafe compare Enum int Object values commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	result Duration Calendar DurationFormatUtils Duration Format Utils Time set cal returns currentTimeMillis current Time Millis getTimeInMillis Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape Test Unescape xFFFF FFFF test EntitiesTest Entities Test unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity FFFF reference	unescapeXml unescape Xml
295	thisBuf Buf StrBuilder Str Builder length Str Builder LANG places noticed usages Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	str width method appendFixedWidthPadRight append Fixed Width Pad StrBuilder Str Builder pad size append strLen str Len Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberUtils Number Utils throws NumberFormatException Number Format Exception fine numeric isDigits Digits substring Format	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception cAvailableLocaleSet Locale Set Null Set availableLocaleSet Locale Set LocaleUtils Locale Utils initialized pointed Find	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time StopWatch Watch pause Watch acts getTime Time time doesn shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant language strings case string code country	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar behaves Time incorrectly seconds test output CDT rounding	Dates behaves incorrectly minutes seconds
363	String Escape escape escapeJavaScript escape Java Script script StringEscapeUtils String Escape Utils JavaScriptUtils Java Script Utils Java uncorrectly Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case false statement String test invalid Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale Instance locale key case test Fast Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction Summary infinite pretty numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big don Decimal correctly comparing compareTo compare BigDecimals Big Decimals EqualsBuilder Equals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null handle null nulls Fixed Str Builder append StrBuilder Str Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils abbreviate string str Word length upper String greater bug	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs html case Bug intended string String handling Common	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number String Number digit thows Bounds NumberUtils Number Utils LANG don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format formatRegistry format Registry Extended String custom formatted formattedPattern formatted Pattern pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode String characters StringEscapeUtils String Escape Utils incorrectly utf println escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number decimal return NumberUtils Number Utils Decimal Return True chars	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone format Format GMT dateTime Time cal GregorianCalendar Gregorian Calendar DateFormatUtils Format Utils	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String StringUtils String Utils replaceEach replace replace null replacementList replacement List replacement result Test Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory created thread String org LANG leak Code application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class throws NPE ClassUtils Class Utils array element null Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
