59	MDT DateUtils Utils truncate hour oct result MST assert lang switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued ValuedEnum Valued Enum compareTo compare typesafe Enum compare int Object enums commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils result Calendar Duration set cal returns Time getTimeInMillis Time Millis wrong	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape Test Unescape xFFFF FFFF test unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity reference FFFF entity	unescapeXml unescape Xml
295	StrBuilder Str Builder length thisBuf Buf Str Builder LANG places noticed usages reference	StrBuilder usages thisBuf length size Str Builder Buf
299	str width method appendFixedWidthPadRight append Fixed Width Pad StrBuilder Str Builder strLen str Len pad append Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number NumberFormatException Number Format Exception throws isDigits Digits fine numeric substring Format	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception cAvailableLocaleSet Locale Set Null Set LocaleUtils Locale Utils initialized pointed Find apache	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch suspend Watch getTime Time acts pause time doesn shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant language strings case string code country	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes behaves Calendar incorrectly TimeZone Time Zone Time seconds test output CDT	Dates behaves incorrectly minutes seconds
363	escape Escape escapeJavaScript escape Java Script script String Java uncorrectly Utils JavaScriptUtils Java Script Utils javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case false statement String test invalid Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale Instance locale key case test Fast Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction Summary infinite pretty numerator	infinite loop Fraction reduce numerator
393	compare Big don BigDecimal Big Decimal comparing compareTo compare correctly BigDecimals Big Decimals EqualsBuilder Equals Builder Decimal	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null handle null nulls Fixed Str Builder append StrBuilder Str Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	abbreviate string length upper String str WordUtils Word Utils greater Word bug	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs case Bug intended string String handling Common Case	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number String Number digit thows Bounds NumberUtils Number Utils LANG don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format Extended formatRegistry format Registry String formatted custom formattedPattern formatted Pattern pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode characters escapeHtml escape Html incorrectly String utf escape StringEscapeUtils String Escape Utils println Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number decimal isNumber Number return number NumberUtils Number Utils Return Digit True chars	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone format Format GMT cal DateFormatUtils Format Utils GregorianCalendar Gregorian Calendar dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String StringUtils String Utils replace replaceEach replace replacement null result Test Utils case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory created thread String org LANG leak Code application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class throws NPE ClassUtils Class Utils array element null Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils createNumber create Number throws StringIndexOutOfBoundsException String Bounds Exception String passed Exception argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week SimpleDateFormat Simple Format locale format Fast Format Locale Week year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer apache getDenominator Denominator MIN commons test Reduced method result	org apache commons lang math Fraction reduce Integer MIN
664	Number String NumberUtils Number Utils isNumber Number return code chars hasExp Exp Dec Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Calendar Time assertFalse assert False Local method cal assert	DateUtils isSameLocalTime work correct Utils Local Time
719	Java FastDateFormat Fast Format year SimpleDateFormat Simple Format Format Fast pattern formats adjusted JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils upper createNumber create Number handle Integer case work NumberFormatException Number Format Exception handles	NumberUtils handle upper case hex Number Utils
747	numbers Number Long NumberUtils Number Utils handle Integer create hex createLong create Long createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtils Serialization Utils Class primitive ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class noformat primitiveType primitive Type clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code null empty false Int array lang start	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws confusing start Utils RandomUtils Random Utils Argument lang Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils createNumber create Number behaviour leading create BigDecimal Big Decimal Big nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white space Fast parse parsed handle SimpleDateFormat Simple Format treats dates	FastDateParser handle white space properly Fast Parser
832	quotes unterminated SimpleDateFormat Simple Format handle parse handled Fast format correctly Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String char code work accepts lookupMap lookup Map translate quote	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
