59	MDT DAY DateUtils Utils Utils oct hour Calendar DST truncate Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe ValuedEnum Valued Enum values Enum compareTo compare int Valued classes Object commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration DurationFormatUtils Duration Format Utils Time set String result getTimeInMillis Time Millis currentTimeMillis current Time Millis Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test Entity doTestUnescapeEntity Test Unescape Entity Unescape void EntitiesTest Entities Test reference testNumberOverflow test Number Overflow entity	unescapeXml unescape Xml
295	Str StrBuilder Str Builder thisBuf Buf length Builder LANG Buf noticed fixing shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	width str size method pad int Pad strLen str Len Char Width	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception createNumber create Number Format string NumberUtils Number Utils Exception isDigits Digits numeric substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Exception cAvailableSet Set availableLocaleSet Locale Set initialized Pointer	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter StopWatch Watch suspend Watch shouldn acts pause sleep	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country POSIX case code string variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time test seconds Mon testCalendar test Calendar DateUtils Utils TimeZone Time Zone rounding	Dates behaves incorrectly minutes seconds
363	Escape String Script Java Utils org escape script scripts escapeJavaScript escape Java Script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils case String StringIndexOutOfBoundsException String Bounds Exception test toBoolean Boolean Exception false statement	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale getDateTimeInstance Time Instance getDateInstance Instance Instance Locale FastDateFormat Fast Format case Format Hash key	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary pretty reduce numerator infinite	infinite loop Fraction reduce numerator
393	compareTo compare Big compare equals BigDecimal Big Decimal comparing Decimal don Decimals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	null Null getNullText Null Text pointer Fixed exception appendFixedWidth append Fixed Width Builder width set	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length string str String abbreviate Word StringIndexOutOfBoundsException String Bounds Exception substring upper Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs locale html Bug Common Case http String insensitive case	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Exception Bounds Number front digit place throws createNumber create Number	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format ExtendedMessageFormat Extended Message Format Extended formatRegistry format Registry code String formattedPattern formatted Pattern Message Memory	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html characters unicode StringEscapeUtils String Escape Utils escape utf println problem Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number return Exp decimal Decimal Point code chars	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format TimeZone Time Zone format test GMT dateTime Time GregorianCalendar Gregorian Calendar noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement Test StringUtils String Utils Utils replacementList replacement List org case null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	String org ToStringStyle String Style thread memory leak LANG reference application web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object NPE element array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number Exception String createNumber create Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils NumberFormatException Number Format Exception Format throws Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	locale week FastDateFormat Fast Format Format Week format SimpleDateFormat Simple Format Locale Fast Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN method getDenominator Denominator test case code void Equals	org apache commons lang math Fraction reduce Integer MIN
664	Number String code isNumber Number return Digit hasExp Exp NumberUtils Number Utils Exp chars	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils Calendar DateUtils Utils method HOUR Local setTimeInMillis set Time Millis DAY	DateUtils isSameLocalTime work correct Utils Local Time
