59	MDT DateUtils Utils DAY hour Utils oct Calendar DST Equals hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Enum typesafe compareTo compare values classes int Valued enums compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration DurationFormatUtils Duration Format Utils Time set getTimeInMillis Time Millis String currentTimeMillis current Time Millis result Format	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test doTestUnescapeEntity Test Unescape Entity void EntitiesTest Entities Test testNumberOverflow test Number Overflow reference Unescape Entity entity	unescapeXml unescape Xml
295	Str StrBuilder Str Builder thisBuf Buf length Builder LANG Buf noticed shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	width size str appendFixedWidthPadRight append Fixed Width Pad pad Width Char Pad padChar pad Char int	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception Format string NumberUtils Number Utils substring numeric isDigits Digits Exception	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Null Locale cAvailableLocaleSet Locale Set Exception LocaleUtils Locale Utils availableLocaleSet Locale Set initialized Pointer cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch time Watch suspend counter shouldn pause acts sleep	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country case POSIX string variant code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time test seconds DateUtils Utils Mon CDT TimeZone Time Zone testCalendar test Calendar	Dates behaves incorrectly minutes seconds
363	Escape Java String Script scripts escapeJavaScript escape Java Script escape Utils script JavascriptEscape Javascript Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils String StringIndexOutOfBoundsException String Bounds Exception test case toBoolean Boolean Exception false statement	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale getDateTimeInstance Time Instance getDateInstance Instance Locale case FastDateFormat Fast Format Instance Format Time methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce pretty numerator infinite	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal compareTo compare Big compare Decimal comparing equals don Decimals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null getNullText Null Text null Fixed appendFixedWidth append Fixed Width Builder pointer width exception handle	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length str String Word StringIndexOutOfBoundsException String Bounds Exception substring upper abbreviate WordUtils Word Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug locale http Case html String insensitive Common case	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Exception Bounds Number front createNumber create Number throws Utils don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format ExtendedMessageFormat Extended Message Format Extended formatRegistry format Registry formattedPattern formatted Pattern String code Message Registry	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String unicode escapeHtml escape Html characters utf escape StringEscapeUtils String Escape Utils problem org Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number return decimal Decimal Dec code Point Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format TimeZone Time Zone format test GMT dateTime Time time noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replaceEach replace Test StringUtils String Utils replacementList replacement List Utils org case replace	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style String memory org thread LANG application web Style reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object NPE element array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String StringIndexOutOfBoundsException String Bounds Exception createNumber create Number NumberUtils Number Utils Exception NumberFormatException Number Format Exception Utils throws indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format FastDateFormat Fast Format Week locale SimpleDateFormat Simple Format format Locale Simple Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test MIN getDenominator Denominator method code case Denominator void	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number code return Digit hasExp Exp String NumberUtils Number Utils Exp Dec	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Calendar DateUtils Utils Utils method HOUR Local DAY setTimeInMillis set Time Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	year Java SimpleDateFormat Simple Format Format pattern FastDateFormat Fast Format format bug number YYY	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberFormatException Number Format Exception createNumber create Number Integer NumberUtils Number Utils case Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers Long createNumber create Number createLong create Long hex NumberUtils Number Utils Hex create	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception SerializationUtils Serialization Utils class ObjectInputStream Object Input Stream Exception noformat clone ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code int chars random start array ends char gap	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal IllegalArgumentException Illegal Argument Exception lang RandomUtils Random Utils Argument source String Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Big behaviour work Decimal NumberUtils Number Utils NumberFormatException Number Format Exception Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Format Parser dates space parse SimpleDateFormat Simple Format parsed FDP white	FastDateParser handle white space properly Fast Parser
832	format parse SimpleDateFormat Simple Format Format quotes Simple unterminated FastDateParser Fast Parser Fast parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String CharBuffer Char Buffer code char work Buffer Map Sequence	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
