59	MDT hour DateUtils Utils truncate lang Utils oct buggy result DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum typesafe compareTo compare Valued Enum Object int classes values lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils result set Duration Time cal String returns Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape Test test doTestUnescapeEntity Test Unescape Entity reference Entity entity EntitiesTest Entities Test Unescape unescapeXml unescape Xml	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder LANG places noticed usages reference	StrBuilder usages thisBuf length size Str Builder Buf
299	method str appendFixedWidthPadRight append Fixed Width Pad width StrBuilder Str Builder size Pad obj append ArrayIndexOutOfBoundsException Array Bounds Exception	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception Format throws string Utils NumberUtils Number Utils substring Exception	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null Pointer Exception Set Bugs apache FindBugs Find Bugs cAvailableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch acts Time time Watch counter shouldn suspend bug split	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case strings country variant POSIX string	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar behaves test Mon CDT seconds incorrectly Time println	Dates behaves incorrectly minutes seconds
363	Escape String script escape Utils escapeJavaScript escape Java Script Java StringEscapeUtils String Escape Utils Script org	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	toBoolean Boolean case BooleanUtils Boolean Utils Boolean statement test String Utils false StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
