59	MDT hour Utils DAY HOUR DST DateUtils Utils Equals hours buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe values classes ValuedEnum Valued Enum int org compareTo compare commons apache	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	set Calendar result Time Duration DurationFormatUtils Duration Format Utils String DAY MONTH Dec	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test doTestUnescapeEntity Test Unescape Entity reference Entity entity EntitiesTest Entities Test Unescape testNumberOverflow test Number Overflow unescape	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG size shouldn places Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	pad width Pad str Char size method Width obj appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberFormatException Number Format Exception string createNumber create Number Number Format works substring numeric Exception parse	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Set Null Locale NullPointerException Null Pointer Exception Exception Pointer Bugs apache FindBugs Find Bugs cAvailableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	time Time counter shouldn acts resume suspend bug StopWatch Watch doesn	StopWatch suspend acts split Watch
328	Locale language country toLocale Locale case string code LocaleUtils Locale Utils Configuration variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Time Calendar test seconds Mon CDT println DateUtils Utils testCalendar test Calendar	Dates behaves incorrectly minutes seconds
363	Escape escape String script Utils org Spring Java println Script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	toBoolean Boolean BooleanUtils Boolean Utils case Boolean String source statement test StringIndexOutOfBoundsException String Bounds Exception Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Instance Locale Time case change key getDateTimeInstance Time Instance Format getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction pretty infinite Summary numerator	infinite loop Fraction reduce numerator
393	Big compare compareTo compare BigDecimal Big Decimal comparing Decimal don Decimals Builder equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null Fixed appendFixedWidth append Fixed Width null Builder pointer getNullText Null Text width handle exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length String str StringIndexOutOfBoundsException String Bounds Exception Word upper abbreviate Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String Case locale string http case insensitive Bug Common	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Bounds Number createNumber create Number don Exception front thows Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format Extended code CURRENT ExtendedMessageFormat Extended Message Format String start formatRegistry format Registry change	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
