59	DAY DateUtils Utils oct Calendar MDT dealing hours DST result Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	enums Enum ValuedEnum Valued Enum int values compareTo compare typesafe Valued classes compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils Time Duration currentTimeMillis current Time Millis getTimeInMillis Time Millis result Format DAY format	DurationFormatUtils returns wrong result Duration Format Utils
292	void Test test testNumberOverflow test Number Overflow Exception EntitiesTest Entities Test unescape Unescape doTestUnescapeEntity Test Unescape Entity xFFFF FFFF	unescapeXml unescape Xml
295	Str StrBuilder Str Builder thisBuf Buf noticed length Builder Buf LANG size mistaken	StrBuilder usages thisBuf length size Str Builder Buf
299	width str Char pad padChar pad Char int Width size StrBuilder Str Builder strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils numeric string substring fine digit isDigits Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception LocaleUtils Locale Utils availableLocaleSet Locale Set Null commons initialized lang cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time pause suspend StopWatch Watch Watch sleep resume continue Thread time	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country tests POSIX toString String Utils variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time testCalendar test Calendar TimeZone Time Zone getTimeZone Time Zone test produces GMT Jul	Dates behaves incorrectly minutes seconds
363	Java Script escapeJavaScript escape Java Script Escape String document JavascriptEscape Javascript Escape str java javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean String BooleanUtils Boolean Utils StringIndexOutOfBoundsException String Bounds Exception false Exception case test assert Utils	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
