59	DateUtils Utils Calendar switching MDT dealing method MST truncate assert hour	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare compare Enum Valued values enums int typesafe commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration getTimeInMillis Time Millis currentTimeMillis current Time Millis Calendar Time DurationFormatUtils Duration Format Utils result set MONTH Format	DurationFormatUtils returns wrong result Duration Format Utils
292	testNumberOverflow test Number Overflow EntitiesTest Entities Test xFFFF FFFF Number Test test FFFF unescape unescapeXml unescape Xml Unescape	unescapeXml unescape Xml
295	Str StrBuilder Str Builder thisBuf Buf length Buf LANG Builder size noticed places	StrBuilder usages thisBuf length size Str Builder Buf
299	append str width ArrayIndexOutOfBoundsException Array Bounds Exception padChar pad Char Array Char size pad appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils numeric string fine substring isDigits Digits digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception LocaleUtils Locale Utils Null initialized availableLocaleSet Locale Set lang Find FindBugs Find Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	pause StopWatch Watch Time suspend Watch getTime Time time doesn shouldn counter	StopWatch suspend acts split Watch
328	Locale toLocale Locale language country LocaleUtils Locale Utils POSIX PropertyConverter Property Converter toString String variant case	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes testCalendar test Calendar getTimeZone Time Zone TimeZone Time Zone Jul seconds test GMT appears	Dates behaves incorrectly minutes seconds
363	String JavaScriptUtils Java Script Utils Java Escape escapeJavaScript escape Java Script escape JavascriptEscape Javascript Escape javaScriptEscape java Script Escape Javascript Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils false assert Exception case statement toBoolean Boolean String method	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Hash Instance HashMap Hash Map key case test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction Summary reduce loop numerator pretty infinite	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal comparing compareTo compare equals Big Decimal don Equals BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null getNullText Null Text appendFixedWidth append Fixed Width Str append Fixed StrBuilder Str Builder handle set	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String Word str upper substring WordUtils Word Utils greater length abbreviate	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive Bug html String string Case sensitive Common http	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number digit String LANG don Bounds place NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	ExtendedMessageFormat Extended Message Format Format format formatRegistry format Registry Message java formatted Extended append borderStyle border Style	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode String utf characters character StringEscapeUtils String Escape Utils COUNTING Characters represented	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number decimal Number Decimal isNumber Number NumberUtils Number Utils works hasExp Exp True fine	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar TimeZone Time Zone Time dateTime Time GMT GregorianCalendar Gregorian Calendar noformat test problem getTimeZone Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replacementList replacement List replaceEach replace replace Test searchList search List Utils StringUtils String Utils junit	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory Hash loading thread application created removed Thread webapp	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class Utils element array throws NPE null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberFormatException Number Format Exception Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils String passed Exception throws create	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Week FastDateFormat Fast Format week Locale SimpleDateFormat Simple Format locale output Format firstDayOfWeek Day Week minimalDaysInFirstWeek minimal Days Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
