59	DateUtils Utils truncate MDT switching hour method dealing oct result Calendar	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued compareTo compare typesafe compare Enum int Object values enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar result Duration set DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis cal currentTimeMillis current Time Millis returns Format	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape unescapeXml unescape Xml Test EntitiesTest Entities Test testNumberOverflow test Number Overflow xFFFF FFFF test Xml doTestUnescapeEntity Test Unescape Entity Number	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG places noticed usages size	StrBuilder usages thisBuf length size Str Builder Buf
299	str append width method appendFixedWidthPadRight append Fixed Width Pad StrBuilder Str Builder size Fixed Char padChar pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils throws string numeric digit fine substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null initialized cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Set Find availableLocaleSet Locale Set FindBugs Find Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch Watch suspend pause getTime Time acts time doesn shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country variant strings POSIX case PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar behaves testCalendar test Calendar incorrectly appears test seconds produces getTimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	String escapeJavaScript escape Java Script Utils Java Escape escape script uncorrectly JavaScriptUtils Java Script Utils println	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case statement false assert Utils Exception String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Instance Locale Hash locale HashMap Hash Map key case FastDateFormat Fast Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce numerator infinite pretty Summary	infinite loop Fraction reduce numerator
