59	DateUtils Utils truncate MDT hour oct Calendar result assert assertEquals assert Equals lang	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued compareTo compare Enum typesafe compare int Object values commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	result Duration Calendar Time set DurationFormatUtils Duration Format Utils cal MONTH returns Format	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape Test unescapeXml unescape Xml EntitiesTest Entities Test test xFFFF FFFF Xml doTestUnescapeEntity Test Unescape Entity reference entity	unescapeXml unescape Xml
295	length thisBuf Buf StrBuilder Str Builder Str Builder LANG places noticed usages size	StrBuilder usages thisBuf length size Str Builder Buf
299	str method size width pad StrBuilder Str Builder append appendFixedWidthPadRight append Fixed Width Pad Fixed Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberUtils Number Utils throws NumberFormatException Number Format Exception isDigits Digits fine numeric substring Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception cAvailableLocaleSet Locale Set Null LocaleUtils Locale Utils Find Set availableLocaleSet Locale Set initialized pointed	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time StopWatch Watch Watch getTime Time acts time doesn shouldn counter	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant language strings case PropertyConverter Property Converter string code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes behaves Time test incorrectly getTimeZone Time Zone seconds output getTime Time	Dates behaves incorrectly minutes seconds
363	String Escape escape escapeJavaScript escape Java Script script Utils Java uncorrectly JavaScriptUtils Java Script Utils StringEscapeUtils String Escape Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case false statement assert String test invalid	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance HashMap Hash Map Hash key case test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce numerator infinite pretty Summary	infinite loop Fraction reduce numerator
393	compare Big BigDecimal Big Decimal don EqualsBuilder Equals Builder comparing compareTo compare BigDecimals Big Decimals Equals correctly	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null handle null nulls Fixed Str Builder append StrBuilder Str Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string Word str abbreviate length upper WordUtils Word Utils greater String bug	WordUtils abbreviate bug greater str length Word Utils
432	insensitive string Bugs String sensitive Case case intended html handling	case insensitive string handling
457	createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception String NumberUtils Number Utils thows Bounds don place digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry Extended ExtendedMessageFormat Extended Message Format String custom border escaping pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode characters StringEscapeUtils String Escape Utils incorrectly escape println utf Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number decimal NumberUtils Number Utils return Decimal hasDecPoint Dec Point Return Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar format Format test TimeZone Time Zone GregorianCalendar Gregorian Calendar dateTime Time cal GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replace replacementList replacement List StringUtils String Utils replacement null result Test Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory created ThreadLocals Thread Locals remove web webapp String org Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object ClassUtils Class Utils throws NPE array element null Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number throws StringIndexOutOfBoundsException String Bounds Exception String NumberUtils Number Utils passed Exception argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format format locale Locale output Week Format SimpleDateFormat Simple Format Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer apache case MIN commons getDenominator Denominator assert borderStyle border Style FractionTest Fraction Test	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String hasExp Exp return hasDecPoint Dec Point code chars NumberUtils Number Utils Dec	NumberUtils isNumber String String Number Utils Number
677	DateUtils Utils isSameLocalTime Local Time Utils assertFalse assert False Time Calendar Local method cal work	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Format SimpleDateFormat Simple Format Java year Fast formats pattern adjusted Javadoc	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number upper handle Integer case work NumberFormatException Number Format Exception handles	NumberUtils handle upper case hex Number Utils
747	Long create handle Number NumberUtils Number Utils createLong create Long numbers hex Integer createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils primitive ClassNotFoundException Class Exception bug ObjectInputStream Object Input Stream class noformat primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code Int empty false Random RandomStringUtils Random String Utils lang array	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws confusing start Utils nextInt Int Argument lang RandomStringUtils Random String Utils Illegal	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour NumberUtils Number Utils leading BigDecimal Big Decimal create Big Decimal nulll	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	white space parse FastDateParser Fast Parser treat treats Fast parsed handle FDP	FastDateParser handle white space properly Fast Parser
832	unterminated handle quotes format parse correctly Simple handled works Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work CharBuffer Char Buffer equals hashCode hash Code Escape implemented lookupMap lookup Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
